time,enemyPos.X,enemyPos.Y
1718876596887,1.287802,-15.49945
1718876597088,3.287802,-15.49945
1718876597287,5.228046,-15.50289
1718876597487,7.228045,-15.49949
1718876597686,9.228043,-15.49945
1718876597889,10.50202,-14.71494
1718876598088,10.50059,-12.71494
1718876598288,8.709224,-12.49898
1718876598489,8.909226,-12.49944
1718876598688,9.814634,-12.49944
1718876606000,10.79118,-12.50431
1718876606195,11.74047,-12.49931
1718876611757,12.72097,-12.49951
1718876611955,13.71476,-12.47494
1718876612158,14.69749,-12.49929
1718876612360,15.6523,-12.49979
1718876612556,16.44477,-12.70947
1718876612757,16.50054,-13.62325
1718876612959,16.50112,-14.59593
1718876613159,16.70061,-15.39593
1718876613356,17.63882,-15.50079
1718876613557,18.60818,-15.49944
1718876613757,19.51725,-15.49959
1718876613958,20.47889,-15.50042
1718876614156,21.4936,-15.49837
1718876614359,22.49318,-15.49858
1718876614556,23.4927,-15.49943
1718876614757,24.49215,-15.49944
1718876614958,25.39194,-15.39688
1718876615158,25.50092,-14.46175
1718876615357,25.50064,-13.49287
1718876615554,25.59955,-12.58878
1718876615757,26.52392,-12.49945
1718876615957,27.48386,-12.49855
1718876616159,28.38386,-12.59939
1718876616359,28.50093,-13.52915
1718876616556,28.50057,-14.4844
1718876616756,28.50056,-14.0844
1718876616956,28.50058,-13.34141
1718876617158,28.50009,-14.32547
1718876617355,28.50055,-14.32547
1718876617560,28.5006,-13.32349
1718876617760,28.50066,-14.06536
1718876617956,28.50061,-14.47798
1718876618156,28.50064,-13.51565
1718876618356,28.50056,-13.91565
1718876618558,28.50043,-14.66603
1718876618757,28.50077,-13.70274
1718876618955,28.50056,-13.70274
1718876619154,28.50108,-14.60388
1718876619356,28.50056,-14.00388
1718876619561,28.50056,-13.40404
1718876619759,28.50322,-14.28969
1718876619956,28.50059,-14.28969
1718876620155,28.50058,-13.36263
1718876620355,28.50055,-13.96263
1718876620557,28.50043,-14.57851
1718876620756,28.50069,-13.62591
1718876620957,28.50056,-13.82591
1718876621158,28.50075,-14.80083
1718876621358,28.50066,-13.84019
1718876621555,28.50056,-13.64018
1718876621756,28.50047,-14.61337
1718876621957,28.50056,-14.01337
1718876622158,28.50058,-13.41249
1718876622357,28.49967,-14.33436
1718876622558,28.50055,-14.33436
1718876622759,28.50061,-13.31928
1718876622957,28.50066,-14.05024
1718876623158,28.50063,-14.4699
1718876623355,28.50074,-13.48892
1718876623557,28.50056,-13.88892
1718876623757,28.50068,-14.69543
1718876623958,28.50114,-13.79511
1718876624157,28.50056,-13.59511
1718876624356,28.50118,-14.61144
1718876624556,28.50056,-14.01144
1718876624756,28.50067,-13.41193
1718876624958,28.50068,-14.33024
1718876625158,28.50056,-14.33024
1718876625357,28.49998,-13.31594
1718876625555,28.50122,-14.03646
1718876625758,28.50056,-14.4551
1718876625955,28.50019,-13.46267
1718876626159,28.50055,-13.86267
1718876626356,28.50058,-14.36017
1718876626555,28.49812,-12.36017
1718876626755,28.50046,-10.36018
1718876626959,28.50056,-8.360178
1718876627155,28.50056,-6.36018
1718876627356,28.50056,-4.360182
1718876627557,27.3139,-3.498585
1718876627757,25.31389,-3.499431
1718876627957,23.31388,-3.499441
1718876628157,22.49771,-2.305984
1718876628357,22.29896,-0.557333
1718876628558,20.31395,-0.4993286
1718876628757,18.31394,-0.4994392
1718876628958,16.31393,-0.4994411
1718876629155,14.31393,-0.4994411
1718876629354,12.31393,-0.4994411
1718876629558,10.51394,-0.2994394
1718876629757,10.50185,1.638777
1718876629958,9.298212,2.501414
1718876630157,7.543571,2.701603
1718876630355,7.500124,4.688805
1718876630558,6.308716,5.502766
1718876630756,4.563266,5.699629
1718876630958,4.500143,7.683374
1718876631160,5.693319,8.502275
