time,enemyPos.X,enemyPos.Y
1718876596888,-28.49998,4.301647
1718876597088,-28.49945,4.021647
1718876597288,-28.49628,2.639298
1718876597487,-27.32071,2.499165
1718876597686,-26.01197,2.500699
1718876597890,-24.62278,2.502749
1718876598088,-23.26629,2.500957
1718876598290,-22.50001,3.16842
1718876598489,-22.4994,3.986719
1718876598689,-22.49939,4.681917
1718876606000,-22.50371,5.389737
1718876606196,-23.13751,5.498631
1718876611758,-23.83751,5.500536
1718876611956,-24.43703,5.501231
1718876612159,-25.15623,5.497786
1718876612360,-25.49462,5.896264
1718876612557,-25.50055,6.531736
1718876612757,-25.49953,7.219826
1718876612959,-25.49944,7.919828
1718876613160,-25.71638,8.396261
1718876613357,-26.17667,8.500685
1718876613557,-26.87666,8.500559
1718876613758,-27.60195,8.500298
1718876613958,-28.32015,8.5162
1718876614157,-28.50203,8.970607
1718876614360,-28.50055,9.644877
1718876614557,-28.49934,10.30365
1718876614758,-28.49944,10.58365
1718876614959,-28.50212,9.993015
1718876615159,-28.50056,9.287325
1718876615358,-28.50056,9.847322
1718876615556,-28.49915,10.49589
1718876615758,-28.49944,10.35589
1718876615957,-28.50055,9.700358
1718876616159,-28.50056,9.42036
1718876616359,-28.50011,10.02697
1718876616556,-28.49941,10.73535
1718876616756,-28.49944,10.17535
1718876616957,-28.50057,9.465221
1718876617159,-28.50056,9.74522
1718876617355,-28.49943,10.43389
1718876617560,-28.49944,10.43389
1718876617761,-28.50093,9.801006
1718876617957,-28.50056,9.381008
1718876618158,-28.50014,10.05707
1718876618356,-28.4994,10.77035
1718876618559,-28.49945,10.07035
1718876618758,-28.50058,9.408126
1718876618957,-28.50056,9.688125
1718876619155,-28.49879,10.34934
1718876619356,-28.49944,10.48934
1718876619561,-28.501,9.81842
1718876619760,-28.50056,9.398422
1718876619957,-28.49889,10.09531
1718876620156,-28.49939,10.7961
1718876620357,-28.49945,10.0961
1718876620558,-28.5006,9.511393
1718876620756,-28.50056,9.651392
1718876620957,-28.49896,10.33398
1718876621159,-28.49944,10.47398
1718876621358,-28.50059,9.789853
1718876621556,-28.50056,9.369855
1718876621756,-28.50013,10.02888
1718876621957,-28.49941,10.73186
1718876622159,-28.49944,10.17186
1718876622358,-28.50059,9.510259
1718876622558,-28.50056,9.650258
1718876622760,-28.49887,10.32113
1718876622958,-28.49944,10.46113
1718876623159,-28.50056,9.763762
1718876623355,-28.50056,9.343763
1718876623558,-28.50027,9.958799
1718876623758,-28.49934,10.62784
1718876623959,-28.49944,10.20784
1718876624158,-28.50064,9.524249
1718876624357,-28.50056,9.664248
1718876624558,-28.49994,10.3468
1718876624757,-28.49945,10.4868
1718876624959,-28.50102,9.820236
1718876625159,-28.50056,9.260239
1718876625358,-28.50055,9.960236
1718876625556,-28.49936,10.65822
1718876625758,-28.49944,10.23822
1718876625956,-28.50058,9.571508
1718876626160,-28.50056,9.571508
1718876626357,-28.49941,10.42869
1718876626555,-28.11793,11.48455
1718876626756,-26.72641,11.50062
1718876626959,-25.33626,11.5006
1718876627156,-24.00808,11.49731
1718876627357,-22.61717,11.49663
1718876627558,-22.499,10.1579
1718876627757,-22.49681,8.786409
1718876627957,-22.497,7.469171
1718876628157,-22.49942,6.099865
1718876628358,-23.31747,5.501754
1718876628559,-24.71746,5.500466
1718876628757,-23.60195,5.499392
1718876628958,-22.20195,5.499434
1718876629155,-20.85442,5.500225
1718876629356,-19.4554,5.503261
1718876629559,-18.07677,5.500817
1718876629758,-16.74045,5.497832
1718876629958,-16.49927,4.290027
1718876630157,-16.49944,2.891438
1718876630356,-15.43869,2.49945
1718876630559,-14.04377,2.500518
1718876630757,-12.70125,2.50194
1718876630960,-11.30128,2.500566
1718876631160,-9.929355,2.50363
1718876631358,-8.617398,2.503607
1718876631555,-7.256542,2.501182
1718876631757,-5.843622,2.502571
1718876631958,-4.443691,2.50312
1718876632158,-3.053804,2.500778
1718876632357,-1.723097,2.499678
1718876632556,-0.3307266,2.500591
1718876632757,1.00592,2.497034
1718876632958,1.500851,1.617205
1718876633156,1.499653,0.2218645
1718876633358,2.194761,-0.5029926
1718876633556,3.594763,-0.49966
1718876633759,4.99477,-0.5037923
1718876633959,6.385031,-0.4993513
1718876634156,5.823038,-0.4994407
1718876634359,5.823038,-0.4994454
1718876634550,6.364613,-0.4994345
1718876642996,5.333103,-0.4994028
1718876643195,6.759476,-0.5000243
1718876643395,5.394255,-0.4992089
1718876643596,6.503881,-0.4980054
1718876643796,5.749645,-0.4990969
1718876643992,6.029644,-0.4994428
1718876654213,5.951223,-0.49807
1718876654390,5.805662,-0.4994206
1718876654590,6.346922,-0.4992905
1718876654788,5.261518,-0.4993811
1718876654990,6.655272,-0.4983947
1718876655190,5.659182,-0.4990714
1718876655390,6.217529,-0.5036945
1718876655589,6.001036,-0.4981585
1718876655793,5.721874,-0.499433
1718876655990,6.563843,-0.4994545
1718876656189,5.164063,-0.4993899
1718876656388,6.56414,-0.4994695
1718876656590,5.724392,-0.4991121
1718876656790,6.004393,-0.4994428
1718876656989,6.284483,-0.4994438
1718876657188,5.444778,-0.4994187
1718876657388,6.844881,-0.49945
1718876657590,5.445229,-0.4992828
1718876657791,4.484013,-1.006244
1718876657988,4.500319,-2.403416
1718876658192,4.500586,-3.785335
1718876658387,4.50061,-5.127823
1718876658590,4.640554,-6.387822
1718876658791,5.980923,-6.500551
1718876658989,7.350126,-6.497438
1718876659192,8.662834,-6.498232
1718876659391,10.02384,-6.499186
1718876659589,10.49908,-7.454075
1718876659788,10.50053,-8.854087
1718876659990,11.2964,-9.502501
1718876660191,12.69621,-9.499599
1718876660388,13.50112,-8.854548
1718876665505,13.5006,-7.457585
1718876665704,13.92425,-6.499572
1718876665903,15.2385,-6.489017
1718876666105,16.4985,-6.639166
1718876669461,16.50071,-7.93276
1718876669659,16.49984,-9.321933
1718876669859,17.75388,-9.50079
1718876670059,19.15389,-9.500348
