time,enemyPos.X,enemyPos.Y
1718876596885,-10.50836,-12.62055
1718876597087,-11.16779,-12.49954
1718876597286,-11.96779,-12.49944
1718876597486,-12.78317,-12.49951
1718876597685,-13.42148,-12.32711
1718876597888,-13.5006,-11.69876
1718876598087,-13.50007,-10.92358
1718876598287,-13.49953,-10.12095
1718876598486,-13.50282,-9.630466
1718876598687,-13.50282,-9.230466
1718876605998,-13.49937,-8.838676
1718876606194,-13.49944,-8.438677
1718876611756,-13.49951,-8.056704
1718876611954,-13.49922,-7.689167
1718876612157,-13.49944,-7.289167
1718876612356,-13.49944,-7.609167
1718876612554,-13.49795,-7.97788
1718876612755,-13.49943,-8.395763
1718876612958,-13.49944,-8.795763
1718876613158,-13.50242,-9.206337
1718876613355,-13.50242,-9.606337
1718876613556,-13.4983,-9.964216
1718876613756,-13.49939,-10.33671
1718876613957,-13.49944,-10.73671
1718876614155,-13.4974,-11.13964
1718876614358,-13.49942,-11.53964
1718876614555,-13.49945,-11.93964
1718876614757,-13.48392,-12.35418
1718876614957,-13.17162,-12.47342
1718876615157,-12.85823,-12.5004
1718876615355,-12.45823,-12.50055
1718876615554,-12.06878,-12.50035
1718876615756,-11.71162,-12.49904
1718876615956,-11.31162,-12.49944
1718876616158,-10.90964,-12.50391
1718876616358,-10.58417,-12.59204
1718876616555,-10.50089,-12.94062
1718876616754,-10.49947,-13.31569
1718876616956,-10.49944,-13.71569
1718876617158,-10.49944,-14.03202
1718876617354,-10.49937,-14.47065
1718876617558,-10.49944,-14.87065
1718876617759,-10.50214,-15.28607
1718876617956,-10.75636,-15.44355
1718876618156,-11.09941,-15.50029
1718876618355,-11.49941,-15.50055
1718876618558,-11.89941,-15.50055
1718876618756,-12.23801,-15.49896
1718876618955,-12.63801,-15.49944
1718876619154,-12.97695,-15.49948
1718876619355,-13.39567,-15.49957
1718876619559,-13.79567,-15.49944
1718876619758,-14.13835,-15.50273
1718876619956,-14.53835,-15.49948
1718876620154,-14.92721,-15.49958
1718876620355,-15.28898,-15.49914
1718876620556,-15.68898,-15.49944
1718876620755,-16.09509,-15.50106
1718876620956,-16.38758,-15.3711
1718876621156,-16.49945,-15.07348
1718876621357,-16.50039,-14.82001
1718876621554,-16.50056,-14.42001
1718876621755,-16.50029,-14.05111
1718876621956,-16.49921,-13.67514
1718876622157,-16.49944,-13.27514
1718876622356,-16.5019,-12.90238
1718876622557,-16.49951,-12.49716
1718876622757,-16.49944,-12.09716
1718876622956,-16.49696,-11.85511
1718876623157,-16.49941,-11.45511
1718876623354,-16.49944,-11.07824
1718876623555,-16.49969,-10.77454
1718876623757,-16.49945,-10.37454
1718876623957,-16.49944,-9.974545
1718876624156,-16.5486,-9.594842
1718876624354,-16.89925,-9.501074
1718876624556,-17.22728,-9.499536
1718876624755,-17.62729,-9.499445
1718876624957,-17.94912,-9.499551
1718876625157,-18.32216,-9.499799
1718876625356,-18.72217,-9.499447
1718876625555,-19.08357,-9.500717
1718876625757,-19.50928,-9.499395
1718876625955,-19.90929,-9.499441
1718876626157,-20.22833,-9.498365
1718876626355,-20.74834,-9.499431
1718876626554,-21.47425,-9.499967
1718876626755,-21.31425,-9.499451
1718876626958,-20.53365,-9.499342
1718876627154,-19.73291,-9.496985
1718876627355,-19.02104,-9.499438
1718876627556,-18.22057,-9.499542
1718876627756,-17.41863,-9.499081
1718876627956,-16.6443,-9.504962
1718876628155,-15.86461,-9.496612
1718876628355,-15.06461,-9.499413
1718876628557,-14.28212,-9.499284
1718876628756,-13.47442,-9.505453
1718876628957,-12.67634,-9.49872
1718876629154,-11.88564,-9.497685
1718876629353,-11.08564,-9.499425
1718876629556,-10.34851,-9.499234
1718876629757,-9.531557,-9.499905
1718876629956,-8.744733,-9.497497
1718876630156,-7.944734,-9.499423
1718876630354,-7.510335,-9.11298
1718876630558,-7.499422,-8.332928
1718876630755,-7.498931,-7.625307
1718876630957,-7.499438,-7.625307
1718876631158,-7.499401,-8.434567
1718876631357,-7.499442,-8.274568
1718876631553,-7.499754,-7.465979
1718876631756,-7.499449,-7.785978
1718876631957,-7.499427,-8.569888
1718876632157,-7.499442,-8.249888
1718876632354,-7.498881,-7.524809
1718876632555,-7.499439,-7.684809
1718876632755,-7.499932,-8.462289
1718876632957,-7.499448,-8.302289
1718876633154,-7.499354,-7.511737
1718876633357,-7.499444,-7.671737
1718876633553,-7.498299,-8.409539
1718876633758,-7.49943,-8.409539
1718876633957,-7.501325,-7.669259
1718876634154,-7.499465,-7.509259
1718876634358,-7.498902,-8.246683
1718876634548,-7.499438,-8.566683
1718876642994,-7.493389,-7.811379
1718876643193,-7.499399,-7.491379
1718876643394,-7.499312,-8.309415
1718876643593,-7.499442,-8.469415
1718876643794,-7.498395,-7.697872
1718876643991,-7.499432,-7.537872
1718876654211,-7.499306,-8.406291
1718876654389,-7.499441,-8.486291
1718876654588,-7.497293,-7.742386
1718876654786,-7.499418,-7.422386
1718876654988,-7.500641,-8.109724
1718876655188,-7.499458,-8.589724
1718876655388,-7.499234,-7.763882
1718876655588,-7.499441,-7.443882
1718876655791,-7.501457,-8.201997
1718876655989,-7.499467,-8.521996
1718876656186,-7.499322,-7.718081
1718876656387,-7.499442,-7.558081
1718876656588,-7.500022,-8.351646
1718876656788,-7.49945,-8.351646
1718876656986,-7.499386,-7.553454
1718876657187,-7.499444,-7.713454
1718876657387,-7.499581,-8.502591
1718876657589,-7.499444,-8.182591
1718876657789,-7.499434,-7.42544
1718876657987,-7.499445,-7.74544
1718876658191,-7.499685,-8.442705
1718876658386,-7.499445,-8.282705
1718876658589,-7.499411,-7.472378
1718876658790,-7.499445,-7.792377
1718876658987,-7.499524,-8.581589
1718876659191,-7.499443,-8.101589
1718876659389,-7.499439,-7.342918
1718876659587,-7.499445,-7.822917
1718876659786,-7.499588,-8.505524
1718876659988,-7.499444,-8.185524
1718876660187,-7.499407,-7.358082
1718876660387,-7.499445,-7.838081
1718876665502,-7.499507,-8.579664
1718876665701,-7.499443,-8.259665
1718876665901,-7.499612,-7.49036
1718876666104,-7.499447,-7.81036
1718876669458,-7.499422,-8.608423
1718876669658,-7.499442,-8.128424
1718876669858,-7.49949,-7.340946
1718876670058,-7.499446,-7.820946
