time,enemyPos.X,enemyPos.Y
1718465035177,8.253829,12.50055
1718465035368,10.25383,12.50055
1718465043786,12.25383,12.50055
1718465043972,14.25382,12.50055
1718465044175,16.25382,12.50055
1718465044370,18.25383,12.50055
1718465044573,20.25384,12.49816
1718465044774,22.25385,12.50053
1718465044977,24.25385,12.50055
1718465045174,26.25386,12.50055
1718465045371,28.25387,12.50055
1718465045576,30.25388,12.49944
1718465045777,30.50086,10.71176
1718465045975,30.50354,8.770694
1718465046179,30.4989,6.754492
1718465046375,30.50028,4.754494
1718465046575,30.49815,2.754495
1718465046774,30.50053,0.7544937
1718465046969,30.50055,-1.245506
1718465047176,30.49944,-3.245506
1718465047373,30.5003,-5.245506
1718465047569,30.49815,-7.245502
1718465047775,30.4994,-9.245502
1718465047975,30.50029,-11.2455
1718465048169,30.49815,-13.2455
1718465048374,30.4994,-15.24549
1718465048573,29.11298,-15.50083
1718465048776,28.11466,-15.49947
1718465048976,27.11679,-15.49944
1718465049174,26.11958,-15.49944
1718465049371,25.12333,-15.49944
1718465049576,24.12896,-15.49944
1718465049771,23.13652,-15.49927
1718465049976,22.14422,-15.4993
1718465050172,21.15463,-15.49935
1718465050372,20.17213,-15.49953
1718465050575,19.20594,-15.49915
1718465050773,18.20137,-15.49923
1718465050969,17.20137,-15.49579
1718465051175,16.24714,-15.49961
1718465051374,15.26138,-15.49926
1718465051570,14.28889,-15.49948
1718465051770,13.36557,-15.4997
1718465051971,12.37391,-15.49878
