time,enemyPos.X,enemyPos.Y
1718465035177,21.02642,12.50077
1718465035368,22.42643,12.50053
1718465043787,23.82387,12.50056
1718465043972,25.15251,12.49973
1718465044176,26.5517,12.50056
1718465044371,27.94049,12.50057
1718465044573,29.32187,12.49904
1718465044774,30.44186,12.21775
1718465044978,30.5003,10.85324
1718465045175,30.49724,9.454062
1718465045372,30.50041,8.069884
1718465045576,30.49818,6.710598
1718465045777,29.27807,6.498769
1718465045975,27.88284,6.500734
1718465046179,26.50693,6.501513
1718465046376,25.19169,6.501506
1718465046576,23.81525,6.497341
1718465046774,22.41422,6.501183
1718465046970,21.01384,6.500514
1718465047176,19.6345,6.500679
1718465047373,18.29,6.500453
1718465047570,16.90504,6.500832
1718465047775,15.54386,6.499265
1718465047975,14.13223,6.500263
1718465048169,12.73392,6.500592
1718465048374,11.34965,6.500606
1718465048573,10.27446,6.50039
1718465048776,9.576262,6.500132
1718465048976,8.956377,6.500598
1718465049174,8.237265,6.500497
1718465049371,7.634619,6.499671
1718465049576,6.983284,6.500612
1718465049771,6.263504,6.500534
1718465049977,5.547083,6.515756
1718465050172,4.889732,6.502013
1718465050372,4.18973,6.500575
1718465050575,3.490834,6.500963
1718465050774,2.821554,6.499053
1718465050970,2.121555,6.500541
1718465051176,1.420767,6.500821
1718465051374,1.436698,6.500665
1718465051571,1.436698,6.500665
1718465051770,1.436698,6.500665
1718465051971,1.436698,6.500665
