time,enemyPos.X,enemyPos.Y
1718465035177,8.704676,9.499264
1718465035367,7.937271,9.500616
1718465043786,7.127707,9.500618
1718465043972,6.334185,9.500502
1718465044175,5.55711,9.493544
1718465044370,4.77388,9.502097
1718465044573,3.993711,9.500655
1718465044774,3.18539,9.500646
1718465044977,2.38293,9.500721
1718465045174,1.604783,9.501498
1718465045371,0.8088446,9.499453
1718465045575,0.0514946,9.500511
1718465045775,-0.7192249,9.500722
1718465045975,-1.529471,9.500229
1718465046179,-2.297211,9.501487
1718465046375,-3.067677,9.50062
1718465046575,-3.886379,9.500634
1718465046774,-4.69202,9.500428
1718465046969,-5.464054,9.501017
1718465047176,-6.258848,9.502755
1718465047372,-7.014833,9.500527
1718465047569,-7.819771,9.500536
1718465047775,-8.579845,9.500467
1718465047974,-9.340019,9.500213
1718465048169,-10.10042,9.499222
1718465048374,-10.90042,9.500543
1718465048572,-11.50133,9.500494
1718465048776,-11.90133,9.500558
1718465048976,-12.24459,9.501077
1718465049174,-12.64458,9.500563
1718465049370,-13.03102,9.501685
1718465049575,-13.45878,9.508931
1718465049771,-13.85878,9.508931
1718465049975,-14.21323,9.500067
1718465050171,-14.61323,9.50055
1718465050372,-14.98567,9.500556
1718465050574,-15.39346,9.500653
1718465050773,-15.79345,9.500559
1718465050969,-16.12482,9.502379
1718465051174,-16.52483,9.500577
1718465051373,-16.92484,9.500559
1718465051569,-17.3046,9.499923
1718465051770,-17.70461,9.50055
1718465051970,-17.9659,9.500486
