time,enemyPos.X,enemyPos.Y
1718465079273,-21.25388,6.500558
1718465079474,-23.25388,6.500558
1718465079675,-25.25389,6.500558
1718465079867,-27.2539,6.500558
1718465080072,-29.25391,6.500558
1718465080276,-30.50521,7.287188
1718465080474,-30.49869,9.287186
1718465080675,-30.49978,11.22651
1718465080869,-29.71523,12.50159
1718465081075,-27.71522,12.50057
1718465081267,-25.71522,12.50055
1718465081471,-23.71521,12.50055
1718465081671,-21.7152,12.50055
1718465081868,-19.71519,12.50055
1718465082067,-17.71519,12.50055
1718465082273,-16.21518,12.50055
1718465082473,-15.21746,12.50056
1718465082676,-14.22047,12.50056
1718465082874,-13.22187,12.49591
1718465083068,-12.22684,12.50045
1718465083270,-11.23417,12.50072
1718465083471,-10.24164,12.50079
1718465083668,-9.250724,12.50072
1718465083869,-8.264812,12.50033
1718465084067,-7.293991,12.50093
1718465084271,-6.396778,12.50054
1718465084476,-5.478818,12.50159
1718465084671,-4.504569,12.49956
1718465084868,-3.496102,12.50143
1718465085070,-2.596836,12.50188
1718465085268,-1.676805,12.50313
1718465085474,-0.7003021,12.49885
1718465085668,0.2666063,12.49787
1718465085871,1.259,12.5028
1718465086073,2.250135,12.50219
1718465086274,3.236546,12.49914
1718465086474,4.205078,12.50042
1718465086671,5.096455,12.50058
1718465086869,6.031706,12.50068
1718465087068,7.054543,12.50074
1718465087271,8.076202,12.50059
1718465087467,9.079355,12.50067
1718465087669,10.0752,12.50066
1718465087871,11.06888,12.50071
1718465088073,12.05922,12.50074
1718465088274,13.04725,12.50076
1718465088470,14.03352,12.50076
1718465088668,15.01211,12.50074
1718465088869,15.97194,12.50058
1718465089067,16.96748,12.50065
1718465089268,17.97828,12.50042
1718465089470,18.9807,12.50065
1718465089673,19.97944,12.49559
1718465089869,20.97503,12.50051
1718465090070,21.96863,12.50056
1718465090268,22.96127,12.50066
1718465090471,23.95319,12.50063
1718465090674,24.94101,12.50051
1718465090874,25.91765,12.50053
1718465091069,26.86198,12.50068
1718465091274,27.87398,12.50038
1718465091474,28.8749,12.50069
1718465091673,29.87127,12.50068
1718465091869,30.5041,12.11142
1718465092073,30.50045,11.11669
1718465092271,30.50056,10.11944
1718465092473,30.49573,9.120709
1718465092669,30.50049,8.125189
1718465092871,30.50056,7.1317
1718465093074,30.49558,6.135117
1718465093273,30.50049,5.14717
1718465093474,30.50065,4.160255
1718465093667,30.49326,3.169501
1718465093872,30.50059,2.183041
1718465094071,30.50073,1.245221
1718465094272,30.50038,0.2372003
1718465094474,30.50078,-0.7585683
1718465094669,30.50073,-1.750458
1718465094869,30.5004,-2.737209
1718465095071,30.50131,-1.950655
1718465095271,30.50076,-0.9563942
1718465095474,30.50076,0.03158426
1718465095669,30.50073,1.009515
1718465095871,30.50057,1.965274
1718465096071,30.50049,2.953156
1718465096267,30.5141,3.95559
1718465096471,30.50105,5.115273
1718465096673,29.87144,6.513987
1718465096871,27.95058,6.501083
1718465097073,25.93399,6.500558
1718465097268,23.93398,6.50056
1718465097470,21.93397,6.50056
1718465097673,19.93396,6.50056
1718465097868,17.93396,6.50056
1718465098069,15.93395,6.50056
1718465098275,13.93395,6.50056
1718465098469,11.93395,6.50056
1718465098671,9.933956,6.50056
1718465098868,7.933956,6.50056
1718465099072,5.93396,6.50056
1718465099269,3.933961,6.500882
1718465099471,1.93396,6.500564
1718465099674,-0.06604004,6.50056
1718465099873,-2.06604,6.50056
1718465100070,-3.966041,6.500559
1718465100273,-4.954681,6.500563
1718465100473,-5.942951,6.500614
1718465100670,-6.922409,6.500521
1718465100869,-7.879538,6.500693
1718465101067,-8.891645,6.500737
1718465101272,-9.891401,6.495784
1718465101471,-10.84126,6.500646
1718465101671,-11.8237,6.50051
1718465101868,-12.78396,6.500792
1718465102069,-13.79488,6.500857
1718465102268,-14.7946,6.500562
1718465102467,-15.7943,6.500559
1718465102674,-16.79396,6.500559
1718465102867,-17.79358,6.50056
1718465103067,-18.79316,6.50056
1718465103267,-19.79268,6.50056
1718465103471,-20.79213,6.50056
1718465103671,-21.79149,6.50056
1718465103871,-22.79076,6.50056
1718465104073,-23.78989,6.50056
1718465104269,-24.78886,6.50056
1718465104471,-25.78761,6.50056
1718465104670,-26.78607,6.500561
1718465104874,-27.78414,6.500561
1718465105068,-28.78165,6.500561
1718465105274,-29.77834,6.500562
1718465105471,-30.47834,6.80056
1718465105673,-30.50059,7.79396
1718465105873,-30.49948,8.793581
1718465106069,-30.49578,9.79344
1718465106271,-30.49961,10.7403
1718465106469,-30.4995,11.71446
1718465106671,-30.20985,12.4586
1718465106874,-29.23669,12.50053
1718465107077,-28.24497,12.50077
1718465107269,-27.25594,12.50069
1718465107476,-26.27497,12.50044
1718465107673,-25.31275,12.50095
1718465107867,-24.30348,12.50087
1718465108067,-23.34996,12.50023
1718465108269,-22.36648,12.5006
1718465108471,-21.39794,12.5011
1718465108671,-20.43719,12.50056
1718465108871,-19.44666,12.50106
1718465109068,-18.45897,12.50076
1718465109272,-17.4823,12.50039
1718465109467,-16.53784,12.50134
1718465109673,-15.52582,12.49952
1718465109867,-14.52483,12.50136
1718465110073,-13.52688,12.49677
1718465110267,-12.53421,12.50016
1718465110473,-11.54168,12.50145
1718465110673,-10.55078,12.5012
1718465110868,-9.564901,12.49973
1718465111068,-8.594111,12.50198
1718465111274,-7.67291,12.50313
