time,enemyPos.X,enemyPos.Y
1718465079272,-0.2101502,-6.491928
1718465079473,-1.522893,-6.497542
1718465079674,-2.883936,-6.499031
1718465079866,-4.296869,-6.498091
1718465080071,-5.696721,-6.499428
1718465080275,-7.056258,-6.499119
1718465080474,-8.427221,-6.50031
1718465080674,-9.824955,-6.499439
1718465080868,-11.15936,-6.500879
1718465081073,-12.55935,-6.499451
1718465081266,-13.95319,-6.499427
1718465081471,-15.33904,-6.502596
1718465081671,-16.73904,-6.499477
1718465081868,-18.13901,-6.499434
1718465082067,-19.53265,-6.499388
1718465082272,-20.55731,-6.498972
1718465082471,-21.18675,-6.49368
1718465082676,-21.88675,-6.499399
1718465082873,-22.60285,-6.49976
1718465083068,-23.29504,-6.498058
1718465083269,-23.96558,-6.499427
1718465083471,-24.65917,-6.499263
1718465083667,-25.35219,-6.50018
1718465083868,-25.98055,-6.499449
1718465084067,-26.68358,-6.499513
1718465084269,-27.39578,-6.499849
1718465084475,-28.08755,-6.500317
1718465084671,-28.78755,-6.499402
1718465084867,-29.45091,-6.499626
1718465085069,-30.15773,-6.500587
1718465085267,-30.4952,-6.895152
1718465085473,-30.5006,-7.538841
1718465085667,-30.49705,-8.249882
1718465085871,-30.49942,-8.949879
1718465086072,-30.48383,-9.667996
1718465086273,-30.49905,-10.3342
1718465086473,-30.49937,-11.02585
1718465086670,-30.49948,-11.73556
1718465086868,-30.48714,-12.43461
1718465087068,-30.49777,-13.12459
1718465087270,-30.49943,-13.82459
1718465087466,-30.49932,-14.51886
1718465087668,-30.49944,-14.37886
1718465087871,-30.4994,-13.71835
1718465088072,-30.49944,-13.43835
1718465088274,-30.50139,-14.10272
1718465088470,-30.49947,-14.80271
1718465088667,-30.41502,-15.44584
1718465088868,-29.87449,-15.50042
1718465089066,-29.17449,-15.50056
1718465089267,-28.46344,-15.49929
1718465089469,-27.77128,-15.49952
1718465089672,-27.07128,-15.49945
1718465089868,-26.40567,-15.49954
1718465090069,-25.70893,-15.49809
1718465090268,-25.04069,-15.49945
1718465090471,-24.34579,-15.49926
1718465090673,-23.65716,-15.50027
1718465090874,-22.98763,-15.49816
1718465091069,-22.25641,-15.48243
1718465091274,-21.58113,-15.49921
1718465091473,-20.98041,-15.49941
1718465091672,-20.27074,-15.49947
1718465091869,-19.5665,-15.5
1718465092073,-18.91021,-15.50024
1718465092271,-18.19511,-15.49939
1718465092473,-17.49644,-15.49907
1718465092668,-16.82599,-15.49483
1718465092871,-16.126,-15.49941
1718465093074,-15.42819,-15.49925
1718465093272,-14.76139,-15.49665
1718465093473,-14.06139,-15.49941
1718465093666,-13.36758,-15.49957
1718465093872,-12.73518,-15.50052
1718465094071,-12.03518,-15.49946
1718465094271,-11.32166,-15.49952
1718465094473,-10.62822,-15.49963
1718465094668,-9.96599,-15.49938
1718465094868,-9.257625,-15.49946
1718465095071,-8.553836,-15.49875
1718465095269,-7.872426,-15.50155
1718465095473,-7.172424,-15.49947
1718465095668,-6.516898,-15.4992
1718465095871,-5.944462,-15.49942
1718465096069,-5.227492,-15.4994
1718465096266,-4.57645,-15.50002
1718465096470,-3.79906,-15.5033
1718465096673,-2.506306,-15.50127
1718465096870,-1.154022,-15.4985
1718465097072,0.2250276,-15.49925
1718465097267,1.568262,-15.49957
1718465097469,2.966341,-15.49944
1718465097673,4.30687,-15.50116
1718465097868,5.713047,-15.49961
1718465098068,7.101628,-15.49919
1718465098274,8.470842,-15.49789
1718465098468,9.883718,-15.49973
1718465098670,11.2848,-15.49976
1718465098866,12.68137,-15.49942
1718465099071,13.99674,-15.49924
1718465099268,15.39268,-15.49536
1718465099471,16.76398,-15.49941
1718465099673,18.1343,-15.49712
1718465099873,19.52495,-15.49938
1718465100068,20.82685,-15.49912
1718465100272,21.49063,-15.49976
1718465100473,22.11058,-15.502
1718465100669,22.81058,-15.49947
1718465100867,23.52394,-15.49911
1718465101066,24.21916,-15.49739
1718465101271,24.91916,-15.49942
1718465101471,25.57601,-15.49919
1718465101671,26.24568,-15.50204
1718465101867,26.94568,-15.49948
1718465102069,27.64439,-15.49929
1718465102268,28.31512,-15.49824
1718465102467,28.9972,-15.49937
1718465102672,29.71377,-15.49935
1718465102867,30.41423,-15.49735
1718465103067,30.50037,-14.86628
1718465103267,30.50056,-14.16629
1718465103471,30.50109,-13.57035
1718465103671,30.50056,-13.57035
1718465103870,30.50071,-14.24666
1718465104072,30.50056,-14.66666
1718465104268,30.50064,-13.97539
1718465104471,30.50051,-13.2562
1718465104669,30.50055,-13.9562
1718465104873,30.50056,-14.64756
1718465105068,30.50056,-14.22756
1718465105274,30.50092,-13.60111
1718465105469,30.50056,-13.60111
1718465105672,30.50061,-14.31315
1718465105872,30.50056,-14.59315
1718465106068,30.50049,-13.9422
1718465106269,30.50051,-13.23805
1718465106468,30.50055,-13.93805
1718465106669,30.50059,-14.62005
1718465106873,30.50056,-14.20005
1718465107076,30.50083,-13.51144
1718465107268,30.50056,-13.65144
1718465107475,30.50069,-14.32655
1718465107672,30.50056,-14.46655
1718465107867,30.50327,-13.76167
1718465108067,30.50059,-13.34167
1718465108269,30.50031,-14.00238
1718465108470,30.50055,-14.70329
1718465108670,30.50056,-14.14329
1718465108871,30.50058,-13.48331
1718465109067,30.50056,-13.62331
1718465109272,30.50192,-14.22225
1718465109467,30.50057,-14.64224
1718465109672,30.50145,-14.00512
1718465109866,30.50057,-13.27288
1718465110072,30.50056,-13.83288
1718465110266,30.49999,-14.43466
1718465110472,30.50055,-14.43466
1718465110672,30.4983,-13.77012
1718465110867,30.50053,-13.35013
1718465111067,30.50054,-13.97508
1718465111273,30.50048,-14.67953
