time,enemyPos.X,enemyPos.Y
1718465079272,29.29378,3.501477
1718465079473,29.45378,3.500567
1718465079674,28.67222,3.500621
1718465079867,27.87222,3.498085
1718465080072,27.07222,3.50053
1718465080276,26.30828,3.500642
1718465080474,25.52707,3.500008
1718465080675,24.73215,3.500021
1718465080869,24.01882,3.500556
1718465081075,23.21972,3.500623
1718465081267,22.41727,3.500942
1718465081471,21.72917,3.500003
1718465081671,21.01002,3.500577
1718465081868,20.18048,3.50041
1718465082067,19.41078,3.500461
1718465082273,18.93533,3.49984
1718465082471,18.51939,3.500604
1718465082676,18.11938,3.500559
1718465082873,17.73906,3.499812
1718465083068,17.33905,3.500549
1718465083270,17.00287,3.500546
1718465083471,16.57922,3.500401
1718465083668,16.17921,3.500556
1718465083868,15.829,3.502073
1718465084067,15.429,3.500574
1718465084271,15.04386,3.500522
1718465084476,14.64398,3.500727
1718465084671,14.24398,3.50056
1718465084868,13.90881,3.498443
1718465085069,13.49307,3.500596
1718465085268,13.09307,3.500559
1718465085473,12.80791,3.49952
1718465085668,12.40791,3.500545
1718465085871,12.05404,3.500442
1718465086072,11.67218,3.500296
1718465086273,11.27218,3.500555
1718465086473,10.88412,3.497668
1718465086671,10.48412,3.500523
1718465086868,10.08412,3.500558
1718465087068,9.73221,3.501144
1718465087271,9.332211,3.500564
1718465087467,9.036079,3.500483
1718465087669,8.634624,3.500392
1718465087871,8.234623,3.500556
1718465088073,7.848564,3.496176
1718465088274,7.448565,3.500506
1718465088470,7.069698,3.500444
1718465088668,6.732067,3.500154
1718465088869,6.332067,3.500553
1718465089067,6.035576,3.500485
1718465089267,5.629557,3.500371
1718465089470,5.229557,3.500556
1718465089672,5.629557,3.500555
1718465089869,5.954657,3.500457
1718465090069,6.360003,3.50089
1718465090268,6.760002,3.500559
1718465090471,7.132244,3.497737
1718465090674,7.532244,3.500524
1718465090874,7.932243,3.500553
1718465091069,8.328468,3.500767
1718465091274,8.728466,3.500557
1718465091473,9.10891,3.497966
1718465091673,9.508909,3.500526
1718465091869,9.908909,3.500553
1718465092073,10.21477,3.501435
1718465092271,10.61477,3.500566
1718465092473,10.98862,3.50056
1718465092669,11.42685,3.500669
1718465092871,11.82685,3.500556
1718465093074,12.10684,3.498339
1718465093272,12.50684,3.500531
1718465093474,12.90684,3.500553
1718465093667,13.19613,3.499464
1718465093872,13.59613,3.500543
1718465094071,13.95329,3.500467
1718465094272,14.35086,3.500094
1718465094474,14.75086,3.50055
1718465094669,15.04074,3.50054
1718465094868,15.46681,3.500446
1718465095071,15.86681,3.500553
1718465095269,16.15264,3.498978
1718465095474,16.55265,3.500538
1718465095668,16.9319,3.500447
1718465095871,17.2932,3.500083
1718465096071,17.69321,3.50055
1718465096267,18.07618,3.499532
1718465096470,18.57746,3.500597
1718465096673,19.3364,3.50029
1718465096870,20.13673,3.503013
1718465097072,20.93673,3.500582
1718465097268,21.71268,3.500706
1718465097470,22.50572,3.500422
1718465097673,23.20611,3.499038
1718465097868,23.97314,3.500574
1718465098068,24.79066,3.50049
1718465098274,25.58401,3.500484
1718465098468,26.27526,3.499648
1718465098670,27.00336,3.5006
1718465098868,27.84227,3.500642
1718465099071,28.60856,3.50036
1718465099269,29.3886,3.49985
1718465099471,29.3886,3.500549
1718465099674,28.60868,3.500685
1718465099873,27.81538,3.499843
1718465100068,27.07859,3.500551
1718465100272,26.80194,3.501632
1718465100473,26.40193,3.50057
1718465100670,26.04312,3.500481
1718465100867,25.63647,3.500328
1718465101067,25.23646,3.500555
1718465101272,24.85176,3.502988
1718465101471,24.45175,3.500585
1718465101671,24.07385,3.500503
1718465101868,23.75157,3.501083
1718465102069,23.35156,3.500563
1718465102268,22.99327,3.50057
1718465102467,22.55782,3.500463
1718465102673,22.15781,3.500557
1718465102867,21.78642,3.501385
1718465103067,21.38641,3.500566
1718465103267,21.01363,3.500558
1718465103471,20.58765,3.500645
1718465103671,20.18764,3.500559
1718465103871,19.79723,3.501668
1718465104072,19.39722,3.50057
1718465104269,19.03428,3.500509
1718465104471,18.62535,3.500693
1718465104669,18.22534,3.50056
1718465104874,17.82432,3.501884
1718465105068,17.42431,3.500572
1718465105274,17.03762,3.500537
1718465105471,16.62616,3.500688
1718465105673,16.22615,3.500559
1718465105873,15.83459,3.502297
1718465106068,15.43459,3.500577
1718465106271,15.05128,3.500502
1718465106468,14.66745,3.500397
1718465106669,14.26745,3.500556
1718465106874,13.87437,3.502375
1718465107076,13.47437,3.500577
1718465107269,13.07437,3.500559
1718465107475,12.70524,3.500291
1718465107673,12.30524,3.500554
1718465107867,11.9218,3.499361
1718465108067,11.50674,3.500592
1718465108269,11.10674,3.500559
1718465108471,10.71577,3.501011
1718465108670,10.31577,3.500563
1718465108871,9.967907,3.500566
1718465109068,9.539402,3.500612
1718465109272,9.139402,3.500559
1718465109467,8.78389,3.501637
1718465109672,8.38389,3.50057
1718465109866,8.008829,3.500566
1718465110073,7.586456,3.500638
1718465110267,7.186455,3.500559
1718465110472,6.796431,3.501644
1718465110672,6.396431,3.50057
1718465110867,6.032801,3.500513
1718465111068,5.622412,3.500693
1718465111274,5.222412,3.50056
