time,enemyPos.X,enemyPos.Y
1718022771123,30.49948,9.71176
1718022771318,30.49651,7.754495
1718022771514,30.49801,5.754497
1718022771717,30.4994,3.754498
1718022771915,28.71297,3.49957
1718022772119,26.71296,3.500547
1718022772319,24.71296,3.500559
1718022772516,22.71295,3.500559
1718022772716,20.71294,3.500559
1718022772919,18.71293,3.500559
1718022773116,16.71292,3.500559
1718022773319,14.96182,3.494641
1718022773519,12.95091,3.500488
1718022773720,10.95091,3.500559
1718022773920,8.950916,3.500561
1718022774119,6.950918,3.500561
1718022774321,4.95092,3.500561
1718022774519,2.95092,3.500158
1718022774721,0.9509201,3.500555
1718022774916,-1.04908,3.495591
1718022775116,-3.04908,3.500504
1718022775316,-4.512514,2.912472
1718022775521,-4.499628,0.9124708
1718022775717,-4.499449,-1.087529
1718022775915,-4.499447,-3.087529
1718022776119,-6.025833,-3.495201
1718022776313,-8.049736,-3.500336
1718022776520,-10.04974,-3.49945
1718022776715,-12.04973,-3.49944
1718022776920,-14.04973,-3.499439
1718022777116,-16.04973,-3.499842
1718022777321,-18.04974,-3.499445
1718022777513,-20.04974,-3.499439
1718022777721,-22.04975,-3.499439
1718022777918,-24.04976,-3.499439
