time,enemyPos.X,enemyPos.Y
1718466120610,16.7461,3.500559
1718466120809,14.7461,3.500559
1718466121010,12.7461,3.500559
1718466121212,10.7461,3.500559
1718466121412,8.746105,3.500559
1718466121612,6.746109,3.500559
1718466121807,4.746109,3.499446
1718466122008,4.499531,1.711756
1718466122208,4.500542,-0.288244
1718466122412,4.500553,-2.288244
1718466122615,3.708954,-3.512422
1718466122813,1.750217,-3.5048
1718466123012,-0.2497826,-3.499503
1718466123212,-2.249783,-3.499442
1718466123412,-4.249783,-3.498549
1718466123608,-4.500526,-1.71151
1718466123809,-4.499454,0.2884901
1718466124011,-4.499441,2.28849
1718466124213,-5.291058,3.512513
1718466124412,-7.236233,3.499976
1718466124612,-9.236233,3.501442
1718466124813,-11.23623,3.500765
1718466125012,-13.23623,3.500561
1718466125213,-15.23623,3.500559
1718466125410,-17.23623,3.500559
1718466125610,-19.23624,3.500559
1718466125810,-21.23624,3.500559
1718466126011,-23.23625,3.500559
1718466126208,-25.23626,3.500559
1718466126412,-27.23627,3.500559
1718466126611,-29.23627,3.500559
1718466126809,-30.50331,2.716926
1718466127012,-30.49956,0.7169256
1718466127208,-30.49945,-1.283074
1718466127409,-30.49856,-3.283074
1718466127613,-30.49924,-5.283073
1718466127813,-30.49752,-7.283072
1718466128012,-30.49853,-9.28307
1718466128209,-28.75852,-9.493803
1718466128409,-26.74734,-9.49955
1718466128608,-25.04734,-9.499449
1718466128811,-24.06565,-9.499379
1718466129008,-23.09627,-9.4993
1718466129208,-22.18597,-9.499191
1718466129409,-21.23361,-9.499689
1718466129607,-20.21943,-9.499777
1718466129810,-19.21704,-9.499197
1718466130009,-18.21991,-9.499305
1718466130207,-17.22378,-9.499441
1718466130412,-16.22962,-9.499439
1718466130607,-15.2371,-9.499177
1718466130813,-14.24486,-9.499234
1718466131010,-13.25566,-9.499305
1718466131207,-12.27435,-9.499564
1718466131408,-11.31113,-9.499033
1718466131609,-10.3028,-9.499127
1718466131808,-9.348373,-9.499781
1718466132014,-8.355961,-9.509968
1718466132214,-7.364952,-9.499227
1718466132414,-6.399651,-9.499054
1718466132608,-5.441517,-9.499947
1718466132810,-4.452488,-9.499036
1718466133011,-3.468178,-9.49989
1718466133213,-2.499899,-9.498623
1718466133408,-1.542154,-9.499844
1718466133609,-0.5534191,-9.498827
1718466133809,0.4300728,-9.500069
1718466134009,1.397745,-9.498227
1718466134208,2.354412,-9.500798
1718466134411,3.341366,-9.498664
1718466134608,4.318453,-9.499877
1718466134812,5.265242,-9.497318
1718466135012,6.276892,-9.502303
1718466135213,7.278717,-9.497308
1718466135414,8.275202,-9.49738
1718466135609,9.268978,-9.497623
1718466135810,10.26163,-9.497027
1718466136012,11.25364,-9.497588
1718466136214,12.24178,-9.49899
1718466136415,13.21962,-9.50017
1718466136612,14.43674,-9.499445
1718466136811,16.46187,-9.49973
1718466137009,18.46188,-9.49945
1718466137212,20.46189,-9.499446
1718466137412,22.4619,-9.497844
1718466137608,24.4619,-9.499314
1718466137809,26.46191,-9.499444
1718466138010,28.46192,-9.499446
1718466138211,30.46193,-9.499447
1718466138413,30.50084,-7.511643
1718466138612,29.5067,-6.496228
1718466138810,27.55888,-6.499746
1718466139008,25.55887,-6.499445
1718466139212,23.55886,-6.499442
1718466139413,21.55886,-6.500975
1718466139614,19.55885,-6.499459
