time,enemyPos.X,enemyPos.Y
1718466120609,-6.210168,-6.491923
1718466120809,-7.522935,-6.497539
1718466121008,-8.884004,-6.49903
1718466121212,-10.29694,-6.498082
1718466121411,-11.6968,-6.499428
1718466121612,-13.05655,-6.499119
1718466121807,-14.4709,-6.492991
1718466122008,-15.81434,-6.499305
1718466122208,-17.07019,-6.499218
1718466122412,-18.47506,-6.500724
1718466122614,-19.88972,-6.499814
1718466122812,-21.29073,-6.498714
1718466123010,-22.68952,-6.499425
1718466123211,-24.02978,-6.499146
1718466123412,-25.45284,-6.500342
1718466123607,-26.85323,-6.49929
1718466123809,-28.24199,-6.499282
1718466124011,-29.61152,-6.498423
1718466124213,-30.50341,-5.956165
1718466124412,-30.49977,-4.556167
1718466124612,-30.49629,-3.156153
1718466124812,-30.49924,-1.783286
1718466125012,-30.4994,-0.4665337
1718466125212,-30.49904,0.9331284
1718466125409,-30.50118,2.315766
1718466125610,-30.21576,3.436184
1718466125810,-28.84725,3.500395
1718466126011,-27.44801,3.500566
1718466126208,-26.05901,3.500571
1718466126412,-24.67728,3.498952
1718466126611,-23.27662,3.500896
1718466126809,-21.88025,3.50072
1718466127011,-20.50179,3.500637
1718466127208,-19.17974,3.500568
1718466127409,-17.81783,3.504093
1718466127612,-16.40547,3.499884
1718466127813,-15.005,3.500673
1718466128011,-13.61448,3.500653
1718466128209,-12.24219,3.501083
1718466128408,-10.8928,3.50078
1718466128608,-9.700337,3.516066
1718466128810,-9.041821,3.502363
1718466129008,-8.374473,3.50062
1718466129208,-7.757433,3.502486
1718466129409,-7.057431,3.500576
1718466129607,-6.350023,3.500381
1718466129810,-5.674312,3.499812
1718466130009,-4.978729,3.499348
1718466130207,-4.549403,3.213266
1718466130411,-4.499051,2.741096
1718466130607,-4.499442,2.041097
1718466130813,-4.499485,1.332353
1718466131010,-4.498625,0.6431241
1718466131207,-4.499415,0.006729603
1718466131407,-4.499366,-0.7029867
1718466131608,-4.500325,-1.34798
1718466131808,-4.499483,-1.969486
1718466132014,-4.499642,-2.671174
1718466132213,-4.502345,-3.388268
1718466132414,-5.134798,-3.499027
1718466132608,-5.834799,-3.500536
1718466132810,-6.425246,-3.498979
1718466133011,-7.050992,-3.499403
1718466133212,-7.786466,-3.499502
1718466133408,-8.457979,-3.499618
1718466133608,-9.159048,-3.495608
1718466133808,-9.859045,-3.499397
1718466134009,-10.52989,-3.499606
1718466134208,-11.23248,-3.49688
1718466134411,-11.93248,-3.499412
1718466134608,-12.60962,-3.499546
1718466134812,-13.31061,-3.500077
1718466135012,-14.00295,-3.500646
1718466135213,-14.70352,-3.504469
1718466135413,-15.37984,-3.499342
1718466135608,-16.05432,-3.499387
1718466135810,-16.76871,-3.499408
1718466136011,-17.38115,-3.499677
1718466136214,-18.0574,-3.499393
1718466136414,-18.78683,-3.499507
1718466136612,-19.66394,-3.499615
1718466136811,-21.00186,-3.502906
1718466137009,-22.39836,-3.499374
1718466137212,-23.77547,-3.499408
1718466137412,-25.05351,-3.49912
1718466137608,-26.41963,-3.499411
1718466137808,-27.81362,-3.49942
1718466138009,-29.07489,-3.499221
1718466138211,-30.49734,-3.499189
1718466138412,-30.50078,-4.877716
1718466138612,-30.49809,-6.284901
1718466138809,-30.49897,-7.680624
1718466139008,-30.49583,-9.032973
1718466139211,-30.49878,-10.38854
