time,enemyPos.X,enemyPos.Y
1718466120609,3.293812,-9.498523
1718466120809,4.058635,-9.499371
1718466121008,4.866914,-9.499392
1718466121212,5.66314,-9.499198
1718466121411,6.350317,-9.499846
1718466121612,7.059029,-9.4994
1718466121807,7.89766,-9.499535
1718466122008,8.673354,-9.499816
1718466122208,9.408111,-9.498693
1718466122412,10.22497,-9.500961
1718466122614,11.00441,-9.499372
1718466122812,11.81021,-9.499363
1718466123010,12.61141,-9.499315
1718466123211,13.38245,-9.498747
1718466123411,14.17561,-9.4943
1718466123607,14.97561,-9.499408
1718466123808,15.78009,-9.499372
1718466124011,16.56188,-9.499005
1718466124212,17.36175,-9.500278
1718466124412,18.11192,-9.501555
1718466124611,18.91192,-9.49947
1718466124812,19.65514,-9.499234
1718466125012,20.47562,-9.499992
1718466125212,21.26875,-9.50015
1718466125409,22.0419,-9.497981
1718466125609,22.85636,-9.491091
1718466125809,23.64592,-9.499416
1718466126010,24.43723,-9.499434
1718466126207,25.17947,-9.494286
1718466126411,25.95741,-9.500297
1718466126611,26.74683,-9.499482
1718466126809,27.45209,-9.499138
1718466127011,28.2482,-9.502057
1718466127208,29.04056,-9.499374
1718466127409,29.69728,-9.499505
1718466127612,28.92018,-9.499166
1718466127812,28.11469,-9.499439
1718466128011,27.31465,-9.499556
1718466128209,26.55636,-9.499084
1718466128408,25.78963,-9.500854
1718466128608,25.10963,-9.499458
1718466128810,24.71003,-9.499891
1718466129008,24.31002,-9.499448
1718466129208,23.94146,-9.499914
1718466129407,23.52489,-9.499499
1718466129607,23.12488,-9.499443
1718466129810,22.71215,-9.480683
1718466130009,22.31214,-9.480683
1718466130207,22.01047,-9.497226
1718466130411,21.61513,-9.499433
1718466130607,21.21512,-9.499442
1718466130813,20.984,-9.499436
1718466131009,20.55545,-9.499393
1718466131207,20.15544,-9.499442
1718466131407,19.76817,-9.501249
1718466131608,19.36816,-9.499465
1718466131808,19.03955,-9.499527
1718466132013,18.64724,-9.499638
1718466132213,18.24723,-9.499446
1718466132413,17.93593,-9.500028
1718466132608,17.50985,-9.499493
1718466132810,17.10984,-9.499442
1718466133011,16.7145,-9.499849
1718466133212,16.31449,-9.499448
1718466133407,15.96244,-9.499438
1718466133608,15.54458,-9.499512
1718466133808,15.14458,-9.499443
1718466134008,14.74455,-9.498919
1718466134208,14.34455,-9.499437
1718466134410,13.97367,-9.499424
1718466134608,13.54857,-9.499393
1718466134811,13.14857,-9.499441
1718466135011,12.76357,-9.498793
1718466135212,12.36357,-9.499435
1718466135413,12.0274,-9.49949
1718466135608,11.62571,-9.49955
1718466135810,11.22571,-9.499444
1718466136011,10.82168,-9.498024
