time,enemyPos.X,enemyPos.Y
1718464035103,15.7461,12.50056
1718464035295,13.74611,12.50056
1718464035499,11.74611,12.50056
1718464035700,9.746109,12.50056
1718464035896,7.746111,12.50056
1718464036102,5.746113,12.50056
1718464036300,3.746115,12.50056
1718464036498,1.746113,12.50056
1718464036700,-0.2538872,12.50056
1718464036896,-2.253887,12.50056
1718464037099,-4.253887,12.50056
1718464037304,-6.253885,12.50056
1718464037500,-8.253883,12.50056
1718464037698,-10.25388,12.50056
1718464037901,-12.25388,12.50056
1718464038100,-14.25388,12.49816
1718464038296,-16.25388,12.50053
1718464038498,-18.25388,12.50056
1718464038700,-20.25389,12.50056
1718464038895,-22.2539,12.50056
1718464039103,-24.25391,12.50056
1718464039297,-26.25391,12.50056
1718464039498,-28.25392,12.50056
1718464039695,-30.25393,12.49945
1718464039897,-30.50047,10.71175
1718464040097,-30.50311,8.770822
1718464040297,-30.49861,6.770823
1718464040495,-30.49924,4.770825
1718464040701,-30.49752,2.770825
1718464040902,-30.49943,0.7708254
1718464041101,-30.49945,-1.229175
1718464041300,-30.49856,-3.229176
1718464041500,-30.49924,-5.229174
1718464041703,-29.71472,-6.502344
1718464041895,-27.71471,-6.499544
1718464042102,-25.71471,-6.499447
1718464042302,-23.7147,-6.499447
1718464042498,-21.71469,-6.499447
1718464042701,-19.71468,-6.499447
1718464042895,-17.71468,-6.499447
1718464043098,-15.71467,-6.499447
1718464043298,-13.77833,-6.50172
1718464043498,-11.77833,-6.499472
1718464043699,-9.778328,-6.499447
1718464043897,-7.778332,-6.499447
1718464044100,-5.778334,-6.499447
1718464044300,-3.778336,-6.499447
1718464044496,-1.778336,-6.499447
1718464044696,0.2216663,-6.499447
1718464044899,2.221666,-6.499447
1718464045098,4.221666,-6.499447
1718464045295,6.221664,-6.499447
1718464045494,8.221663,-6.499447
1718464045698,10.22166,-6.498556
1718464045895,12.22166,-6.499241
1718464046100,14.22166,-6.499443
1718464046297,16.22166,-6.499447
1718464046501,18.22166,-6.499447
1718464046702,20.22167,-6.499447
1718464046903,22.22168,-6.500559
1718464047097,23.20307,-6.499899
1718464047294,24.08214,-6.499393
1718464047499,25.05332,-6.499357
1718464047696,26.06925,-6.499294
1718464047900,27.0598,-6.499254
1718464048101,28.04783,-6.499237
1718464048298,29.03426,-6.499235
1718464048494,30.04227,-6.499407
1718464048700,30.49607,-7.071861
1718464048894,30.50072,-8.063847
1718464049100,30.4984,-9.059458
1718464049300,30.49821,-10.04382
1718464049500,30.50074,-11.01625
1718464049694,30.50039,-11.69394
1718464049896,30.50039,-11.69394
1718464050097,30.50039,-11.69394
1718464050297,30.50039,-11.69394
1718464050499,30.50039,-11.69394
1718464050695,30.50039,-11.69394
1718464050900,30.50039,-11.69394
1718464051100,30.50039,-11.69394
1718464051297,30.50039,-11.69394
1718464051498,30.50039,-11.69394
1718464051694,30.50039,-11.69394
1718464051895,30.50039,-11.69394
1718464052099,30.50039,-11.69394
1718464052298,30.50039,-11.69394
1718464052500,30.50039,-11.69394
1718464052696,30.50039,-11.69394
1718464052896,30.50039,-11.69394
1718464053097,30.50039,-11.69394
1718464053300,30.50039,-11.69394
1718464053496,30.50039,-11.69394
1718464053694,30.50039,-11.69394
1718464053899,30.50039,-11.69394
1718464054097,30.50039,-11.69394
1718464054300,30.50039,-11.69394
1718464054497,30.50039,-11.69394
1718464054694,30.50039,-11.69394
1718464054900,30.50039,-11.69394
1718464055098,30.50039,-11.69394
1718464055296,30.50039,-11.69394
1718464055497,30.50039,-11.69394
1718464055697,30.50039,-11.69394
1718464055900,30.50039,-11.69394
1718464056102,30.50039,-11.69394
1718464056298,30.50039,-11.69394
1718464056497,30.50039,-11.69394
1718464056698,30.50039,-11.69394
1718464056901,30.50039,-11.69394
1718464057099,30.50039,-11.69394
1718464057301,30.50039,-11.69394
1718464057500,30.50039,-11.69394
1718464057696,30.50039,-11.69394
1718464057900,30.50039,-11.69394
1718464058095,30.50039,-11.69394
1718464058307,30.50039,-11.69394
