time,enemyPos.X,enemyPos.Y
1718464035102,1.789837,-6.491925
1718464035294,0.4770737,-6.49754
1718464035498,-0.8839893,-6.49903
1718464035699,-2.296924,-6.498085
1718464035894,-3.696782,-6.499428
1718464036102,-5.056469,-6.499119
1718464036299,-6.427496,-6.500321
1718464036497,-7.825319,-6.499439
1718464036700,-9.161465,-6.501207
1718464036896,-10.56292,-6.499504
1718464037099,-11.95863,-6.499429
1718464037304,-13.25029,-6.499344
1718464037499,-14.67022,-6.46939
1718464037697,-15.96655,-6.49929
1718464037900,-17.26468,-6.48697
1718464038098,-18.64772,-6.499386
1718464038294,-19.99766,-6.499528
1718464038497,-21.39036,-6.499354
1718464038699,-22.76469,-6.498767
1718464038894,-23.99791,-6.499214
1718464039103,-25.38805,-6.49935
1718464039296,-26.76165,-6.498834
1718464039498,-28.12093,-6.499292
1718464039695,-29.50052,-6.499362
1718464039896,-30.48052,-6.079427
1718464040097,-30.4991,-4.730459
1718464040296,-30.46677,-3.333104
1718464040494,-30.50294,-1.996022
1718464040701,-30.49939,-0.597765
1718464040900,-30.49941,0.7830706
1718464041099,-30.49925,2.115173
1718464041299,-30.49563,3.505837
1718464041499,-29.099,3.500103
1718464041702,-27.80212,3.498125
1718464041894,-26.40212,3.500526
1718464042102,-25.00212,3.500549
1718464042301,-23.60928,3.500644
1718464042496,-22.23487,3.501239
1718464042701,-20.99735,3.500802
1718464042895,-19.5947,3.500587
1718464043098,-18.21111,3.500586
1718464043298,-16.85733,3.500337
1718464043497,-15.46174,3.500601
1718464043698,-14.08471,3.500575
1718464043897,-12.77767,3.493877
1718464044099,-11.44228,3.500577
1718464044300,-10.04941,3.500568
1718464044495,-8.665764,3.498781
1718464044695,-7.265764,3.500534
1718464044898,-5.866232,3.500589
1718464045097,-4.60962,3.356802
1718464045294,-4.499226,2.014324
1718464045494,-4.499321,0.6357737
1718464045697,-4.499491,-0.7052155
1718464045894,-4.499142,-2.08255
1718464046099,-4.499434,-3.482551
1718464046297,-5.894367,-3.500941
1718464046501,-7.294376,-3.499565
1718464046702,-8.69392,-3.499436
1718464046902,-10.04638,-3.499124
1718464047096,-10.76033,-3.499404
1718464047293,-11.42658,-3.499932
1718464047499,-12.05735,-3.499411
1718464047695,-12.76994,-3.499394
1718464047898,-13.39727,-3.499859
1718464048099,-14.11002,-3.503698
1718464048297,-14.81554,-3.520439
1718464048494,-15.49369,-3.499551
1718464048700,-16.12743,-3.49759
1718464048893,-16.82743,-3.49942
1718464049099,-17.49589,-3.499789
1718464049299,-18.13831,-3.496901
1718464049500,-18.83831,-3.499412
1718464049693,-19.4596,-3.500176
1718464049896,-20.17225,-3.494745
1718464050097,-20.87225,-3.499407
1718464050296,-21.56581,-3.49924
1718464050497,-22.21154,-3.497748
1718464050695,-22.91154,-3.499422
1718464050900,-23.54972,-3.499615
1718464051099,-24.22134,-3.501788
1718464051297,-24.92134,-3.499468
1718464051498,-25.57845,-3.499187
1718464051694,-26.25372,-3.500411
1718464051895,-26.95371,-3.499452
1718464052098,-27.66015,-3.499251
1718464052297,-28.34756,-3.498777
1718464052499,-28.96839,-3.499476
1718464052696,-29.6691,-3.499302
1718464052895,-30.3851,-3.501891
1718464053096,-30.49938,-2.873677
1718464053300,-30.50054,-2.173677
1718464053495,-30.49934,-1.481164
1718464053694,-30.49805,-0.8006673
1718464053898,-30.49943,-0.1006675
1718464054097,-30.49927,0.5565124
1718464054300,-30.49529,1.166276
1718464054496,-30.4994,1.866276
1718464054694,-30.49963,2.567734
1718464054899,-30.50003,3.266607
1718464055097,-30.49692,3.946032
1718464055295,-30.49757,5.227314
1718464055496,-30.49831,5.021849
1718464055696,-30.47194,3.615296
1718464055899,-30.49978,2.218885
1718464056100,-30.4992,0.8976331
1718464056297,-30.49935,-0.4834933
1718464056496,-30.49881,-1.774753
1718464056697,-30.49812,-3.126561
1718464056901,-30.49845,-4.507311
1718464057098,-30.49957,-5.855938
1718464057300,-29.70308,-6.502584
1718464057500,-28.30323,-6.4996
1718464057696,-26.94359,-6.499121
1718464057899,-25.57257,-6.50032
1718464058094,-24.17478,-6.499444
1718464058304,-22.83912,-6.501113
1718464058495,-21.43826,-6.499486
1718464058697,-20.04314,-6.499434
1718464058900,-18.75144,-6.487042
1718464059100,-17.38462,-6.499385
1718464059293,-15.97498,-6.499672
1718464059503,-14.57351,-6.498026
1718464059699,-13.17695,-6.499157
1718464059893,-11.85324,-6.499825
1718464060096,-10.45567,-6.499425
1718464060297,-9.620594,-6.499441
1718464060497,-8.94672,-6.499389
1718464060700,-8.239098,-6.499404
1718464060902,-7.578941,-6.499275
1718464061101,-6.969599,-6.499402
1718464061296,-6.259447,-6.499495
1718464061493,-5.546352,-6.498929
1718464061695,-4.851501,-6.496288
1718464061894,-4.1515,-6.499409
1718464062099,-3.496689,-6.499073
1718464062296,-2.817168,-6.494001
1718464062498,-2.117168,-6.499406
1718464062697,-1.40941,-6.49914
1718464062895,-0.7210588,-6.498373
1718464063099,-0.05954361,-6.499506
1718464063299,0.5923967,-6.499511
1718464063495,1.298499,-6.501023
1718464063700,1.971046,-6.499439
1718464063897,2.670422,-6.499508
1718464064101,3.37382,-6.498375
1718464064294,4.039341,-6.499374
1718464064498,4.752727,-6.499493
1718464064696,5.4563,-6.499655
1718464064895,6.143957,-6.496473
1718464065101,6.843959,-6.499412
1718464065300,7.478709,-6.499236
1718464065494,8.14788,-6.502844
1718464065699,8.847877,-6.499485
1718464065898,9.496607,-6.499115
1718464066099,10.2024,-6.500142
1718464066302,10.9024,-6.495547
1718464066495,11.56286,-6.499371
1718464066696,12.19071,-6.497903
1718464066898,12.89071,-6.499429
1718464067095,13.59893,-6.499522
1718464067301,14.28853,-6.498145
1718464067501,14.95533,-6.499457
1718464067700,15.63986,-6.499301
1718464067893,16.30727,-6.49767
1718464068098,16.98491,-6.499386
1718464068296,18.25486,-6.499328
1718464068499,19.62946,-6.498645
1718464068700,20.94099,-6.498985
1718464068895,22.31114,-6.504745
1718464069098,23.71113,-6.500034
1718464069302,25.09751,-6.499178
1718464069500,26.46206,-6.498368
1718464069696,27.87533,-6.499724
1718464069896,29.2755,-6.499392
1718464070097,30.39549,-6.219444
1718464070295,30.50053,-5.049922
1718464070495,30.50064,-4.38453
1718464070694,30.50056,-4.804531
1718464070894,30.50061,-5.50623
1718464071103,30.49201,-6.195791
1718464071298,30.49201,-6.895793
1718464071493,30.50071,-7.548161
1718464071695,30.50071,-7.548161
1718464071894,30.50071,-7.548161
1718464072097,30.50071,-7.548161
1718464072294,30.50071,-7.548161
1718464072501,30.50071,-7.548161
1718464072694,30.50071,-7.548161
1718464072898,30.50071,-7.548161
1718464073096,30.50071,-7.548161
