time,enemyPos.X,enemyPos.Y
1718464035102,26.19318,9.500448
1718464035294,25.38489,9.500341
1718464035499,24.60821,9.501425
1718464035700,23.8153,9.499811
1718464035896,23.06187,9.500479
1718464036102,22.32012,9.500434
1718464036299,21.56101,9.500277
1718464036498,20.81079,9.499765
1718464036700,20.0293,9.501471
1718464036896,19.2082,9.50369
1718464037099,18.42937,9.500702
1718464037304,17.62917,9.501079
1718464037499,16.85988,9.503075
1718464037697,16.05988,9.500587
1718464037901,15.26826,9.50069
1718464038100,14.46301,9.500304
1718464038294,13.68384,9.502048
1718464038497,12.88686,9.498611
1718464038699,12.08686,9.500536
1718464038894,11.35155,9.500753
1718464039103,10.53428,9.500149
1718464039296,9.748579,9.50244
1718464039498,8.954821,9.500656
1718464039695,8.147015,9.500595
1718464039897,7.373444,9.500757
1718464040097,6.576923,9.501496
1718464040297,5.802441,9.494548
1718464040495,5.019382,9.499316
1718464040701,4.221535,9.500612
1718464040901,3.436155,9.501001
1718464041100,2.633968,9.499923
1718464041299,1.874098,9.502957
1718464041500,1.074097,9.500586
1718464041703,0.3013363,9.500422
1718464041895,-0.4910011,9.501049
1718464042102,-1.29771,9.4996
1718464042302,-2.068962,9.500608
1718464042496,-2.877647,9.500625
1718464042701,-3.675735,9.500457
1718464042895,-4.417747,9.501429
1718464043098,-5.187588,9.493196
1718464043298,-5.942745,9.500464
1718464043497,-6.697269,9.500651
1718464043699,-7.496113,9.500122
1718464043897,-8.308144,9.499316
1718464044099,-9.09412,9.499859
1718464044300,-9.895538,9.500612
1718464044496,-10.69792,9.500665
1718464044696,-11.47667,9.501179
1718464044899,-12.27375,9.499716
1718464045097,-13.05096,9.501996
1718464045294,-13.86554,9.510789
1718464045494,-14.65828,9.500669
1718464045697,-15.41623,9.500384
1718464045895,-16.2164,9.502115
1718464046099,-16.99027,9.500632
1718464046297,-17.7919,9.500652
1718464046501,-18.58457,9.500475
1718464046702,-19.27899,9.499456
1718464046903,-20.01477,9.500617
1718464047096,-20.47507,9.500433
1718464047294,-20.87508,9.500556
1718464047499,-21.2281,9.49891
1718464047696,-21.62811,9.500538
1718464047900,-21.95109,9.500453
1718464048101,-22.33053,9.500258
1718464048298,-22.73054,9.500554
1718464048494,-23.13073,9.49784
1718464048700,-23.53074,9.500525
1718464048893,-23.93075,9.500559
1718464049099,-24.31849,9.50051
1718464049299,-24.7185,9.500557
1718464049500,-25.05172,9.500276
1718464049694,-25.46915,9.500508
1718464049896,-25.86916,9.500558
1718464050097,-26.18535,9.50218
1718464050297,-26.58536,9.500575
1718464050497,-26.93414,9.500452
1718464050695,-27.27258,9.501322
1718464050900,-27.67258,9.500566
1718464051100,-27.98205,9.500525
1718464051297,-28.4147,9.500428
1718464051498,-28.81471,9.500556
1718464051694,-29.22345,9.501541
1718464051895,-29.62346,9.500568
1718464052099,-30.02347,9.500559
1718464052297,-30.39373,9.538936
1718464052499,-30.49371,9.882448
1718464052696,-30.50041,10.15442
1718464052896,-30.50056,10.55442
1718464053097,-30.5004,10.93421
1718464053300,-30.49901,11.27233
1718464053496,-30.49944,11.67233
1718464053694,-30.49885,12.05902
1718464053899,-30.41655,12.40508
1718464054097,-30.06695,12.49825
1718464054300,-29.71312,12.50052
1718464054496,-29.31311,12.50056
1718464054694,-28.95631,12.50047
1718464054900,-28.54055,12.5005
1718464055097,-28.14054,12.50055
1718464055296,-27.41888,12.50047
1718464055497,-26.65711,12.50014
1718464055696,-25.98321,12.50059
1718464055900,-25.17501,12.50053
1718464056102,-24.45814,12.50028
1718464056297,-23.65283,12.50215
1718464056497,-22.95894,12.50061
1718464056698,-22.13395,12.50051
1718464056901,-21.32235,12.50075
1718464057098,-20.57883,12.49941
1718464057301,-19.80753,12.49936
1718464057500,-19.04935,12.50051
1718464057696,-18.27649,12.50074
1718464057900,-17.46215,12.50026
1718464058095,-16.68257,12.50209
1718464058306,-15.88475,12.49833
1718464058495,-15.08475,12.50053
1718464058697,-14.3438,12.50078
1718464058901,-13.5348,12.49006
1718464059101,-12.8259,12.50444
1718464059293,-12.02591,12.5006
1718464059504,-11.19986,12.50046
1718464059699,-10.40329,12.50037
1718464059894,-9.660038,12.50194
1718464060096,-8.891407,12.4991
1718464060297,-8.411407,12.50054
1718464060497,-8.060257,12.50044
1718464060700,-7.718613,12.501
1718464060902,-7.318615,12.50056
1718464061101,-6.980293,12.50057
1718464061297,-6.537029,12.50063
1718464061493,-6.137032,12.50056
1718464061695,-5.9114,12.49891
1718464061894,-5.485752,12.50061
1718464062099,-5.085754,12.50055
1718464062296,-4.72554,12.50135
1718464062498,-4.325539,12.50056
1718464062697,-4.010307,12.50054
1718464062897,-3.570007,12.50068
1718464063100,-3.17001,12.50056
1718464063299,-2.857529,12.497
1718464063495,-2.457527,12.50051
1718464063700,-2.081388,12.50055
1718464063897,-1.814976,12.50226
1718464064101,-1.414976,12.50058
1718464064295,-1.066463,12.50045
1718464064498,-0.7305183,12.50132
1718464064696,-0.3305187,12.50056
1718464064896,-0.02994347,12.5005
1718464065101,0.4017677,12.50078
1718464065301,0.8017693,12.50056
1718464065494,1.184959,12.50221
1718464065699,1.584959,12.50058
1718464065898,1.933424,12.50045
1718464066100,2.256815,12.50117
1718464066302,2.656815,12.50056
1718464066496,2.982607,12.50053
1718464066697,3.408936,12.50044
1718464066898,3.808935,12.50055
1718464067096,4.190741,12.49944
1718464067302,4.59074,12.50054
1718464067502,4.94355,12.50043
1718464067700,5.298681,12.50026
1718464067894,5.698681,12.50055
1718464068100,6.023403,12.50056
1718464068296,6.774622,12.50061
1718464068499,7.554615,12.50093
1718464068700,8.350796,12.50014
1718464068895,9.061722,12.5006
1718464069098,9.877455,12.50062
1718464069302,10.68542,12.50044
1718464069500,11.44453,12.5004
1718464069696,12.21392,12.49893
1718464069896,12.98615,12.5006
1718464070097,13.8,12.50058
1718464070295,14.52295,12.50035
1718464070496,14.92295,12.50055
1718464070694,15.28886,12.50102
1718464070895,15.68886,12.50056
1718464071103,16.05368,12.50023
1718464071300,16.47333,12.50051
1718464071493,16.87334,12.50055
1718464071695,17.20566,12.50133
1718464071894,17.60567,12.50056
1718464072097,17.97121,12.50052
1718464072295,18.38725,12.50028
1718464072501,18.78726,12.50055
1718464072694,19.16952,12.48896
1718464072898,19.56953,12.48896
1718464073096,19.9499,12.49821
1718464073300,20.32169,12.50058
1718464073517,20.7617,12.50056
1718464073700,21.0743,12.49954
1718464073900,21.49227,12.50059
1718464074099,21.89228,12.50056
1718464074295,22.28745,12.50088
1718464074499,22.68746,12.50056
1718464074699,23.04652,12.50041
1718464074895,23.46405,12.5005
1718464075100,23.86406,12.50055
1718464075297,24.1105,12.49794
1718464075494,24.51051,12.50053
1718464075695,24.91052,12.50055
1718464075900,25.23619,12.4986
1718464076096,25.6362,12.50053
1718464076295,25.97199,12.50051
1718464076495,26.38777,12.50028
1718464076696,26.78778,12.50055
