time,enemyPos.X,enemyPos.Y
1718465848909,-7.74617,12.50055
1718465849107,-5.746172,12.50055
1718465849306,-3.746174,12.50055
1718465849510,-1.746173,12.50055
1718465849703,0.2538261,12.50055
1718465849907,2.253828,12.50055
1718465850103,4.253828,12.50055
1718465850308,6.253826,12.50055
1718465850506,8.253824,12.50055
1718465850708,10.25382,12.50055
1718465850906,12.25382,12.50055
1718465851106,14.25382,12.50055
1718465851304,16.25382,12.50055
1718465851509,18.25383,12.50055
1718465851707,20.25383,12.49816
1718465851905,22.25384,12.50053
1718465852106,24.25385,12.50055
1718465852304,26.25386,12.50055
1718465852507,28.25386,12.50055
1718465852703,30.25387,12.49944
1718465852905,30.50086,10.71176
1718465853104,30.50354,8.770694
1718465853309,30.49889,6.754492
1718465853508,30.50028,4.754494
1718465853703,30.49815,2.754495
1718465853905,30.50053,0.7544937
1718465854107,30.50055,-1.245506
1718465854307,30.49944,-3.245506
1718465854503,30.5003,-5.245506
1718465854704,30.49815,-7.245502
1718465854905,30.4994,-9.245502
1718465855107,30.50029,-11.2455
1718465855305,29.71298,-12.50313
1718465855507,27.71297,-12.49955
1718465855704,25.71296,-12.49944
1718465855906,23.71296,-12.49944
1718465856110,21.71295,-12.49944
1718465856308,19.71294,-12.49944
1718465856508,17.71293,-12.50055
1718465856703,15.75704,-12.5029
1718465856905,14.68037,-12.49998
1718465857107,13.73037,-12.49704
1718465857305,12.71935,-12.50013
1718465857507,11.71662,-12.4971
1718465857708,10.71935,-12.49804
1718465857905,9.723013,-12.4994
1718465858103,8.7285,-12.49938
1718465858304,7.736132,-12.49688
1718465858507,6.743805,-12.49739
1718465858706,5.753994,-12.49804
1718465858906,4.770821,-12.50086
1718465859104,3.803282,-12.4924
1718465859308,2.846144,-12.50261
1718465859508,1.859398,-12.49761
1718465859706,0.8834991,-12.50036
1718465859904,-0.04002571,-12.49934
1718465860107,-1.039635,-12.49924
1718465860308,-2.056683,-12.49926
1718465860505,-3.053849,-12.49924
1718465860705,-4.04637,-12.49924
1718465860902,-5.033468,-12.49923
1718465861107,-6.012153,-12.49926
1718465861304,-6.972055,-12.49941
1718465861507,-7.967716,-12.49934
1718465861705,-8.979726,-12.50718
1718465861905,-9.974315,-12.49942
1718465862108,-10.96756,-12.49944
1718465862304,-11.96021,-12.49934
1718465862509,-12.95183,-12.49936
1718465862705,-13.939,-12.49951
1718465862903,-14.91227,-12.49946
1718465863109,-15.84034,-12.49953
1718465863309,-16.82193,-12.49948
1718465863506,-17.77843,-12.49924
1718465863710,-18.7908,-12.49917
1718465863908,-19.78994,-12.49924
1718465864109,-20.78892,-12.49944
1718465864304,-21.78768,-12.49944
1718465864503,-22.78716,-12.50405
1718465864704,-23.72824,-12.49936
1718465864905,-25.64129,-12.49961
1718465865104,-27.6413,-12.49944
1718465865308,-29.64131,-12.49944
1718465865506,-30.50154,-11.31475
1718465865705,-30.29794,-9.514751
1718465865906,-28.35767,-9.501362
1718465866105,-26.35766,-9.49947
1718465866304,-24.35765,-9.499447
1718465866507,-22.35765,-9.499447
1718465866707,-20.35764,-9.499447
1718465866904,-18.35763,-9.499447
1718465867103,-16.35762,-9.499447
1718465867304,-14.35762,-9.499447
1718465867502,-12.35763,-9.499447
1718465867707,-10.35763,-9.499447
1718465867906,-8.357629,-9.502161
1718465868109,-6.357631,-9.499552
1718465868308,-5.384859,-9.499329
1718465868507,-4.448061,-9.500029
1718465868708,-3.442664,-9.499981
1718465868905,-2.449924,-9.499119
1718465869105,-1.462883,-9.499817
1718465869307,-0.4931774,-9.499496
1718465869505,0.4084625,-9.499546
1718465869705,1.324636,-9.49987
1718465869904,2.301449,-9.496689
1718465870105,3.265236,-9.502213
1718465870308,4.256769,-9.497318
1718465870504,5.246737,-9.497993
1718465870708,6.23061,-9.501003
1718465870906,7.198153,-9.492191
