time,enemyPos.X,enemyPos.Y
1718465848909,11.99759,-6.499259
1718465849106,13.38709,-6.49935
1718465849306,14.76026,-6.498867
1718465849510,16.11629,-6.499265
1718465849703,17.49133,-6.498078
1718465849907,18.80598,-6.498574
1718465850102,20.18156,-6.50201
1718465850308,21.58231,-6.498963
1718465850505,22.98251,-6.503816
1718465850708,24.35483,-6.498823
1718465850905,25.66431,-6.499418
1718465851106,26.99352,-6.499276
1718465851304,28.38721,-6.495935
1718465851508,29.75252,-6.499407
1718465851706,30.5021,-5.816724
1718465851905,30.50058,-4.416726
1718465852106,29.98099,-3.47649
1718465852302,28.58101,-3.499395
1718465852507,27.18739,-3.499419
1718465852703,25.93039,-3.499213
1718465852904,24.52434,-3.50075
1718465853104,23.10984,-3.499822
1718465853309,21.70878,-3.498682
1718465853508,20.30988,-3.499426
1718465853703,18.96788,-3.499142
1718465853905,17.54417,-3.500535
1718465854107,16.14372,-3.499225
1718465854307,14.75209,-3.499297
1718465854503,13.37854,-3.4985
1718465854704,12.01592,-3.499564
1718465854905,10.62715,-3.503548
1718465855107,9.275332,-3.499067
1718465855304,7.872769,-3.499382
1718465855507,6.487525,-3.499369
1718465855704,5.12905,-3.499682
1718465855906,3.720032,-3.497907
1718465856109,2.325848,-3.499407
1718465856307,1.028533,-3.499248
1718465856508,-0.3172679,-3.497648
1718465856703,-1.728737,-3.49991
1718465856904,-2.475988,-3.499224
1718465857107,-3.179971,-3.501058
1718465857305,-3.879971,-3.49946
1718465857507,-4.578704,-3.491813
1718465857708,-5.263636,-3.500356
1718465857905,-5.963636,-3.499451
1718465858103,-6.656937,-3.499397
1718465858304,-7.335411,-3.49894
1718465858506,-8.027578,-3.499362
1718465858706,-8.739817,-3.499486
1718465858905,-9.428728,-3.498917
1718465859104,-10.06732,-3.499421
1718465859307,-10.78052,-3.499382
1718465859507,-11.45041,-3.498955
1718465859706,-12.14582,-3.502501
1718465859904,-12.84581,-3.499477
1718465860107,-13.49197,-3.499157
1718465860308,-14.18069,-3.51718
1718465860504,-14.88069,-3.51718
1718465860705,-15.55485,-3.499514
1718465860902,-16.15964,-3.495579
1718465861106,-16.85963,-3.499397
1718465861303,-17.54544,-3.499659
1718465861506,-18.25256,-3.500493
1718465861705,-18.95256,-3.499453
1718465861904,-19.64234,-3.499301
1718465862108,-20.3023,-3.49785
1718465862303,-20.97705,-3.499399
1718465862508,-21.68698,-3.499515
1718465862704,-22.34301,-3.500117
1718465862902,-22.95692,-3.499521
1718465863109,-23.63196,-3.499325
1718465863308,-24.27976,-3.500689
1718465863506,-24.94172,-3.499515
1718465863710,-25.60822,-3.499549
1718465863908,-26.32363,-3.501374
1718465864109,-27.01026,-3.499382
1718465864304,-27.71565,-3.499347
1718465864503,-28.38026,-3.498375
1718465864704,-29.05531,-3.499384
1718465864904,-30.40367,-3.49957
1718465865104,-30.50069,-2.150867
1718465865308,-30.49927,-0.7670636
1718465865506,-30.50008,0.5920057
1718465865704,-30.49957,2.001652
1718465865905,-30.4971,3.400251
1718465866104,-30.49902,4.773947
1718465866303,-30.49601,6.078096
