time,enemyPos.X,enemyPos.Y
1718465848908,12.70474,-9.500733
1718465849106,11.93744,-9.499383
1718465849306,11.12786,-9.499383
1718465849510,10.33451,-9.499496
1718465849703,9.635155,-9.500031
1718465849907,8.854661,-9.502474
1718465850102,8.054662,-9.499477
1718465850307,7.254652,-9.499277
1718465850504,6.550846,-9.499832
1718465850708,5.758327,-9.501534
1718465850905,4.969734,-9.499298
1718465851106,4.152685,-9.499482
1718465851303,3.389769,-9.499318
1718465851508,2.609811,-9.500226
1718465851706,1.818068,-9.505049
1718465851904,1.039236,-9.500407
1718465852105,0.2547913,-9.499495
1718465852302,-0.4405842,-9.499329
1718465852507,-1.203119,-9.500751
1718465852703,-1.968174,-9.499434
1718465852904,-2.769714,-9.499534
1718465853103,-3.551214,-9.499762
1718465853307,-4.344696,-9.499735
1718465853508,-5.026936,-9.499397
1718465853703,-5.839935,-9.499494
1718465853905,-6.59934,-9.49956
1718465854107,-7.351131,-9.499795
1718465854306,-8.135279,-9.508556
1718465854502,-8.935278,-9.508556
1718465854704,-9.724369,-9.499486
1718465854905,-10.51966,-9.499226
1718465855107,-11.26388,-9.499975
1718465855304,-11.96983,-9.499475
1718465855506,-12.76378,-9.499511
1718465855703,-13.5409,-9.499721
1718465855905,-14.33617,-9.498101
1718465856109,-15.14257,-9.499888
1718465856307,-15.94257,-9.499448
1718465856508,-16.72652,-9.499249
1718465856703,-17.52705,-9.499739
1718465856904,-17.9509,-9.499494
1718465857107,-18.33517,-9.499635
1718465857305,-18.73518,-9.499445
1718465857507,-19.13367,-9.49749
1718465857707,-19.53368,-9.499421
1718465857905,-19.93369,-9.499441
1718465858102,-20.32565,-9.49915
1718465858304,-20.72566,-9.49944
1718465858506,-21.09379,-9.50186
1718465858706,-21.4938,-9.499472
1718465858905,-21.89381,-9.499441
1718465859103,-22.29004,-9.499125
1718465859307,-22.69005,-9.499439
1718465859507,-23.05808,-9.499916
1718465859706,-23.47253,-9.499449
1718465859904,-23.87254,-9.499442
1718465860106,-24.19641,-9.4987
1718465860308,-24.59642,-9.499435
1718465860504,-24.95383,-9.499529
1718465860704,-25.34759,-9.499876
1718465860902,-25.7476,-9.499448
1718465861106,-26.00888,-9.499439
1718465861303,-26.44232,-9.499541
1718465861506,-26.84233,-9.499444
1718465861704,-27.23018,-9.498322
1718465861904,-27.63019,-9.499431
1718465862108,-27.95625,-9.499539
1718465862303,-28.34105,-9.499817
1718465862508,-28.74106,-9.499447
1718465862704,-29.09788,-9.501992
1718465862902,-29.50546,-9.499515
1718465863109,-29.90546,-9.499442
1718465863308,-30.31399,-9.501147
1718465863505,-30.45345,-9.78126
1718465863709,-30.50003,-9.966133
1718465863908,-30.50052,-10.345
1718465864109,-30.50056,-10.745
1718465864304,-30.50015,-10.98677
1718465864503,-30.49934,-11.40853
1718465864702,-30.49944,-11.80853
1718465864904,-30.48264,-12.5797
1718465865103,-30.49925,-13.36959
1718465865307,-30.49724,-14.13455
1718465865506,-30.49942,-14.93455
1718465865704,-30.18528,-15.46581
1718465865905,-29.49684,-15.50056
1718465866104,-28.81664,-15.49891
1718465866303,-28.06401,-15.49952
1718465866506,-27.31558,-15.49953
1718465866706,-26.53584,-15.49992
1718465866904,-25.73708,-15.4971
1718465867103,-25.03287,-15.49947
1718465867303,-24.25043,-15.49948
1718465867502,-23.50523,-15.5002
1718465867707,-22.67939,-15.49986
1718465867906,-21.89436,-15.49751
1718465868108,-21.09435,-15.49942
1718465868307,-20.82654,-15.49819
1718465868506,-20.42653,-15.49943
1718465868708,-20.04057,-15.49947
1718465868904,-19.61582,-15.49927
1718465869105,-19.21581,-15.49944
1718465869307,-18.9929,-15.49944
1718465869505,-18.56226,-15.49953
1718465869704,-18.16225,-15.49945
1718465869903,-17.79937,-15.5007
1718465870105,-17.39936,-15.49946
1718465870308,-17.03831,-15.49951
1718465870504,-16.62966,-15.4993
1718465870707,-16.22965,-15.49944
1718465870905,-15.8399,-15.50161
1718465871108,-15.4399,-15.49947
1718465871304,-15.05833,-15.49952
1718465871508,-14.68004,-15.49915
1718465871704,-14.28004,-15.49944
1718465871902,-13.93631,-15.50005
1718465872102,-13.51592,-15.49949
1718465872307,-13.11592,-15.49945
1718465872504,-12.73023,-15.49882
1718465872705,-12.33023,-15.49944
1718465872904,-12.02888,-15.4995
1718465873108,-11.61097,-15.49927
1718465873306,-11.21097,-15.49944
1718465884305,-10.91753,-15.50067
1718465884494,-10.48962,-15.49939
1718465884686,-10.08962,-15.49945
1718465884892,-9.769241,-15.5012
1718465885089,-9.36924,-15.49946
1718465885284,-9.042318,-15.49954
1718465885488,-8.648586,-15.49991
1718465885689,-8.248587,-15.49945
1718465885889,-7.952438,-15.4996
1718465886088,-7.523346,-15.49949
1718465886290,-7.123346,-15.49945
1718465886492,-6.770836,-15.50114
1718465886694,-6.370838,-15.49946
1718465886890,-6.046322,-15.49955
1718465887085,-5.257004,-15.49928
1718465887290,-4.564486,-15.49971
1718465887489,-3.79586,-15.49179
1718465887690,-3.030134,-15.4994
1718465887889,-2.222313,-15.49952
1718465888086,-1.43046,-15.49897
1718465888285,-0.6227894,-15.50036
1718465888490,0.1565571,-15.49577
1718465888833,1.022298,-15.49929
1718465888897,1.753838,-15.4995
1718465889085,2.491256,-15.49893
1718465889286,3.308642,-15.50057
1718465889491,4.094614,-15.50016
1718465889688,4.89551,-15.49939
1718465889891,5.69781,-15.49934
1718465890086,6.476392,-15.49883
1718465890285,7.273243,-15.50026
1718465890492,7.997226,-15.49941
1718465890690,8.808826,-15.49936
1718465890886,9.626154,-15.49961
1718465891088,10.4121,-15.49867
1718465891290,11.21384,-15.49806
1718465891488,11.98602,-15.49938
1718465891685,12.78838,-15.49936
1718465891886,13.58554,-15.49905
1718465892091,14.28814,-15.50041
1718465892291,15.04247,-15.49937
1718465892487,15.87831,-15.4995
1718465892687,16.68118,-15.49956
1718465892890,17.47659,-15.48678
1718465893090,18.25076,-15.49897
1718465893287,19.04425,-15.49936
1718465893485,19.85103,-15.49941
1718465893686,20.62067,-15.49927
1718465893885,21.41267,-15.49863
1718465894090,22.21735,-15.50098
1718465894290,22.99186,-15.49939
1718465894486,23.79696,-15.49934
1718465894690,24.59457,-15.49959
1718465894886,25.33392,-15.49814
1718465895090,26.15117,-15.50246
1718465895291,26.95117,-15.49948
1718465895487,27.74019,-15.49947
1718465895692,28.5011,-15.49959
1718465895886,29.26285,-15.50009
1718465896088,29.42285,-15.49945
1718465896288,28.66611,-15.49941
1718465896486,27.86621,-15.4972
1718465896692,27.06621,-15.49942
1718465896895,26.29313,-15.49931
1718465897092,25.49693,-15.49884
1718465897287,24.81023,-15.50039
1718465897498,24.05375,-15.49949
1718465897693,23.26447,-15.49965
1718465897885,22.44148,-15.49981
1718465898085,21.64594,-15.50006
1718465898290,20.92051,-15.49943
1718465898486,20.10833,-15.49939
1718465898688,19.29115,-15.49957
1718465898885,18.50417,-15.49893
1718465899089,17.69885,-15.48971
1718465899292,16.90671,-15.49697
1718465899490,16.10671,-15.49941
1718465899690,15.31219,-15.49944
1718465899889,14.55015,-15.49913
1718465900091,13.77096,-15.50129
1718465900285,12.98936,-15.49932
1718465900490,12.17104,-15.49933
1718465900690,11.44958,-15.49913
1718465900891,10.65298,-15.49972
1718465901092,9.959791,-15.49939
1718465901287,9.144876,-15.49941
1718465901491,8.346828,-15.49978
1718465901687,7.535468,-15.4999
1718465901887,6.750113,-15.49758
1718465902091,5.957004,-15.49934
1718465902292,5.148996,-15.49943
1718465902490,4.37866,-15.49927
1718465902688,3.586149,-15.49861
1718465902890,2.781513,-15.50015
1718465903088,2.00626,-15.49938
1718465903288,1.200766,-15.49933
1718465903488,0.4017334,-15.49963
1718465903690,-0.3388767,-15.4997
1718465903886,-1.104639,-15.50067
1718465904091,-1.90464,-15.49946
1718465904288,-2.597368,-15.49963
1718465904487,-3.342749,-15.49965
1718465904688,-4.016022,-15.49941
1718465904892,-4.832945,-15.49947
1718465905089,-5.589485,-15.49903
1718465905288,-6.327816,-15.50113
1718465905490,-7.148611,-15.50193
1718465905685,-7.94861,-15.49947
1718465905885,-8.73509,-15.49931
1718465906090,-9.537302,-15.49918
1718465906291,-10.31553,-15.49796
1718465906491,-11.11172,-15.50124
1718465906690,-11.79171,-15.49946
1718465906892,-12.10344,-15.5028
1718465907087,-12.50344,-15.49948
1718465907290,-12.90344,-15.49944
1718465907486,-13.14899,-15.50355
1718465907688,-13.54899,-15.49949
1718465907888,-13.92711,-15.49952
1718465908092,-14.27475,-15.49864
1718465908288,-14.67475,-15.49943
1718465908488,-14.99089,-15.49946
1718465908690,-15.43458,-15.49932
1718465908885,-15.83458,-15.49944
1718465909094,-16.18835,-15.49775
1718465909292,-16.58836,-15.49942
1718465909489,-16.93934,-15.49956
1718465909688,-17.29559,-15.49906
1718465909888,-17.69559,-15.49944
1718465910088,-18.08813,-15.50102
1718465910290,-18.51035,-15.4994
1718465910487,-18.91036,-15.49944
1718465910691,-19.21831,-15.50079
1718465910887,-19.61832,-15.49946
1718465911091,-19.96487,-15.49952
1718465911291,-20.37252,-15.49931
1718465911490,-20.77253,-15.49944
1718465911687,-21.16409,-15.49767
1718465911885,-21.56409,-15.49942
1718465912086,-21.95734,-15.49897
1718465912287,-22.37899,-15.49096
1718465912488,-22.779,-15.49096
1718465912688,-23.13387,-15.50067
1718465912886,-23.53387,-15.49946
1718465913088,-23.93388,-15.49944
1718465913287,-24.31516,-15.4992
1718465913486,-24.71517,-15.49944
1718465913691,-25.02856,-15.49944
1718465913892,-25.45924,-15.49939
1718465914095,-25.85925,-15.49944
1718465914288,-26.21575,-15.49864
1718465914486,-26.61576,-15.49943
1718465914686,-27.13956,-15.49691
1718465914885,-27.93956,-15.49941
1718465915086,-28.7201,-15.49927
1718465915291,-29.51918,-15.49974
