time,enemyPos.X,enemyPos.Y
1718466529990,-24.71175,-12.49945
1718466530194,-22.71174,-12.50056
1718466530391,-20.75446,-12.5035
1718466530593,-18.75445,-12.49949
1718466530795,-16.75444,-12.49945
1718466530990,-14.75444,-12.49945
1718466531190,-12.75444,-12.49945
1718466531393,-10.75444,-12.49945
1718466531589,-8.754444,-12.49856
1718466531792,-6.754448,-12.49924
1718466531995,-4.754448,-12.49944
1718466532190,-2.75445,-12.49945
1718466532390,-0.7544479,-12.49945
1718466532592,1.245552,-12.49945
1718466532792,3.245552,-12.49945
1718466532992,5.245552,-12.49945
1718466533192,7.245548,-12.49945
1718466533395,9.245548,-12.49945
1718466533592,11.24554,-12.49945
1718466533796,13.24554,-12.49945
1718466533988,15.24554,-12.49945
1718466534189,17.24554,-12.50056
1718466534390,19.24555,-12.4997
1718466534590,21.24556,-12.49945
1718466534792,23.24557,-12.49945
1718466534993,25.24557,-12.49945
1718466535194,27.24558,-12.49945
1718466535389,29.24559,-12.49945
1718466535591,30.50328,-11.71408
1718466535793,30.49949,-9.714086
1718466535992,28.75915,-9.506032
1718466536193,26.75914,-9.499492
1718466536392,24.75913,-9.499442
1718466536591,22.75912,-9.49855
1718466536789,20.75912,-9.499235
1718466536993,18.75911,-9.499439
1718466537187,16.7591,-9.499441
1718466537394,14.7591,-9.499441
1718466537591,12.75911,-9.499441
1718466537793,10.75911,-9.499441
1718466537992,8.759109,-9.499441
1718466538192,6.759109,-9.499441
1718466538395,4.759113,-9.499441
1718466538591,2.759113,-9.499441
1718466538792,0.7591114,-9.499441
1718466538993,-1.240887,-9.499441
1718466539194,-3.240889,-9.499441
1718466539392,-5.140888,-9.499441
1718466539591,-6.112268,-9.498555
1718466539791,-7.024342,-9.499349
1718466539994,-8.028385,-9.502292
1718466540193,-9.036674,-9.500204
1718466540392,-10.00611,-9.499268
1718466540591,-10.95357,-9.49946
1718466540792,-11.92104,-9.499472
1718466540994,-12.88972,-9.499681
1718466541190,-13.9007,-9.499304
1718466541389,-14.85936,-9.499571
1718466541592,-15.84877,-9.49933
1718466541792,-16.83403,-9.499574
1718466541994,-17.80452,-9.499207
1718466542189,-18.71913,-9.499006
1718466542388,-19.68797,-9.499956
1718466542594,-20.70057,-9.499111
1718466542792,-21.65903,-9.499752
1718466542990,-22.64831,-9.499174
1718466543192,-23.63324,-9.499752
1718466543393,-24.60213,-9.498896
1718466543592,-25.56296,-9.49944
1718466543792,-26.55352,-9.498936
1718466543993,-27.54135,-9.49908
1718466544195,-28.51851,-9.499619
1718466544394,-29.46549,-9.498566
1718466544592,-30.4661,-9.50401
1718466544791,-30.50063,-10.48777
1718466544995,-30.49958,-11.48627
1718466545194,-30.49645,-12.48563
1718466545389,-30.49961,-13.41932
1718466545595,-30.49801,-14.36523
1718466545793,-30.49492,-15.38264
1718466545991,-29.57487,-15.49977
