time,enemyPos.X,enemyPos.Y
1718466529991,14.78997,-3.491957
1718466530195,13.47741,-3.497566
1718466530392,12.11656,-3.49904
1718466530594,10.70413,-3.501402
1718466530796,9.304398,-3.499907
1718466530990,7.947617,-3.49912
1718466531190,6.578516,-3.500074
1718466531394,5.183521,-3.499423
1718466531590,3.862568,-3.496865
1718466531792,2.469868,-3.499383
1718466531995,1.095581,-3.499013
1718466532191,-0.2689724,-3.499421
1718466532391,-1.655647,-3.499397
1718466532593,-3.017601,-3.499584
1718466532792,-4.430103,-3.496696
1718466532992,-4.500992,-2.136746
1718466533192,-4.499336,-0.7408566
1718466533395,-4.49939,0.6370363
1718466533592,-4.49943,1.954947
1718466533797,-4.499165,3.355371
1718466533989,-3.261436,3.500929
1718466534189,-1.860052,3.500558
1718466534391,-0.4620037,3.496779
1718466534592,0.9370308,3.484323
1718466534793,2.238672,3.500671
1718466534994,3.629347,3.499559
1718466535194,4.474844,2.969167
1718466535390,4.500443,1.569149
1718466535591,4.500559,0.1703279
1718466535794,4.503038,-1.180656
1718466535993,4.499943,-2.593676
1718466536194,3.97311,-3.497638
1718466536394,2.573092,-3.49974
1718466536591,1.17547,-3.499434
1718466536790,-0.1567688,-3.500638
1718466536994,-1.556612,-3.499445
1718466537189,-2.948797,-3.499426
1718466537394,-4.330564,-3.495567
1718466537592,-5.674173,-3.499176
1718466537794,-6.967772,-3.499248
1718466537993,-8.329121,-3.501039
1718466538193,-9.744579,-3.499885
1718466538396,-11.14537,-3.500016
1718466538591,-12.5422,-3.499404
1718466538794,-13.923,-3.49942
1718466538993,-15.29498,-3.497671
1718466539194,-16.69461,-3.499423
1718466539392,-17.99774,-3.499371
1718466539592,-18.70607,-3.499356
1718466539791,-19.34996,-3.498757
1718466539995,-19.97464,-3.499458
1718466540193,-20.67774,-3.499513
1718466540392,-21.39288,-3.500661
1718466540592,-22.08258,-3.500022
1718466540792,-22.78482,-3.499381
1718466540995,-23.44865,-3.498761
1718466541191,-24.14139,-3.50218
1718466541390,-24.84138,-3.499473
1718466541592,-25.46902,-3.499793
1718466541792,-26.17525,-3.500347
1718466541995,-26.87525,-3.499452
1718466542189,-27.56299,-3.499243
1718466542389,-28.19362,-3.50095
1718466542594,-28.89362,-3.499459
1718466542792,-29.60551,-3.499549
1718466542990,-30.30732,-3.502344
1718466543192,-30.50153,-3.993976
1718466543393,-30.50056,-4.700413
1718466543592,-30.49815,-5.317533
1718466543793,-30.49837,-6.011501
1718466543994,-30.4823,-6.744626
1718466544195,-30.49922,-7.42099
1718466544395,-30.4994,-8.030064
1718466544593,-30.49949,-8.741491
1718466544792,-30.49659,-9.452125
1718466544995,-30.49799,-10.12021
1718466545195,-30.49943,-10.8202
1718466545389,-30.49954,-11.51921
1718466545595,-30.48769,-12.21841
1718466545793,-30.48769,-12.91841
1718466545991,-30.49944,-13.61409
1718466546192,-30.499,-14.3077
1718466546393,-30.4984,-14.99939
1718466546594,-30.229,-15.45783
1718466546795,-29.55396,-15.50056
1718466546998,-28.88304,-15.49717
1718466547190,-28.18304,-15.49942
1718466547389,-27.47915,-15.49899
1718466547595,-26.79245,-15.4978
1718466547790,-26.09246,-15.49943
1718466547992,-25.47149,-15.4991
1718466548188,-24.76064,-15.49761
1718466548391,-24.06064,-15.49942
1718466548593,-23.36977,-15.49956
1718466548793,-22.67918,-15.49794
1718466548992,-22.04344,-15.49697
1718466549194,-21.37684,-15.49939
1718466549390,-20.78067,-15.49751
1718466549593,-20.30553,-15.49939
1718466549790,-20.30553,-15.49939
1718466549994,-20.30553,-15.49939
1718466550189,-20.30553,-15.49939
1718466550392,-20.30553,-15.49939
1718466550591,-20.30553,-15.49939
1718466550792,-20.30553,-15.49939
1718466550994,-20.30553,-15.49939
1718466551192,-20.30553,-15.49939
1718466551389,-20.30553,-15.49939
1718466551590,-20.30553,-15.49939
1718466551791,-20.30553,-15.49939
1718466551991,-20.30553,-15.49939
1718466552196,-20.30553,-15.49939
1718466552393,-20.30553,-15.49939
1718466552591,-20.30553,-15.49939
1718466552790,-20.30553,-15.49939
1718466552991,-20.30553,-15.49939
1718466553189,-20.30553,-15.49939
1718466553389,-20.30553,-15.49939
1718466553596,-20.30553,-15.49939
1718466553793,-20.30553,-15.49939
1718466553995,-20.30553,-15.49939
1718466554189,-20.30553,-15.49939
1718466554391,-20.30553,-15.49939
1718466554596,-20.30553,-15.49939
