time,enemyPos.X,enemyPos.Y
1718466529991,26.29378,-15.49852
1718466530194,27.05855,-15.49937
1718466530391,27.86684,-15.49939
1718466530593,28.66303,-15.4992
1718466530795,29.34938,-15.49982
1718466530990,29.34938,-15.49945
1718466531190,28.52356,-15.49939
1718466531394,27.7292,-15.50023
1718466531590,27.01011,-15.49942
1718466531792,26.20287,-15.49934
1718466531995,25.3954,-15.49961
1718466532190,24.63802,-15.50001
1718466532391,23.8766,-15.50202
1718466532593,23.0766,-15.49947
1718466532792,22.30948,-15.49954
1718466532992,21.52706,-15.49997
1718466533192,20.73177,-15.49998
1718466533395,20.01772,-15.49944
1718466533592,19.21729,-15.49937
1718466533797,18.41236,-15.49902
1718466533989,17.61542,-15.49869
1718466534189,16.84301,-15.49774
1718466534390,16.04301,-15.49942
1718466534592,15.24803,-15.4995
1718466534793,14.51707,-15.49877
1718466534993,13.7028,-15.50055
1718466535194,12.93234,-15.49939
1718466535389,12.12393,-15.49938
1718466535591,11.32714,-15.49953
1718466535793,10.59279,-15.4983
1718466535992,9.775808,-15.50171
1718466536193,8.996861,-15.49938
1718466536394,8.191118,-15.49936
1718466536591,7.390383,-15.49961
1718466536790,6.622645,-15.49884
1718466536993,5.833363,-15.4952
1718466537187,5.033363,-15.49939
1718466537394,4.227831,-15.49953
1718466537592,3.455536,-15.49915
1718466537794,2.660395,-15.49802
1718466537993,1.898291,-15.50073
1718466538193,1.098289,-15.49946
1718466538395,0.3358631,-15.49952
1718466538591,-0.3535957,-15.50003
1718466538792,-1.077049,-15.49942
1718466538993,-1.912405,-15.49937
1718466539194,-2.661285,-15.49921
1718466539392,-3.394569,-15.49977
1718466539591,-3.794567,-15.49945
1718466539791,-4.126982,-15.4967
1718466539995,-4.526981,-15.49941
1718466540193,-4.926981,-15.49944
1718466540392,-5.309961,-15.4997
1718466540591,-5.709961,-15.49945
1718466540792,-5.994823,-15.49945
1718466540994,-6.428473,-15.49934
1718466541190,-6.828472,-15.49944
1718466541390,-7.140556,-15.49695
1718466541592,-7.540554,-15.49942
1718466541792,-7.929804,-15.49963
1718466541994,-8.305489,-15.5001
