time,enemyPos.X,enemyPos.Y
1718466834937,14.25382,-15.49924
1718466835137,16.25382,-15.49752
1718466835334,18.25383,-15.49853
1718466835537,20.25384,-15.49924
1718466835731,21.50496,-14.71089
1718466835935,21.50061,-12.71089
1718466836134,21.50056,-10.71089
1718466836334,20.7066,-9.487584
1718466836535,18.75868,-9.501153
1718466836732,18.4996,-11.28691
1718466836934,18.50054,-13.28691
1718466837132,18.50055,-15.28691
1718466837335,16.76393,-15.49513
1718466837531,15.4953,-14.7175
1718466837737,15.50043,-12.7175
1718466837933,15.50056,-10.71751
1718466838136,15.50056,-8.717507
1718466838336,15.49945,-6.717509
1718466838538,13.76118,-6.505512
1718466838731,12.77061,-6.506507
1718466838935,12.49823,-7.267716
1718466839135,12.50034,-8.257375
1718466839337,12.49685,-9.251206
1718466839542,11.79441,-9.500204
1718466839731,10.78722,-9.522556
1718466839935,10.49973,-10.26626
1718466840130,10.50035,-11.25504
1718466840334,10.50055,-12.25504
1718466840533,9.795807,-12.50044
1718466840733,8.909721,-12.50011
1718466840936,8.50972,-12.49945
1718466841136,9.424953,-12.50054
1718466841332,9.224953,-12.50055
1718466841534,8.217793,-12.49939
1718466841730,9.148387,-12.5007
1718466841935,9.348388,-12.50056
1718466842137,8.351988,-12.49918
1718466842333,9.133868,-12.50082
1718466842537,9.53387,-12.50056
1718466842737,8.545161,-12.49973
1718466842932,8.945163,-12.49945
1718466843133,9.720332,-12.50056
1718466843333,8.724669,-12.49968
1718466843538,8.724669,-12.49945
1718466843731,9.667634,-12.50059
1718466843936,8.907372,-12.50005
1718466844134,8.50737,-12.49945
1718466844340,9.407585,-12.5006
1718466844536,9.207584,-12.50055
1718466844732,8.195655,-12.49972
1718466844939,9.195456,-12.50035
1718466845132,9.395456,-12.50055
1718466845334,8.507242,-12.49887
1718466845532,7.590023,-12.37687
1718466845734,7.499501,-11.43728
1718466845933,7.500503,-10.45075
1718466846138,7.390653,-9.558448
1718466846334,6.416457,-9.499495
1718466846537,5.419137,-9.499434
1718466846733,4.49955,-10.48542
1718466846933,4.498476,-12.48542
1718466847131,2.55894,-12.49718
1718466847333,1.4978,-13.49707
1718466847532,1.501072,-15.44864
1718466847731,-0.4844265,-15.50015
1718466847937,-1.503405,-14.50658
1718466848137,-1.507587,-12.55786
1718466848331,-3.493896,-12.49931
1718466848534,-4.503307,-11.55196
1718466848731,-4.499638,-9.551959
1718466848937,-2.513937,-9.499218
1718466849133,-1.496737,-8.505951
1718466849332,-1.501955,-6.557281
1718466849539,-3.487166,-6.499271
1718466849739,-5.426425,-6.501472
1718466849930,-7.426423,-6.499497
1718466850132,-7.499987,-4.517269
1718466850333,-7.499447,-2.517269
1718466850536,-7.49944,-0.5172691
1718466850735,-7.499441,1.482731
1718466850934,-7.499441,3.482731
1718466851131,-7.501444,5.482731
1718466851332,-7.499605,7.482727
1718466851531,-6.508514,8.503263
1718466851736,-4.508516,8.4986
1718466851931,-4.502316,6.558498
1718466852131,-3.513363,5.497957
1718466852335,-1.513363,5.498447
1718466852531,-1.502302,3.55872
1718466852734,-2.484803,2.497894
1718466852930,-4.484803,2.498451
1718466853130,-4.497263,0.5597076
1718466853334,-5.502317,-0.5018311
1718466853532,-7.457218,-0.498826
1718466853732,-7.500132,1.488409
1718466853937,-7.499449,3.488409
1718466854132,-7.501444,5.488407
1718466854336,-7.502084,7.445831
1718466854533,-8.485445,8.502375
1718466854731,-10.48544,8.50058
1718466854932,-12.48544,8.500561
1718466855133,-12.49742,10.43869
1718466855335,-12.50009,12.4507
1718466855535,-10.51407,12.50083
1718466855731,-8.514076,12.50056
1718466855932,-7.4967,11.50682
1718466856136,-7.499748,9.559059
1718466856335,-7.499478,7.559063
1718466856537,-7.501451,5.559063
1718466856735,-9.486272,5.499947
1718466856935,-11.48627,5.500551
1718466857139,-12.50331,6.494022
1718466857336,-12.4988,8.442673
1718466857535,-14.48333,8.500717
1718466857737,-16.48334,8.500561
1718466857936,-18.48334,8.500559
1718466858132,-19.50335,9.4916
1718466858334,-19.50181,11.45031
1718466858536,-18.5119,12.50289
1718466858736,-16.51189,12.50058
1718466858937,-14.51189,12.50055
1718466859137,-12.5119,12.49855
1718466859335,-10.55477,12.49801
1718466859536,-8.554775,12.50053
1718466859731,-6.554777,12.49902
1718466859936,-4.554779,12.50054
1718466860134,-2.554779,12.50055
1718466860332,-1.497833,11.51306
1718466860537,-1.499428,9.513063
1718466860732,-0.5077696,8.496429
1718466860932,1.450764,8.498337
1718466861136,3.450764,8.500599
1718466861336,4.514209,8.021938
1718466861532,4.500554,7.022554
1718466861734,4.500558,6.427841
1718466861932,4.500924,7.383163
1718466862136,4.500576,8.383163
1718466862337,5.419431,8.499706
1718466862536,6.354774,8.50182
1718466862731,7.363232,8.489025
1718466862934,8.354369,8.499683
1718466863136,9.335609,8.501678
1718466863331,10.30496,8.502731
1718466863532,11.21886,8.509945
1718466863733,12.237,8.497017
1718466863930,13.19442,8.501425
1718466864143,14.1941,8.504494
1718466864332,15.19374,8.500603
1718466864531,16.19333,8.500574
1718466864738,17.19287,8.500576
1718466864933,18.19235,8.500576
1718466865134,19.19235,8.500553
1718466865335,20.19159,8.501213
1718466865533,21.19087,8.500586
1718466865734,22.19058,8.502079
1718466865935,23.13275,8.497803
1718466866136,24.12107,8.495296
1718466866333,25.1967,8.499008
1718466866532,25.1967,8.499008
1718466866738,25.1967,8.499008
1718466866933,25.1967,8.499008
1718466867131,25.1967,8.499008
1718466867337,25.1967,8.499008
1718466867531,25.1967,8.499008
1718466867737,25.1967,8.499008
1718466867932,25.1967,8.499008
1718466868132,25.1967,8.499008
1718466868335,25.1967,8.499008
1718466868534,25.1967,8.499008
1718466868735,25.1967,8.499008
1718466868938,25.1967,8.499008
1718466869136,25.1967,8.499008
1718466869336,25.1967,8.499008
1718466869537,25.1967,8.499008
1718466869732,25.1967,8.499008
1718466869930,25.1967,8.499008
1718466870134,25.1967,8.499008
1718466870336,25.1967,8.499008
1718466870535,25.1967,8.499008
1718466870735,25.1967,8.499008
1718466870931,25.1967,8.499008
1718466871135,25.1967,8.499008
1718466871335,25.1967,8.499008
1718466871534,25.1967,8.499008
1718466871734,25.1967,8.499008
1718466871934,25.1967,8.499008
1718466872137,25.1967,8.499008
1718466872337,25.1967,8.499008
1718466872532,25.1967,8.499008
1718466872735,25.1967,8.499008
1718466872933,25.1967,8.499008
1718466873135,25.1967,8.499008
1718466873332,25.1967,8.499008
1718466873534,25.1967,8.499008
1718466873731,25.1967,8.499008
1718466873932,25.1967,8.499008
1718466874135,25.1967,8.499008
1718466874332,25.1967,8.499008
1718466874537,25.1967,8.499008
1718466874737,25.1967,8.499008
1718466874938,25.1967,8.499008
1718466875133,25.1967,8.499008
1718466875340,25.1967,8.499008
1718466875535,25.1967,8.499008
1718466875736,25.1967,8.499008
1718466875932,25.1967,8.499008
1718466876133,25.1967,8.499008
1718466876330,25.1967,8.499008
1718466876538,25.1967,8.499008
1718466876736,25.1967,8.499008
1718466876934,25.1967,8.499008
1718466877132,25.1967,8.499008
1718466877337,25.1967,8.499008
1718466877534,25.1967,8.499008
1718466877737,25.1967,8.499008
1718466877931,25.1967,8.499008
1718466878137,25.1967,8.499008
1718466878334,25.1967,8.499008
1718466878531,25.1967,8.499008
1718466878736,25.1967,8.499008
1718466878932,25.1967,8.499008
1718466879136,25.1967,8.499008
1718466879332,25.1967,8.499008
1718466879535,25.1967,8.499008
1718466879739,25.1967,8.499008
1718466879932,25.1967,8.499008
1718466880134,25.1967,8.499008
1718466880332,25.1967,8.499008
1718466880537,25.1967,8.499008
1718466880734,25.1967,8.499008
1718466880937,25.1967,8.499008
1718466881132,25.1967,8.499008
1718466881335,25.1967,8.499008
1718466881535,25.1967,8.499008
1718466881737,25.1967,8.499008
1718466881933,25.1967,8.499008
1718466882134,25.1967,8.499008
1718466882336,25.1967,8.499008
1718466882536,25.1967,8.499008
1718466882731,25.1967,8.499008
1718466882930,25.1967,8.499008
1718466883131,25.1967,8.499008
1718466883331,25.1967,8.499008
1718466883531,25.1967,8.499008
1718466883738,25.1967,8.499008
1718466883937,25.1967,8.499008
