time,enemyPos.X,enemyPos.Y
1718466834938,7.783647,5.5008
1718466835137,7.498905,4.402339
1718466835335,7.50069,2.995169
1718466835538,7.500619,1.598559
1718466835733,7.500587,0.2184658
1718466835936,8.195511,-0.5037928
1718466836135,9.549758,-0.4993043
1718466836335,10.94263,-0.4988785
1718466836535,12.31592,-0.5012255
1718466836732,13.71643,-0.4991055
1718466836934,15.11625,-0.499444
1718466837132,16.48514,-0.4986153
1718466837336,17.78201,-0.4989438
1718466837531,19.18464,-0.495059
1718466837738,20.58463,-0.4993944
1718466837934,21.506,-0.03347063
1718466838137,21.50066,1.245113
1718466838336,21.4995,2.640807
1718466838539,21.50057,3.971514
1718466838732,21.50047,4.696212
1718466838936,21.50055,4.136211
1718466839136,21.50062,3.462686
1718466839337,21.50332,2.75708
1718466839543,21.50059,2.05708
1718466839731,21.50068,1.367705
1718466839936,21.49955,0.7384453
1718466840130,21.50054,0.03844547
1718466840335,21.48019,-0.6765013
1718466840533,21.50034,-1.355498
1718466840734,21.50057,-1.989508
1718466840937,21.50062,-2.696896
1718466841137,21.50216,-3.329721
1718466841333,21.50064,-4.019348
1718466841535,21.50053,-4.738052
1718466841731,21.50108,-5.427378
1718466841936,21.50056,-6.127378
1718466842138,21.50056,-6.827381
1718466842334,21.50054,-7.523577
1718466842538,21.50057,-8.202891
1718466842739,21.50055,-8.902889
1718466842933,21.48577,-9.577045
1718466843134,21.4998,-10.26875
1718466843334,21.49986,-10.94926
1718466843538,21.50056,-11.62421
1718466843732,21.50269,-12.22141
1718466843936,21.50058,-12.92141
1718466844134,21.5008,-13.60372
1718466844341,21.50184,-14.31638
1718466844536,21.50057,-15.01637
1718466844732,21.77884,-15.44316
1718466844940,22.39108,-15.50054
1718466845133,23.07849,-15.49971
1718466845335,23.77848,-15.49945
1718466845533,24.42935,-15.4989
1718466845735,25.07011,-15.49943
1718466845933,25.79453,-15.49937
1718466846140,26.48414,-15.49979
1718466846335,27.06443,-15.49943
1718466846537,27.78735,-15.49938
1718466846734,29.14231,-15.49962
1718466846934,30.40085,-15.35711
1718466847132,30.50064,-14.00888
1718466847334,30.4967,-12.61438
1718466847533,30.50089,-11.25079
1718466847732,30.5023,-9.838249
1718466847937,30.50051,-8.438068
1718466848137,30.50057,-7.042843
1718466848331,30.51292,-5.751656
1718466848534,30.50062,-4.385069
1718466848732,30.50034,-2.97521
1718466848938,30.50028,-1.573773
1718466849134,30.50056,-0.1764021
1718466849332,30.49988,1.150661
1718466849540,30.50057,2.549433
1718466849739,30.50058,3.936476
1718466849931,30.49919,5.312397
1718466850133,30.50078,6.71278
1718466850334,30.49775,8.108203
1718466850536,29.43535,8.501359
1718466850736,28.03885,8.500571
1718466850935,26.72783,8.500628
1718466851132,25.3277,8.502193
1718466851332,24.49605,8.009764
1718466851532,24.49734,6.643242
1718466851737,24.50188,5.256117
1718466851933,24.50056,3.856105
1718466852132,24.5006,2.459933
1718466852336,24.50058,1.081145
1718466852531,24.51188,-0.2443862
1718466852735,24.50141,-1.606532
1718466852930,24.50033,-3.018757
1718466853131,24.50057,-4.419373
1718466853335,24.50058,-5.813219
1718466853533,24.5027,-7.151697
1718466853733,24.50059,-8.550722
1718466853938,24.50453,-9.946592
1718466854133,24.49884,-11.31369
1718466854337,24.50054,-11.03369
1718466854533,24.51847,-9.654802
1718466854731,24.49967,-8.261313
1718466854933,24.50055,-6.861315
1718466855134,23.42592,-6.498507
1718466855336,22.02643,-6.499431
1718466855536,21.4982,-5.575802
1718466855732,21.50053,-4.390656
1718466855932,21.5007,-2.990483
1718466856136,21.5006,-1.591692
1718466856335,21.50047,-2.152155
1718466856538,21.50057,-3.551284
1718466856735,21.50057,-4.939758
1718466856935,21.50065,-5.187042
1718466857139,21.50066,-3.863064
1718466857336,21.50061,-2.470674
1718466857536,21.50097,-1.376611
1718466857737,21.50071,-2.746607
1718466857936,21.50225,-4.16136
1718466858133,21.50052,-5.561499
1718466858335,21.50068,-4.721537
1718466858537,21.50059,-3.328217
1718466858737,21.50079,-2.033602
1718466858937,21.4821,-0.6495733
1718466859137,20.22479,-0.4989419
1718466859335,18.9136,-0.4994326
1718466859536,18.50128,-1.475643
1718466859732,18.5005,-2.875644
1718466859936,18.50057,-4.275373
1718466860135,18.50059,-5.66675
1718466860333,19.03873,-6.501164
1718466860538,20.44903,-6.498913
1718466860732,21.84904,-6.499493
1718466860932,23.23156,-6.49926
1718466861137,24.63156,-6.499435
1718466861337,25.53854,-6.499254
1718466861533,26.252,-6.500054
1718466861735,26.952,-6.499454
1718466861932,27.44504,-6.711864
1718466862136,27.50061,-7.346802
1718466862338,27.50051,-7.966454
1718466862536,27.50072,-8.677313
1718466862731,27.50056,-8.117315
1718466862935,27.50056,-7.400358
1718466863137,27.50056,-7.680359
1718466863331,27.5003,-8.382153
1718466863532,27.50055,-8.522152
1718466863734,27.50051,-7.868804
1718466863931,27.50056,-7.308803
1718466864144,27.50168,-7.986914
1718466864333,27.50058,-8.691355
1718466864532,27.50056,-8.131357
1718466864738,27.50072,-7.44483
1718466864933,27.50056,-7.724831
1718466865135,27.50072,-8.406124
1718466865336,27.49498,-9.11301
1718466865534,27.1326,-9.490156
1718466865735,26.5437,-9.500565
1718466865935,25.83614,-9.495668
1718466866136,25.13614,-9.499399
1718466866333,24.57461,-9.639805
1718466866532,24.49954,-10.29433
1718466866738,24.4997,-10.96445
1718466866933,24.50056,-11.64597
1718466867133,24.5017,-12.3536
1718466867337,25.02294,-12.50047
1718466867533,25.72345,-12.50055
1718466867737,26.39397,-12.49913
1718466867934,27.08794,-12.50016
1718466868132,27.79801,-12.49937
1718466868335,28.48137,-12.49921
1718466868535,29.14253,-12.49717
1718466868735,29.84253,-12.49942
1718466868939,30.40253,-12.63944
1718466869137,30.50142,-13.02989
1718466869336,30.50056,-13.743
1718466869537,30.50106,-14.48078
1718466869733,30.48634,-15.1554
1718466869931,30.09124,-15.49482
1718466870134,29.42255,-15.50055
1718466870336,28.75922,-15.49805
1718466870536,28.05923,-15.49943
1718466870736,27.36616,-15.49959
1718466870933,26.72819,-15.50082
1718466871136,26.04674,-15.50021
1718466871335,25.35656,-15.49944
1718466871535,24.69674,-15.49787
1718466871735,24.02143,-15.4994
1718466871934,23.31049,-15.49952
1718466872138,22.37335,-15.49946
1718466872338,21.49915,-14.96866
1718466872532,21.50026,-13.56864
1718466872736,21.50056,-12.16969
1718466872934,21.50331,-10.81671
1718466873136,21.35446,-9.54557
1718466873332,19.98593,-9.499817
1718466873535,18.5861,-9.502041
1718466873732,18.49917,-10.85568
1718466873933,18.5007,-12.24681
1718466874135,18.50145,-13.61984
1718466874332,18.50046,-14.98036
1718466874537,17.57353,-15.50076
1718466874737,16.17628,-15.4995
1718466874939,15.50368,-14.80041
1718466875135,15.50071,-13.43998
1718466875341,15.50057,-12.04576
1718466875536,15.51086,-10.76065
1718466875737,15.50131,-9.402231
1718466875932,15.50036,-7.990614
1718466876134,15.49788,-6.590783
1718466876331,14.14642,-6.498999
1718466876539,12.75059,-6.502769
1718466876737,11.38279,-6.4998
1718466876934,9.974069,-6.499683
1718466877134,8.572456,-6.499782
1718466877338,7.172456,-6.499476
1718466877534,5.837839,-6.50139
1718466877738,4.575727,-6.357735
1718466877932,4.499171,-5.00019
1718466878137,4.497215,-3.60217
1718466878335,3.150897,-3.499083
1718466878531,1.767134,-3.499264
1718466878737,0.4081535,-3.500072
1718466878933,-1.001401,-3.49956
1718466879136,-2.396534,-3.499368
1718466879334,-3.771832,-3.49873
1718466879535,-4.502468,-4.192989
1718466879739,-4.499655,-5.592987
1718466879933,-3.972582,-6.49737
1718466880134,-2.880101,-6.496922
1718466880333,-2.320102,-6.499416
1718466880538,-3.004531,-6.501099
1718466880734,-3.706627,-6.500555
1718466880938,-4.391287,-6.494461
1718466881133,-4.498796,-5.859227
1718466881336,-4.500534,-5.159225
1718466881536,-4.499249,-4.545923
1718466881739,-4.483061,-3.821739
1718466881934,-4.483061,-3.12174
1718466882135,-4.49934,-2.455189
1718466882337,-4.50036,-1.753566
1718466882537,-4.499451,-1.053565
1718466882732,-4.504433,-0.3587079
1718466882932,-4.498756,0.3250241
1718466883132,-4.499361,1.012364
1718466883332,-4.499334,1.723947
1718466883531,-4.488453,2.424496
1718466883738,-3.835278,2.500513
1718466883937,-3.135278,2.500554
1718466884133,-2.459663,2.500729
1718466884335,-1.74992,2.50113
1718466884532,-1.504539,2.996301
1718466884733,-1.499495,3.696166
1718466884938,-1.497966,4.292171
1718466885136,-1.500494,4.979685
1718466885334,-1.765873,5.448012
1718466885536,-2.428363,5.500499
1718466885736,-3.065674,5.500579
1718466885931,-3.778673,5.500616
1718466886139,-4.415854,5.572196
1718466886332,-4.500479,6.203553
1718466886536,-4.500553,6.903555
1718466886736,-4.499195,7.48628
1718466886935,-4.507584,8.209457
1718466887133,-4.956516,8.499913
1718466887337,-5.644341,8.500547
1718466887538,-6.308878,8.50225
