time,enemyPos.X,enemyPos.Y
1718466834938,1.699623,-15.49985
1718466835137,1.497183,-14.8874
1718466835334,1.49942,-14.08741
1718466835537,1.500783,-13.36575
1718466835731,1.502033,-12.54762
1718466835936,2.268586,-12.4993
1718466836134,2.983335,-12.49944
1718466836335,3.784299,-12.49937
1718466836535,4.434685,-12.33707
1718466836732,4.50048,-11.59182
1718466836934,4.502298,-10.7924
1718466837132,4.500579,-9.992403
1718466837336,4.142143,-9.514568
1718466837531,3.350169,-9.499556
1718466837737,2.557083,-9.499435
1718466837933,1.763796,-9.48662
1718466838137,1.497984,-8.945222
1718466838336,1.499429,-8.145223
1718466838539,1.500552,-7.378728
1718466838731,1.500556,-7.538728
1718466838936,1.498115,-7.927708
1718466839136,1.499446,-8.277516
1718466839337,1.499443,-8.677516
1718466839542,1.503141,-9.095051
1718466839731,1.423141,-9.415051
1718466839936,1.076012,-9.500403
1718466840130,0.7435193,-9.500493
1718466840335,0.3435192,-9.500555
1718466840533,-0.02908897,-9.500134
1718466840734,-0.4512362,-9.499527
1718466840936,-0.8512363,-9.499444
1718466841137,-1.255939,-9.497588
1718466841332,-1.655938,-9.495272
1718466841535,-1.978057,-9.496556
1718466841730,-2.365251,-9.499387
1718466841935,-2.765251,-9.499442
1718466842137,-3.134851,-9.502525
1718466842334,-3.53485,-9.499479
1718466842538,-3.93485,-9.499441
1718466842737,-4.337949,-9.505151
1718466842932,-4.737948,-9.505151
1718466843133,-5.060411,-9.500739
1718466843334,-5.467961,-9.499412
1718466843538,-5.867961,-9.499442
1718466843731,-6.170326,-9.501162
1718466843936,-6.570326,-9.499463
1718466844134,-6.970325,-9.499441
1718466844340,-7.394789,-9.506363
1718466844536,-7.484875,-9.853587
1718466844732,-7.500188,-10.11862
1718466844939,-7.500551,-10.51862
1718466845132,-7.500559,-10.91862
1718466845335,-7.498454,-11.27717
1718466845533,-7.499433,-11.67717
1718466845735,-7.501879,-12.06627
1718466845933,-7.587324,-12.391
1718466846140,-7.914366,-12.49944
1718466846335,-8.181097,-12.50036
1718466846537,-8.581097,-12.50055
1718466846734,-9.350256,-12.49909
1718466846933,-9.350256,-12.49944
1718466847132,-8.545162,-12.5006
1718466847333,-7.755145,-12.4972
1718466847533,-7.499397,-11.9658
1718466847732,-7.499441,-11.1658
1718466847937,-7.499044,-10.41632
1718466848137,-7.499077,-9.619099
1718466848331,-6.807522,-9.497959
1718466848534,-6.049345,-9.499465
1718466848731,-5.275227,-9.49926
1718466848938,-4.460078,-9.508052
1718466849134,-3.668894,-9.499631
1718466849332,-2.871212,-9.497488
1718466849539,-2.071213,-9.499423
1718466849739,-1.277775,-9.48527
1718466849930,-0.498858,-9.499365
1718466850132,0.2629304,-9.500093
1718466850334,1.030975,-9.497987
1718466850536,1.84254,-9.495028
1718466850735,2.623803,-9.499406
1718466850934,3.403081,-9.499468
1718466851132,4.201918,-9.506392
1718466851332,4.986339,-9.500803
1718466851531,5.784831,-9.499379
1718466851736,6.573141,-9.499112
1718466851932,7.37314,-9.499423
1718466852131,7.500706,-10.18949
1718466852336,7.50051,-10.9458
1718466852531,7.500688,-11.71051
1718466852734,7.582381,-12.44778
1718466852930,8.347228,-12.50061
1718466853131,9.04143,-12.5001
1718466853335,9.847968,-12.4994
1718466853533,10.66543,-12.48184
1718466853732,11.45758,-12.49941
1718466853938,12.2488,-12.50301
1718466854133,12.49806,-13.09364
1718466854336,12.50053,-13.89364
1718466854533,12.50056,-14.68829
1718466854731,12.50056,-14.04829
1718466854932,12.50056,-13.26175
1718466855134,12.50055,-13.90175
1718466855335,12.50048,-14.66458
1718466855535,12.50056,-14.02458
1718466855732,12.50057,-13.2253
1718466855932,12.33641,-12.59534
1718466856136,11.62486,-12.4993
1718466856335,11.30486,-12.49944
1718466856537,12.10576,-12.50334
1718466856735,12.50228,-12.91908
1718466856935,12.5006,-13.63086
1718466857139,12.50036,-14.43261
1718466857336,12.50055,-14.27261
1718466857535,12.50059,-13.47388
1718466857737,12.49216,-12.68821
1718466857936,11.87244,-12.49879
1718466858133,11.07244,-12.49943
1718466858335,11.87244,-12.49944
1718466858537,12.43923,-12.74522
1718466858737,12.50058,-13.50626
1718466858937,12.49884,-14.20991
1718466859137,12.50054,-14.52991
1718466859335,12.50064,-13.73415
1718466859536,12.49887,-12.96371
1718466859732,12.1094,-12.51658
1718466859936,11.32309,-12.49945
1718466860134,10.60956,-12.40813
1718466860332,10.49903,-11.73444
1718466860537,10.49979,-11.02542
1718466860732,10.5006,-10.24027
1718466860932,10.49931,-11.0281
1718466861136,10.49944,-11.85029
1718466861337,10.4606,-12.41311
1718466861533,10.10112,-12.49587
1718466861735,9.775249,-12.50047
1718466861932,9.37525,-12.50056
1718466862136,9.056869,-12.50032
1718466862338,8.728258,-12.49903
1718466862536,8.328259,-12.49944
1718466862731,8.568258,-12.49944
1718466862934,8.952486,-12.50122
1718466863136,9.351708,-12.50056
1718466863331,9.751708,-12.50056
1718466863532,10.13646,-12.49482
1718466863734,10.53646,-12.49482
1718466863930,10.92464,-12.49569
1718466864143,11.24807,-12.49923
1718466864332,11.64807,-12.49944
1718466864531,12.03649,-12.5008
1718466864738,12.40849,-12.55073
1718466864933,12.49572,-12.88646
1718466865135,12.50013,-12.99899
1718466865335,12.50054,-13.42805
1718466865534,12.50056,-13.82805
1718466865734,12.49649,-14.15217
1718466865935,12.50051,-14.55217
1718466866136,12.50055,-14.95216
1718466866333,12.4974,-15.37188
1718466866532,12.17174,-15.46948
1718466866738,11.84837,-15.50035
1718466866933,11.44837,-15.50055
1718466867133,11.06944,-15.50042
1718466867337,10.73476,-15.49864
1718466867531,10.33476,-15.49943
1718466867737,10.04476,-15.49954
1718466867934,9.652974,-15.49916
1718466868132,9.252975,-15.49944
1718466868335,8.996358,-15.49944
1718466868534,8.558322,-15.49953
1718466868735,8.158322,-15.49944
1718466868938,7.774208,-15.49837
