time,enemyPos.X,enemyPos.Y
1718464402492,4.499727,-2.637519
1718464402685,4.50226,-1.890894
1718464402886,4.500578,-1.090893
1718464403085,4.500316,-0.3610566
1718464403290,4.500049,0.4501815
1718464403483,4.502105,1.219314
1718464403680,4.500641,1.995109
1718464403885,4.500641,2.810503
1718464404087,4.332761,3.451789
1718464404283,3.559055,3.500583
1718464404484,2.810953,3.499426
1718464404684,2.054907,3.500501
1718464410980,1.280602,3.500403
1718464411179,0.4629216,3.492482
1718464411381,-0.3370781,3.492482
1718464411581,-1.089378,3.499183
1718464411784,-1.891886,3.500634
1718464411982,-2.704806,3.500442
1718464412185,-3.490256,3.501047
1718464412383,-4.28791,3.497242
1718464412586,-5.040129,3.498384
1718464412784,-5.843548,3.500591
1718464412985,-6.609146,3.50041
1718464413181,-7.389587,3.499818
1718464413383,-8.181631,3.493926
1718464413580,-8.98163,3.500508
1718464413786,-9.786198,3.511285
1718464413983,-10.57902,3.500738
1718464414181,-11.33806,3.500253
1718464414381,-12.09569,3.499571
1718464414585,-12.89569,3.500547
1718464414781,-13.69582,3.500663
1718464414982,-14.47087,3.501111
1718464415179,-15.26232,3.500133
1718464415381,-15.96548,3.50051
1718464415584,-16.74218,3.500527
1718464415790,-17.52195,3.500297
1718464415979,-18.27188,3.499667
1718464416180,-18.9931,3.500582
1718464416386,-19.81484,3.500644
1718464416580,-20.63536,3.500334
1718464416785,-21.42824,3.500277
1718464416985,-22.14243,3.503026
1718464417179,-22.94243,3.500587
1718464417379,-23.46676,3.500727
1718464417583,-23.86677,3.500561
1718464417783,-24.1514,3.499031
1718464417982,-24.55141,3.500539
1718464418185,-24.93027,3.500444
1718464418380,-25.27959,3.50005
1718464418582,-25.6796,3.500552
1718464418785,-26.01189,3.500566
1718464418983,-26.44819,3.500484
1718464419183,-26.8482,3.500557
1718464419382,-27.23279,3.499828
1718464419585,-27.6328,3.500549
1718464419778,-27.96293,3.500481
1718464419982,-28.36013,3.500743
