time,enemyPos.X,enemyPos.Y
1718464804145,4.746149,-9.499441
1718464804351,2.746149,-9.499441
1718464804547,0.7461491,-9.499441
1718464804750,-1.253851,-9.499441
1718464804946,-3.253851,-9.499441
1718464805145,-5.253851,-9.499441
1718464805348,-7.253849,-9.499441
1718464805551,-9.253847,-9.501837
1718464805747,-11.25385,-9.49947
1718464805947,-13.25384,-9.499442
1718464806151,-15.25384,-9.499441
1718464806346,-17.25385,-9.499441
1718464806545,-19.25385,-9.499441
1718464806752,-21.25386,-9.499441
1718464806949,-23.25387,-9.499441
1718464807147,-25.25388,-9.499441
1718464807345,-27.25388,-9.499441
1718464807553,-29.25389,-9.499441
1718464807748,-30.50536,-10.28585
1718464807947,-30.4987,-12.28585
1718464808151,-30.49973,-14.22308
1718464808347,-29.71581,-15.50061
1718464808551,-27.8158,-15.49952
1718464808747,-26.81828,-15.4994
1718464808952,-25.82156,-15.49939
1718464809147,-24.82607,-15.49939
1718464809350,-23.83302,-15.49736
1718464809549,-22.83411,-15.4857
1718464809751,-21.84253,-15.49761
1718464809950,-20.8593,-15.49728
1718464810149,-19.88359,-15.50038
1718464810350,-18.96032,-15.49935
1718464810545,-17.96098,-15.49925
1718464810747,-16.94427,-15.49926
1718464810950,-15.94759,-15.49924
1718464811150,-14.95548,-15.49924
1718464811351,-13.96917,-15.49924
1718464811550,-12.99196,-15.49927
1718464811747,-12.03868,-15.49944
1718464811949,-11.05564,-15.49952
1718464812147,-10.06384,-15.4995
1718464812346,-9.096006,-15.49945
1718464812547,-8.190506,-15.4992
1718464812748,-7.26598,-15.49955
1718464812949,-6.27404,-15.49903
1718464813145,-5.326118,-15.49944
1718464813350,-4.316998,-15.49908
1718464813546,-3.316462,-15.49904
1718464813746,-2.319143,-15.49944
1718464813952,-1.322739,-15.49944
1718464814152,-0.3281069,-15.49944
1718464814347,0.6641951,-15.49901
1718464814546,1.656542,-15.4991
1718464814747,2.646546,-15.4992
1718464814947,3.63026,-15.4997
1718464815151,4.598106,-15.49894
1718464815350,5.554605,-15.50001
1718464815551,6.541625,-15.49912
1718464815747,7.519099,-15.49963
1718464815952,8.467796,-15.49851
1718464816148,9.478439,-15.50071
1718464816351,10.48091,-15.49853
1718464816547,11.47734,-15.49869
1718464816751,12.47218,-15.49898
1718464816949,13.46448,-15.49838
1718464817147,14.45685,-15.49858
1718464817345,15.44702,-15.49885
1718464817549,16.43119,-15.5001
1718464817747,17.42668,-15.49733
1718464817950,18.65435,-15.49874
1718464818151,20.65849,-15.49928
1718464818348,22.6585,-15.49944
1718464818547,24.6585,-15.49945
1718464818750,26.65851,-15.49945
1718464818953,28.65852,-15.49945
1718464819148,30.45853,-15.29784
1718464819351,30.50072,-13.31024
1718464819546,30.50205,-11.36703
1718464819747,30.29805,-9.551915
1718464819950,28.312,-9.499305
1718464820149,26.312,-9.49944
1718464820350,24.31199,-9.499441
1718464820546,22.31198,-9.497268
1718464820748,20.37142,-9.499598
1718464820947,18.37141,-9.499443
1718464821153,16.3714,-9.499441
1718464821346,14.3714,-9.499441
1718464821547,12.37141,-9.499441
1718464821746,10.37141,-9.499441
1718464821946,8.371409,-9.499441
1718464822147,7.010554,-9.499361
1718464822349,6.017397,-9.499438
1718464822550,5.009623,-9.499326
1718464822753,4.010565,-9.499438
1718464822945,3.011696,-9.499439
