time,enemyPos.X,enemyPos.Y
1718464804145,-21.21015,-15.49193
1718464804351,-22.5915,-15.49754
1718464804547,-23.9915,-15.4993
1718464804750,-25.37832,-15.49933
1718464804946,-26.7439,-15.49897
1718464805145,-28.15787,-15.49833
1718464805347,-29.55779,-15.49943
1718464805551,-30.51532,-14.9912
1718464805745,-30.49971,-13.59289
1718464805946,-30.12592,-12.52995
1718464806151,-28.74217,-12.49932
1718464806345,-27.36559,-12.49892
1718464806545,-26.04769,-12.49878
1718464806751,-24.78686,-12.49382
1718464806949,-23.44211,-12.49735
1718464807146,-22.04457,-12.5042
1718464807345,-20.75862,-12.48868
1718464807552,-19.39862,-12.49855
1718464807747,-17.98632,-12.49961
1718464807946,-16.58638,-12.49941
1718464808150,-15.1962,-12.49942
1718464808347,-13.87185,-12.49991
1718464808551,-12.55584,-12.49937
1718464808747,-11.87577,-12.50222
1718464808951,-11.17578,-12.49948
1718464809147,-10.47113,-12.4996
1718464809350,-9.782358,-12.49745
1718464809548,-9.082361,-12.49942
1718464809751,-8.389829,-12.4956
1718464809950,-7.758194,-12.49933
1718464810149,-7.058193,-12.49944
1718464810349,-6.367996,-12.49932
1718464810545,-5.739125,-12.5004
1718464810746,-5.039124,-12.49946
1718464810949,-4.330349,-12.4995
1718464811149,-3.640415,-12.4986
1718464811351,-2.99928,-12.4994
1718464811550,-2.286177,-12.49934
1718464811747,-1.606399,-12.49853
1718464811949,-0.9117584,-12.50013
1718464812147,-0.1981382,-12.49939
1718464812344,0.4918747,-12.49915
1718464812545,1.120009,-12.50171
1718464812746,1.820011,-12.49947
1718464812949,2.527592,-12.49955
1718464813144,3.21656,-12.49746
1718464813349,3.916561,-12.49942
1718464813546,4.561543,-12.49926
1718464813746,5.199196,-12.50104
1718464813951,5.899197,-12.49946
1718464814152,6.570614,-12.49969
1718464814346,7.226547,-12.49711
1718464814545,7.926548,-12.49942
1718464814745,8.595989,-12.49951
1718464814947,9.294796,-12.49798
1718464815151,9.965187,-12.49943
1718464815350,10.66619,-12.49931
1718464815550,11.36563,-12.49849
1718464815746,12.0174,-12.49938
1718464815952,12.72792,-12.49947
1718464816148,13.41973,-12.49988
1718464816351,14.02381,-12.49941
1718464816546,14.73877,-12.49948
1718464816750,15.44939,-12.49896
1718464816949,16.13926,-12.50204
1718464817147,16.83926,-12.49947
1718464817344,17.51826,-12.50462
1718464817548,18.19076,-12.49823
1718464817746,18.89075,-12.49943
1718464817949,19.80124,-12.49951
1718464818151,21.18034,-12.50289
1718464818348,22.58095,-12.49902
1718464818546,23.98104,-12.49945
1718464818750,25.35036,-12.49753
1718464818953,26.66344,-12.4982
1718464819147,28.02483,-12.49918
1718464819350,29.43775,-12.499
1718464819546,30.4897,-12.11719
1718464819746,30.50064,-10.72495
1718464819949,30.21684,-9.608021
1718464820149,28.87616,-9.499258
1718464820350,27.49386,-9.499365
1718464820546,26.14771,-9.499529
1718464820748,24.75997,-9.499277
1718464820945,23.3924,-9.498572
1718464821152,21.97898,-9.497076
1718464821346,20.57898,-9.499429
1718464821546,19.18423,-9.499421
1718464821746,17.91505,-9.499232
1718464821946,16.53552,-9.497845
1718464822147,15.53921,-9.499669
1718464822348,14.85299,-9.499669
1718464822550,14.15299,-9.499445
1718464822752,13.50688,-9.499142
1718464822945,12.86141,-9.502879
