time,enemyPos.X,enemyPos.Y
1718462915295,-24.71222,12.50055
1718462915495,-22.71221,12.50055
1718462915693,-20.7122,12.50055
1718462915897,-18.7122,12.50055
1718462916099,-16.71219,12.50055
1718462944523,-14.71219,12.50055
1718462944726,-12.77177,12.50336
1718462944936,-10.75538,12.50014
1718462945122,-8.755383,12.50055
1718462945324,-6.755383,12.50055
1718462945525,-4.755386,12.50055
1718462945721,-2.755386,12.50055
1718462945934,-0.7553844,12.50055
1718462946121,1.244614,12.50055
1718462946322,3.244614,12.50055
1718462946533,5.244614,12.50055
1718462946736,7.244614,12.50055
1718462946930,8.944611,12.50055
1718462947133,9.91935,12.5006
1718462947336,10.86827,12.50071
1718462947530,11.87876,12.50038
1718462947722,12.88143,12.50071
1718462956157,13.87804,12.50072
1718462956360,14.87336,12.50056
1718462956553,15.86613,12.50065
1718462956758,16.85869,12.50071
1718462956953,17.84974,12.50066
1718462957166,18.83594,12.50046
1718462957355,19.82631,12.49431
1718462957555,20.81054,12.50056
1718462957757,21.72747,12.50042
1718462957957,22.70939,12.50091
1718462958154,23.62863,12.50041
1718462958359,24.61264,12.50115
1718462958552,25.54955,12.50015
1718462958758,26.55204,12.50013
1718462958954,27.54217,12.5001
1718462959153,28.5208,12.50035
1718462959360,29.47415,12.50165
1718462959561,30.47184,12.49649
1718462959753,30.50067,11.50299
1718462959960,30.49975,10.5488
1718462960153,30.50055,10.9488
1718462960358,30.50057,11.73103
1718462960558,30.50318,10.73163
1718462960758,30.50059,10.73163
1718462960953,30.50062,11.69597
1718462961155,30.5006,11.00552
1718462961354,30.50066,10.38715
1718462961555,30.50085,11.40661
1718462961758,30.50056,11.20661
1718462961956,30.50083,10.20706
1718462962154,30.5008,11.10613
1718462962354,30.50056,11.50613
1718462962560,30.50149,10.49135
1718462962753,30.50056,10.89135
1718462962956,30.50058,11.69058
1718462963155,30.50072,10.50555
1718462963353,29.50625,9.495053
1718462963560,27.54696,9.50133
1718462963758,25.54695,9.500568
1718462963956,23.54694,9.500559
1718462964158,21.54693,9.500559
1718462964356,19.54692,9.502162
1718462964553,17.54692,9.50069
1718462964757,15.54691,9.50056
1718462964956,13.54691,9.500559
1718462965158,11.54692,9.500559
1718462965356,9.546917,9.500559
1718462965553,7.546921,9.500559
1718462965753,5.546921,9.498555
1718462965956,3.546925,9.500394
1718462966151,1.546923,9.500556
1718462966356,-0.4530773,9.500559
1718462966556,-2.453077,9.500559
1718462966757,-4.453077,9.500559
1718462966958,-6.453075,9.500559
1718462967163,-8.453075,9.500559
1718462967358,-10.45307,9.500559
1718462967554,-12.45307,9.500559
1718462967765,-14.45307,9.501784
1718462967958,-16.45307,9.500572
1718462968157,-18.45308,9.500559
1718462968358,-20.45308,9.500559
1718462968555,-22.45309,9.500559
1718462968753,-24.4531,9.500559
1718462968957,-26.45311,9.500559
1718462969156,-28.45312,9.500559
1718462969359,-30.45312,9.50056
1718462969554,-30.50011,7.514267
1718462969754,-30.50104,5.577225
1718462969953,-30.49787,3.577226
1718462970155,-28.51585,3.500101
1718462970355,-26.51585,3.500548
1718462970558,-24.51584,3.500554
1718462970763,-22.51583,3.500554
1718462970953,-20.51582,3.500554
1718462971154,-18.51582,3.500554
1718462971357,-16.51581,3.500554
1718462971553,-14.51581,3.500554
1718462971754,-12.51581,3.500554
1718462971953,-10.51581,3.500554
1718462972153,-8.515814,3.50178
1718462972353,-6.515816,3.500568
1718462972553,-4.515818,3.498549
1718462972756,-2.515818,3.500389
1718462972951,-0.5158176,3.498547
1718462973154,1.418091,3.501843
1718462973358,3.43325,3.500344
1718462973559,5.43325,3.499014
1718462973756,7.433247,3.500536
1718462973958,9.433247,3.500554
1718462974162,11.43324,3.500554
1718462974358,13.43324,3.500554
1718462974555,15.43324,3.500554
1718462974758,17.43324,3.500554
1718462974956,19.43325,3.500554
1718462975153,21.43326,3.500554
1718462975353,23.43327,3.500554
1718462975553,25.43327,3.500554
1718462975767,27.43328,3.500554
1718462975955,29.43329,3.500554
1718462976152,30.50189,4.483948
1718462976360,30.49858,6.483946
1718462976554,28.56018,6.49789
1718462976757,26.56018,6.500527
1718462976959,24.56017,6.500558
1718462977155,22.56016,6.500558
1718462977355,20.56015,6.500558
1718462977555,18.56015,6.500558
1718462977759,16.56014,6.500558
1718462977953,14.56014,6.500558
1718462978161,12.56014,6.500558
1718462978357,10.56014,6.500558
1718462978553,8.560143,6.500558
1718462978758,6.560146,6.500558
1718462978954,4.56015,6.501784
1718462979159,2.56015,6.500573
1718462979357,0.5601482,6.500558
1718462979561,-1.439852,6.500558
