time,enemyPos.X,enemyPos.Y
1718462915294,13.80515,-15.49504
1718462915494,12.45195,-15.49957
1718462915691,11.06601,-15.49942
1718462915896,9.694922,-15.50092
1718462916099,8.294634,-15.49956
1718462944522,6.917038,-15.49914
1718462944726,5.579814,-15.49941
1718462944935,4.185513,-15.49942
1718462945122,2.920874,-15.49922
1718462945324,1.54097,-15.49819
1718462945525,0.1290436,-15.49965
1718462945720,-1.270275,-15.49938
1718462945934,-2.657978,-15.4994
1718462946121,-4.023142,-15.49925
1718462946321,-5.437033,-15.49904
1718462946533,-6.836899,-15.49944
1718462946733,-8.203304,-15.49345
1718462946929,-9.358017,-15.50002
1718462947133,-9.996399,-15.49941
1718462947335,-10.69693,-15.49937
1718462947530,-11.32734,-15.4979
1718462947721,-12.01582,-15.49935
1718462956157,-12.74385,-15.49958
1718462956359,-13.43616,-15.49887
1718462956552,-14.09663,-15.50075
1718462956758,-14.80125,-15.49937
1718462956952,-15.49526,-15.49974
1718462957165,-16.13898,-15.49733
1718462957355,-16.83897,-15.49942
1718462957555,-17.46002,-15.49963
1718462957756,-18.17318,-15.49467
1718462957955,-18.87318,-15.49941
1718462958153,-19.56791,-15.49923
1718462958358,-20.2212,-15.49733
1718462958551,-20.92119,-15.49942
1718462958757,-21.59447,-15.49923
1718462958953,-22.31123,-15.48429
1718462959153,-22.97845,-15.49725
1718462959359,-23.665,-15.4994
1718462959560,-24.35967,-15.49859
1718462959752,-25.00096,-15.4994
1718462959959,-25.71711,-15.49934
1718462960152,-26.38853,-15.49975
1718462960357,-27.07452,-15.49958
1718462960557,-27.79015,-15.49937
1718462960756,-28.46303,-15.49974
1718462960952,-29.16815,-15.4952
1718462961154,-29.86814,-15.49939
1718462961353,-30.43208,-15.34716
1718462961554,-30.50038,-14.71379
1718462961757,-30.50033,-14.04829
1718462961955,-30.49935,-13.38004
1718462962153,-30.49944,-13.80004
1718462962353,-30.5006,-14.48788
1718462962559,-30.50056,-14.34788
1718462962752,-30.49907,-13.68087
1718462962956,-30.49944,-13.40087
1718462963155,-30.5001,-14.31747
1718462963351,-30.21787,-15.43748
1718462963559,-28.84922,-15.50016
1718462963757,-27.45042,-15.49943
1718462963955,-26.06328,-15.49943
1718462964157,-24.68685,-15.50088
1718462964356,-23.28646,-15.4992
1718462964552,-21.89931,-15.49603
1718462964757,-20.53157,-15.49801
1718462964956,-19.11831,-15.4997
1718462965157,-17.71747,-15.4996
1718462965356,-16.32195,-15.49942
1718462965551,-15.01717,-15.49929
1718462965751,-13.6398,-15.50193
1718462965955,-12.31103,-15.49943
1718462966151,-10.94627,-15.49908
1718462966355,-9.535885,-15.50071
1718462966556,-8.134916,-15.4992
1718462966756,-6.737694,-15.49935
1718462966957,-5.356792,-15.49939
1718462967163,-4.018818,-15.49945
1718462967358,-2.649204,-15.49685
1718462967553,-1.33536,-15.49815
