time,enemyPos.X,enemyPos.Y
1718462915294,12.70477,-6.500731
1718462915495,11.93753,-6.499383
1718462915692,11.12793,-6.499382
1718462915896,10.31981,-6.496322
1718462916099,9.540531,-6.499655
1718462944522,8.766105,-6.497152
1718462944726,7.981928,-6.499294
1718462944936,7.172575,-6.499467
1718462945122,6.46263,-6.499216
1718462945324,5.663556,-6.500881
1718462945525,4.851505,-6.502505
1718462945721,4.051506,-6.499476
1718462945934,3.263963,-6.499308
1718462946121,2.461535,-6.499174
1718462946321,1.682521,-6.497898
1718462946533,0.8849459,-6.501671
1718462946735,0.08494568,-6.499467
1718462946929,-0.5355148,-6.49922
1718462947133,-0.9355164,-6.499439
1718462947336,-1.354525,-6.499143
1718462947530,-1.754524,-6.499439
1718462947721,-2.081182,-6.500701
1718462956157,-2.502779,-6.499401
1718462956360,-2.902779,-6.499441
1718462956552,-3.151487,-6.496622
1718462956758,-3.551487,-6.499411
1718462956952,-3.930368,-6.499556
1718462957165,-4.284304,-6.499998
1718462957355,-4.684303,-6.499449
1718462957555,-5.032408,-6.499434
1718462957756,-5.463848,-6.499549
1718462957957,-5.86385,-6.499443
1718462958154,-6.108166,-6.501783
1718462958358,-6.508165,-6.499471
1718462958551,-6.908165,-6.499442
1718462958758,-7.219639,-6.500779
1718462958953,-7.619638,-6.499459
1718462959153,-7.96788,-6.499514
1718462959360,-8.384247,-6.499293
1718462959561,-8.784246,-6.499441
1718462959752,-9.007771,-6.499441
1718462959960,-9.43244,-6.499524
1718462960152,-9.832439,-6.499444
1718462960358,-10.174,-6.501251
1718462960557,-10.574,-6.499465
1718462960756,-10.96012,-6.499469
1718462960953,-11.38077,-6.499283
1718462961154,-11.78077,-6.49944
1718462961354,-12.13724,-6.496804
1718462961555,-12.53724,-6.499413
1718462961758,-12.92591,-6.499553
1718462961956,-13.27112,-6.499073
1718462962153,-13.67112,-6.499439
1718462962354,-14.0535,-6.498711
1718462962560,-14.47286,-6.495857
1718462962752,-14.87286,-6.495085
1718462962956,-15.23755,-6.499228
1718462963155,-15.75755,-6.49944
1718462963351,-16.50079,-6.498882
1718462963559,-17.27119,-6.500152
1718462963757,-17.99106,-6.499421
1718462963956,-18.7975,-6.49934
1718462964157,-19.60526,-6.49962
1718462964356,-20.36398,-6.499922
1718462964552,-21.13181,-6.501784
1718462964757,-21.93181,-6.499468
1718462964956,-22.71529,-6.499591
1718462965157,-23.51331,-6.499636
1718462965356,-24.24934,-6.497577
1718462965553,-25.0422,-6.499341
1718462965753,-25.8668,-6.499487
1718462965955,-26.6531,-6.499238
1718462966151,-27.45506,-6.499065
1718462966356,-28.23085,-6.497355
1718462966556,-29.01355,-6.499309
1718462966757,-29.66245,-6.499461
1718462966958,-28.90502,-6.499329
1718462967163,-28.10503,-6.499444
1718462967358,-27.30497,-6.499342
1718462967553,-26.53056,-6.498908
1718462967765,-25.74041,-6.501046
1718462967958,-24.9834,-6.499485
1718462968156,-24.18013,-6.499468
1718462968358,-23.41991,-6.499534
1718462968555,-22.6594,-6.499797
1718462968753,-21.89825,-6.500883
1718462968957,-21.09825,-6.499463
1718462969156,-20.33578,-6.499522
1718462969359,-19.64586,-6.500047
1718462969554,-18.92009,-6.499429
1718462969754,-18.08501,-6.499369
1718462969953,-17.32497,-6.499146
1718462970155,-16.56725,-6.498336
1718462970354,-15.81876,-6.494056
1718462970557,-15.01875,-6.499406
1718462970763,-14.19925,-6.496334
1718462970953,-13.41412,-6.499312
1718462971153,-12.7142,-6.498552
1718462971357,-11.9645,-6.499362
1718462971553,-11.13071,-6.499508
1718462971754,-10.33651,-6.499758
1718462971953,-9.648376,-6.499914
1718462972152,-8.933659,-6.499408
1718462972353,-8.098179,-6.499512
1718462972553,-7.323063,-6.49954
1718462972756,-6.581087,-6.49858
1718462972951,-5.815071,-6.500232
1718462973154,-5.06151,-6.499523
1718462973358,-4.320835,-6.499572
1718462973559,-3.565502,-6.49967
1718462973756,-2.811237,-6.493209
1718462973958,-2.055367,-6.499465
1718462974162,-1.279606,-6.499598
1718462974357,-0.4661484,-6.499682
1718462974554,0.3086967,-6.498182
1718462974758,1.097935,-6.500227
1718462974956,1.906013,-6.49938
1718462975153,2.610934,-6.499628
1718462975352,3.406156,-6.500432
1718462975551,4.214008,-6.501348
1718462975767,4.9863,-6.499402
1718462975955,5.789107,-6.499358
1718462976152,6.58651,-6.499051
1718462976360,7.293524,-6.500663
1718462976553,8.057845,-6.49938
1718462976757,8.891172,-6.499527
1718462976958,9.701659,-6.499555
1718462977154,10.49982,-6.483514
1718462977355,11.2899,-6.499221
1718462977554,12.04759,-6.499366
1718462977758,12.85535,-6.499405
1718462977952,13.64179,-6.49918
1718462978160,14.44476,-6.499798
1718462978357,15.20172,-6.499431
1718462978552,15.96585,-6.499433
1718462978758,16.76212,-6.499514
1718462978953,17.52486,-6.499732
1718462979158,18.29645,-6.500558
1718462979357,19.06569,-6.49939
1718462979561,19.8864,-6.499371
1718462979768,20.69297,-6.499576
1718462979956,21.46655,-6.498955
1718462980155,22.267,-6.504131
1718462980353,23.03112,-6.501437
1718462980559,23.83713,-6.499412
1718462980760,24.59423,-6.498992
1718462980958,25.3478,-6.497833
1718462981153,26.04465,-6.499388
1718462981354,26.87535,-6.499499
1718462981553,27.68142,-6.499535
1718462981752,28.43187,-6.499781
1718462981957,29.17499,-6.494693
1718462982160,29.65499,-6.49941
1718462982356,28.97282,-6.498657
1718462982551,28.14515,-6.499432
1718462982752,27.3456,-6.499778
1718462982957,26.53414,-6.499921
1718462983156,25.74792,-6.49754
1718462983357,24.95388,-6.499344
1718462983555,24.14614,-6.499403
1718462983760,23.37153,-6.499232
1718462983957,22.57036,-6.504618
1718462984158,21.79685,-6.497735
1718462984355,21.03178,-6.499411
1718462984553,20.23536,-6.499527
1718462984758,19.46481,-6.499724
1718462984954,18.67664,-6.497843
1718462985154,17.87074,-6.50192
1718462985359,17.07075,-6.49947
1718462985552,16.30392,-6.499345
1718462985757,15.51617,-6.498771
1718462985955,14.71145,-6.500469
1718462986156,13.95634,-6.499368
1718462986353,13.14605,-6.499404
1718462986565,12.36131,-6.499211
1718462986753,11.55982,-6.499881
1718462986952,10.76484,-6.487089
1718462987152,9.991836,-6.498271
1718462987357,9.191829,-6.49942
1718462987553,8.392404,-6.499259
1718462987758,7.628903,-6.498952
1718462987951,6.848152,-6.502595
1718462988159,6.048153,-6.499477
1718462988353,5.254631,-6.499475
1718462988558,4.555836,-6.499806
1718462988754,3.777766,-6.501191
1718462988955,3.000074,-6.499377
1718462989157,2.181641,-6.499345
1718462989357,1.420776,-6.499516
1718462989558,0.6614456,-6.499757
1718462989753,-0.09692764,-6.500517
1718462989959,-0.8969269,-6.499454
1718462990153,-1.65312,-6.499483
1718462990354,-2.452906,-6.499078
1718462990555,-3.224724,-6.497632
1718462990757,-4.004011,-6.499346
1718462990955,-4.819677,-6.499344
1718462991156,-5.581638,-6.499532
1718462991354,-6.343983,-6.499897
1718462991551,-7.022907,-6.499401
1718462991752,-7.832581,-6.49948
1718462991960,-8.587189,-6.499121
1718462992158,-9.315428,-6.500591
1718462992352,-9.715427,-6.499456
1718462992556,-10.03025,-6.499437
1718462992759,-10.48271,-6.499595
1718462992960,-10.88271,-6.499444
1718462993159,-11.26608,-6.498789
1718462993354,-11.66608,-6.499435
1718462993557,-11.95804,-6.499533
1718462993756,-12.3373,-6.49979
1718462993953,-12.7373,-6.499447
1718462994162,-13.06894,-6.500204
1718462994355,-13.4902,-6.499494
1718462994554,-13.8902,-6.499443
1718462994755,-14.29759,-6.497066
1718462994954,-14.69759,-6.495215
1718462995153,-15.01451,-6.497049
1718462995353,-15.41452,-6.499412
1718462995559,-15.81452,-6.499442
1718462995758,-16.21176,-6.498656
1718462995953,-16.61177,-6.499434
1718462996152,-16.98289,-6.499449
1718462996360,-17.39869,-6.499331
1718462996553,-17.7987,-6.499441
1718462996758,-18.14946,-6.501145
1718462996956,-18.54947,-6.499463
1718462997157,-18.92774,-6.499529
1718462997353,-19.26952,-6.498758
1718462997555,-19.66953,-6.499435
1718462997753,-19.97026,-6.499502
1718462997956,-20.3984,-6.499237
1718462998153,-20.79841,-6.49944
1718462998355,-21.16248,-6.501582
1718462998552,-21.56248,-6.499468
1718462998766,-21.94485,-6.49951
1718462998956,-22.34233,-6.499191
