time,enemyPos.X,enemyPos.Y
1718466278125,-3.25386,-9.499441
1718466278321,-5.253859,-9.499441
1718466278520,-7.253857,-9.499441
1718466278727,-9.253856,-9.501837
1718466278926,-11.25385,-9.49947
1718466279124,-13.25385,-9.499442
1718466279325,-15.25385,-9.499441
1718466279521,-17.25385,-9.499441
1718466279728,-19.25386,-9.499441
1718466279924,-21.25387,-9.499441
1718466280124,-23.25388,-9.499441
1718466280324,-25.25389,-9.499441
1718466280523,-27.25389,-9.499441
1718466280724,-29.2539,-9.499441
1718466280924,-30.50536,-10.28585
1718466281131,-30.4987,-12.28585
1718466281323,-30.49973,-14.22308
1718466281524,-29.71581,-15.50061
1718466281719,-27.7158,-15.49952
1718466281923,-25.71579,-15.49945
1718466282125,-23.71579,-15.49945
1718466282322,-21.71578,-15.49753
1718466301543,-19.71577,-15.49942
1718466301728,-17.71576,-15.49945
1718466301929,-15.71576,-15.49945
1718466302128,-13.71576,-15.49945
1718466302327,-11.71576,-15.49945
1718466302529,-9.715763,-15.49945
1718466302727,-7.715765,-15.49945
1718466302931,-5.715767,-15.49945
1718466303127,-3.715769,-15.49945
1718466303330,-1.715768,-15.49945
1718466303530,0.2842321,-15.49945
1718466303728,2.284232,-15.49945
1718466303929,4.284233,-15.49945
1718466304127,6.284231,-15.49945
1718466304328,8.284229,-15.49945
1718466304528,10.28423,-15.49945
1718466304729,12.28423,-15.49945
1718466304931,14.28422,-15.49945
1718466305133,16.28422,-15.49945
1718466305333,18.28423,-15.49753
1718466305528,20.28424,-15.49942
1718466305728,22.28425,-15.49945
1718466305931,24.28425,-15.49945
1718466331017,26.28426,-15.49945
1718466331219,28.28427,-15.49945
1718466331416,30.28428,-15.49856
1718466331620,30.49377,-13.75835
1718466331816,30.498,-11.75836
1718466332016,30.49941,-9.758358
1718466332221,28.71358,-9.499188
1718466332422,26.71357,-9.499438
1718466332616,24.71356,-9.499441
1718466332820,22.71356,-9.49855
1718466333016,20.7754,-9.499748
1718466333216,18.77539,-9.499445
1718466333418,16.77539,-9.499441
1718466333620,14.77539,-9.499441
1718466333817,12.77539,-9.499441
1718466334024,10.77539,-9.499441
1718466334217,8.775392,-9.499441
1718466334420,6.775393,-9.499441
1718466334622,4.775395,-9.499441
1718466334816,2.775396,-9.499441
1718466335021,0.7753954,-9.499441
1718466335217,-1.224605,-9.499441
1718466335417,-3.224606,-9.499441
1718466335618,-5.224604,-9.499441
1718466335819,-7.224602,-9.499441
1718466336022,-9.224601,-9.501837
1718466336216,-11.2246,-9.49947
1718466336423,-13.2246,-9.499442
1718466336620,-15.22459,-9.499441
1718466336816,-17.2246,-9.499441
1718466337016,-19.22461,-9.499441
1718466337215,-21.22462,-9.499441
1718466337416,-23.22462,-9.499441
1718466337624,-25.22463,-9.499441
1718466337824,-27.22464,-9.499441
1718466338021,-29.22465,-9.499441
1718466338225,-30.50153,-10.28111
1718466338417,-30.49866,-12.28111
1718466338619,-30.49924,-14.2811
1718466338820,-29.70713,-15.51132
1718466339019,-27.74842,-15.50291
1718466339225,-25.74841,-15.49949
1718466339421,-23.74841,-15.49945
1718466339616,-21.7484,-15.49753
1718466339814,-19.74839,-15.49942
1718466340022,-17.74838,-15.49945
1718466340219,-15.74838,-15.49945
1718466340417,-13.74838,-15.49945
1718466340619,-11.74838,-15.49945
1718466340820,-9.748383,-15.49945
1718466341016,-7.748384,-15.49945
1718466341218,-5.748386,-15.49945
1718466341417,-3.748388,-15.49945
1718466341620,-1.748387,-15.49945
1718466341821,0.2516127,-15.49945
1718466342015,2.251613,-15.49945
1718466342216,4.251613,-15.49945
1718466342415,6.251611,-15.49945
