time,enemyPos.X,enemyPos.Y
1718466278126,-5.210165,12.50808
1718466278321,-6.522927,12.50246
1718466278521,-7.883989,12.50097
1718466278727,-9.296926,12.50192
1718466278927,-10.69679,12.50057
1718466279125,-12.0565,12.50088
1718466279326,-13.42755,12.49626
1718466279522,-14.82522,12.5003
1718466279729,-16.16092,12.49888
1718466279925,-17.56183,12.50051
1718466280125,-18.95699,12.50057
1718466280324,-20.24764,12.51276
1718466280524,-21.61344,12.50062
1718466280725,-23.02393,12.50035
1718466280925,-24.42524,12.50033
1718466281132,-25.82199,12.50057
1718466281324,-27.13878,12.50065
1718466281524,-28.53227,12.50061
1718466281720,-29.90691,12.50102
1718466281924,-30.49974,11.68674
1718466282125,-30.49956,10.28673
1718466282323,-30.49601,8.899834
1718466301544,-30.49807,7.532613
1718466301728,-30.49759,6.119229
1718466301929,-30.49942,4.719227
1718466302129,-30.49632,3.320941
1718466302328,-30.49925,2.023252
1718466302529,-30.49733,0.6735239
1718466302728,-30.5,-0.7387066
1718466302932,-30.4994,-2.139318
1718466303128,-30.35705,-3.397342
1718466303330,-29.01091,-3.500786
1718466303531,-27.6273,-3.499331
1718466303729,-26.26854,-3.499838
1718466303929,-24.85914,-3.49959
1718466304127,-23.46449,-3.499394
1718466304328,-22.08998,-3.499111
1718466304528,-20.81662,-3.495715
1718466304730,-19.40421,-3.500168
1718466304931,-18.00371,-3.49931
1718466305135,-16.61208,-3.499352
1718466305333,-15.23853,-3.498842
1718466305528,-13.87961,-3.501823
1718466305729,-12.5005,-3.499367
1718466305933,-11.17405,-3.499433
1718466331018,-9.809348,-3.499216
1718466331220,-8.397904,-3.500149
1718466331417,-6.997108,-3.499314
1718466331622,-5.601021,-3.499374
1718466331816,-4.208917,-3.495443
1718466332016,-2.875811,-3.499279
1718466332222,-1.493196,-3.499367
1718466332423,-0.1453848,-3.499554
1718466332617,1.244777,-3.49929
1718466332821,2.616571,-3.498656
1718466333017,3.972603,-3.499537
1718466333216,4.501833,-2.574544
1718466333419,4.500578,-1.177467
1718466333620,4.50045,0.1429224
1718466333818,4.500603,1.538637
1718466334024,4.500581,2.916035
1718466334217,3.66628,3.502192
1718466334420,2.266279,3.500577
1718466334622,0.8664606,3.499622
1718466334817,-0.5331488,3.488771
1718466335022,-1.931223,3.500803
1718466335218,-3.282738,3.500471
1718466335418,-4.401278,3.217308
1718466335619,-4.500329,1.870234
1718466335819,-4.499375,0.4829283
1718466336023,-4.499176,-0.8810539
1718466336216,-4.498374,-2.294571
1718466336425,-4.779374,-3.414572
1718466336620,-6.131718,-3.500315
1718466336817,-7.520517,-3.499376
1718466337017,-8.888619,-3.499069
1718466337216,-10.30256,-3.498225
1718466337417,-11.70281,-3.499487
1718466337624,-13.0757,-3.499128
1718466337825,-14.45159,-3.509411
1718466338022,-15.76045,-3.498844
1718466338226,-17.11828,-3.499275
1718466338418,-18.49531,-3.49936
1718466338620,-19.8069,-3.499424
1718466338821,-21.13788,-3.499359
1718466339020,-22.53084,-3.499387
1718466339226,-23.90528,-3.499001
1718466339422,-25.15171,-3.499893
1718466339617,-26.55073,-3.499431
1718466339815,-27.93878,-3.499423
1718466340023,-29.31845,-3.501413
1718466340220,-30.43845,-3.219652
1718466340418,-30.50018,-1.850915
1718466340620,-30.49943,-0.4525814
1718466340821,-30.49942,0.9328213
1718466341017,-30.50054,2.301243
1718466341218,-30.21764,3.42135
1718466341418,-28.8612,3.500666
1718466341620,-27.46769,3.50061
1718466341822,-26.09305,3.501019
1718466342016,-24.80969,3.497947
1718466342216,-23.39428,3.499819
1718466342416,-21.99376,3.500729
1718466342617,-20.596,3.500584
1718466342816,-19.21356,3.500587
1718466343016,-17.86729,3.500575
1718466343220,-16.47777,3.500621
1718466343417,-15.108,3.500979
1718466343615,-13.69467,3.502062
1718466343814,-12.29428,3.500453
1718466344016,-10.91585,3.500856
1718466344221,-9.524057,3.515147
1718466344419,-8.130485,3.500051
1718466344618,-6.732001,3.500595
1718466344821,-5.34612,3.500602
1718466345019,-3.971725,3.515301
1718466345222,-2.571586,3.500556
1718466345415,-1.173459,3.500563
1718466345617,0.2192557,3.479531
1718466345821,1.613878,3.501308
1718466346022,3.013879,3.500562
1718466346217,4.413707,3.497955
1718466346417,5.803965,3.500319
1718466346617,7.186535,3.497313
1718466346817,8.5875,3.501266
1718466347017,9.987911,3.500494
1718466347221,11.36997,3.500673
1718466347421,12.72451,3.500174
1718466347621,14.127,3.500611
1718466347815,15.51207,3.500629
1718466348022,16.86998,3.500332
1718466348221,18.27834,3.500537
1718466348417,19.67158,3.50059
1718466348617,20.96592,3.500788
1718466348820,22.31394,3.499311
1718466349018,23.72518,3.500183
1718466349217,25.12229,3.500702
1718466349418,26.50316,3.500635
1718466349615,27.84098,3.500557
1718466349816,29.21019,3.508082
1718466350016,28.98511,3.501926
1718466350220,27.56833,3.500238
1718466350419,26.16932,3.500563
1718466350619,24.81528,3.503477
1718466350823,23.40177,3.49976
1718466351016,22.71586,3.501756
1718466351222,22.05151,3.500525
1718466351416,21.38071,3.500645
1718466351622,20.71143,3.499135
1718466351820,20.04461,3.500525
1718466352023,19.36095,3.5007
1718466352219,18.69682,3.502214
1718466352420,18.02155,3.500605
1718466352619,17.30931,3.500476
1718466352819,16.64795,3.501293
1718466353020,16.01982,3.500557
1718466353221,15.32375,3.500612
1718466353418,14.60456,3.501482
1718466353617,13.90888,3.499676
1718466353817,13.20037,3.500634
1718466354021,12.51479,3.500818
1718466354222,11.92644,3.500436
1718466354415,11.20602,3.500632
1718466354618,10.50852,3.500182
1718466354819,9.878372,3.498356
1718466355021,9.178375,3.500533
1718466355220,8.468393,3.500421
1718466355419,7.777848,3.502646
1718466355621,7.077847,3.500583
1718466355817,6.418009,3.500824
1718466356019,5.733905,3.499535
1718466356216,5.453904,3.500545
1718466356417,6.148753,3.501047
1718466356618,6.848755,3.50056
1718466356818,7.504458,3.500937
1718466357022,8.186605,3.506205
1718466357217,8.886602,3.500595
1718466357417,9.596635,3.500761
1718466357615,10.28971,3.501909
1718466357816,10.95718,3.500547
1718466358018,11.64521,3.500713
1718466358219,12.31359,3.49896
1718466358414,12.99481,3.500604
1718466358616,13.71056,3.500628
1718466358821,14.37358,3.50163
1718466359016,15.03872,3.500626
1718466359218,15.76125,3.500501
1718466359417,16.42331,3.501034
1718466359615,17.04149,3.500599
1718466359817,18.08506,3.500858
1718466360021,19.45257,3.501487
1718466360219,20.86214,3.500368
1718466360418,22.25771,3.500669
1718466360619,23.63419,3.501229
1718466360817,24.95192,3.501217
1718466361022,26.20837,3.505458
1718466361222,27.54307,3.502714
1718466361418,28.92465,3.500577
1718466361619,30.26685,3.500535
1718466361817,30.50079,2.290697
1718466362019,30.50084,0.906661
1718466362217,30.4995,-0.4528952
1718466362415,30.50034,-1.863032
1718466362619,30.49841,-3.261934
1718466362815,29.28935,-3.501106
1718466363021,27.90355,-3.499177
1718466363217,26.54045,-3.498304
1718466363421,25.1277,-3.499666
1718466363620,23.72809,-3.499387
1718466363816,22.33916,-3.499399
1718466364022,20.97073,-3.499195
1718466364217,19.55688,-3.498626
1718466364427,18.1566,-3.499477
1718466364618,16.78259,-3.499244
1718466364817,15.46335,-3.499405
1718466365018,14.06229,-3.499063
1718466365220,12.69477,-3.500854
1718466365418,11.29447,-3.499563
1718466365618,9.912498,-3.501566
1718466365822,8.563038,-3.499941
1718466366020,7.163177,-3.499443
1718466366217,5.796858,-3.493485
1718466366422,4.529079,-3.352785
1718466366618,4.502951,-1.996477
1718466366822,4.500623,-0.5986376
1718466367023,4.500591,0.7813826
1718466367217,4.5008,2.10425
1718466367422,4.500998,3.512671
1718466367616,3.176359,3.500655
1718466367819,1.812611,3.502987
1718466368019,0.4036269,3.493287
1718466368214,-0.9963732,3.493287
1718466368421,-2.388025,3.500645
1718466368619,-3.761617,3.501165
1718466368815,-4.509684,2.838742
1718466369022,-4.499696,1.438737
1718466369219,-4.499434,0.04385567
1718466369417,-4.487801,-1.245286
1718466369620,-4.498797,-2.608452
1718466369821,-3.955547,-3.50181
1718466370020,-2.555547,-3.499751
1718466370215,-1.155531,-3.499454
1718466370415,0.2204752,-3.499248
1718466370620,1.550109,-3.499414
1718466370815,2.951641,-3.498798
1718466371022,4.329084,-3.49341
1718466371219,5.668786,-3.49916
1718466371417,7.001062,-3.502886
1718466371620,8.396522,-3.499372
1718466371818,9.771811,-3.498728
1718466372017,11.14476,-3.50308
1718466372218,12.54131,-3.499409
1718466372417,13.92129,-3.499426
1718466372616,15.2526,-3.486201
1718466372819,16.6238,-3.499384
1718466373016,17.91644,-3.499023
1718466373216,19.23102,-3.491138
1718466373419,20.59427,-3.500216
1718466373622,22.00546,-3.499606
1718466373822,23.40281,-3.499393
1718466374018,24.78416,-3.499413
1718466374216,26.1216,-3.499291
1718466374419,27.50184,-3.499365
1718466374617,28.83573,-3.499435
1718466374820,30.22734,-3.499437
1718466375019,30.50051,-2.479658
1718466375217,30.5001,-1.091455
1718466375417,30.50434,0.1837368
1718466375618,30.49982,1.59615
1718466375817,30.5007,2.996669
1718466376020,30.49965,4.388811
1718466376218,30.50119,5.762709
1718466376418,29.83753,6.510174
1718466376618,28.43752,6.500576
1718466376822,27.04203,6.500572
1718466377016,25.74721,6.51378
1718466377221,24.37582,6.500619
1718466377418,23.08151,6.501004
1718466377621,21.75699,6.51151
1718466377817,20.39589,6.501565
1718466378022,18.98349,6.500361
1718466378215,17.58308,6.500577
1718466378418,16.19072,6.500583
1718466378617,14.85193,6.498348
1718466378817,13.45391,6.500563
1718466379018,12.06962,6.500579
1718466379223,10.70916,6.500042
1718466379420,9.310342,6.500565
1718466379618,7.969652,6.500854
1718466379818,6.54639,6.499604
1718466380020,5.145976,6.504452
1718466380220,3.75676,6.500722
1718466380416,2.386121,6.501673
1718466380617,0.9742185,6.50035
1718466380819,-0.4270742,6.500243
1718466381018,-1.824753,6.500566
1718466381216,-3.158143,6.499237
1718466381421,-4.558087,6.500552
1718466381616,-5.951182,6.500574
1718466381815,-7.226783,6.508382
1718466382016,-8.582829,6.500282
1718466382218,-9.9856,6.49614
1718466382418,-11.36362,6.500676
1718466382619,-12.70286,6.500541
1718466382818,-14.07585,6.500871
1718466383020,-15.38944,6.50062
1718466383216,-16.78597,6.500968
1718466383421,-18.13391,6.500576
1718466383619,-19.52427,6.500621
1718466383816,-20.8957,6.500871
1718466384023,-22.23808,6.500725
1718466384219,-23.60337,6.501282
1718466384425,-25.0168,6.500367
1718466384617,-26.41716,6.500577
1718466384824,-27.80969,6.500583
1718466385022,-29.14912,6.498232
1718466385218,-29.14912,6.500527
1718466385416,-27.76304,6.500731
1718466385618,-26.39922,6.501209
1718466385818,-24.98618,6.500391
1718466386017,-23.91376,6.501308
1718466386219,-23.21376,6.500588
1718466386421,-22.54596,6.499946
1718466386619,-21.84879,6.503866
1718466386822,-21.14879,6.500593
1718466387021,-20.48425,6.501007
1718466387220,-19.79334,6.49909
1718466387422,-19.09334,6.500537
1718466387618,-18.47343,6.500896
1718466387822,-17.76603,6.498364
1718466388015,-17.06603,6.500528
1718466388220,-16.38195,6.500427
1718466388421,-15.7248,6.501148
1718466388623,-15.06526,6.500472
1718466388817,-14.4208,6.500819
1718466389020,-13.73645,6.499353
1718466389219,-13.03645,6.50054
1718466389419,-12.33074,6.500494
1718466389615,-11.64162,6.501381
1718466389819,-11.00262,6.500592
1718466390017,-10.2908,6.500646
1718466390220,-9.597995,6.493238
1718466390418,-8.963988,6.49826
