time,enemyPos.X,enemyPos.Y
1718466278125,-22.29524,-3.500732
1718466278321,-23.06252,-3.499383
1718466278521,-23.87211,-3.499381
1718466278727,-24.6654,-3.499496
1718466278927,-25.36433,-3.500015
1718466279124,-26.14299,-3.502245
1718466279325,-26.94299,-3.499473
1718466279521,-27.74017,-3.499287
1718466279729,-28.50425,-3.499595
1718466279925,-29.19462,-3.50094
1718466280124,-29.51462,-3.499461
1718466280324,-28.69312,-3.499295
1718466280523,-27.90875,-3.499975
1718466280725,-27.10614,-3.499391
1718466280925,-26.30398,-3.499342
1718466281132,-25.52702,-3.498869
1718466281323,-24.73334,-3.499973
1718466281524,-24.02227,-3.499455
1718466281720,-23.2277,-3.499375
1718466281924,-22.43124,-3.49989
1718466282125,-21.62187,-3.500351
1718466282323,-20.84161,-3.495631
1718466301543,-20.04161,-3.499403
1718466301728,-19.24308,-3.499514
1718466301929,-18.49893,-3.498869
1718466302128,-17.72776,-3.500193
1718466302327,-17.0058,-3.499417
1718466302529,-16.19753,-3.499332
1718466302727,-15.38434,-3.49962
1718466302932,-14.59375,-3.503636
1718466303127,-13.85684,-3.497554
1718466303330,-13.05684,-3.499425
1718466303530,-12.2529,-3.499273
1718466303728,-11.53672,-3.499837
1718466303929,-10.72993,-3.496836
1718466304127,-10.01228,-3.499415
1718466304328,-9.198098,-3.499342
1718466304528,-8.383685,-3.499617
1718466304729,-7.605941,-3.498527
1718466304931,-6.811043,-3.500379
1718466305135,-6.055052,-3.499501
1718466305333,-5.292926,-3.499322
1718466305528,-4.479156,-3.496808
1718466305728,-3.699284,-3.499671
1718466305933,-2.923636,-3.499405
1718466331017,-2.123638,-3.499411
1718466331219,-1.328142,-3.49953
1718466331416,-0.5974903,-3.498396
1718466331620,0.2160892,-3.501094
1718466331816,0.9897614,-3.499394
1718466332016,1.793625,-3.499348
1718466332222,2.588076,-3.499539
1718466332422,3.301651,-3.498457
1718466332616,4.108412,-3.499648
1718466332820,4.908411,-3.495494
1718466333017,5.676443,-3.499569
1718466333216,6.415619,-3.498618
1718466333419,7.232323,-3.501468
1718466333620,8.015553,-3.499303
1718466333818,8.822189,-3.499466
1718466334024,9.500977,-3.499553
1718466334217,10.28449,-3.505314
1718466334420,11.06726,-3.501026
1718466334622,11.86823,-3.499399
1718466334816,12.6565,-3.499231
1718466335021,13.41223,-3.499582
1718466335217,14.21185,-3.498096
1718466335418,14.9827,-3.499385
1718466335619,15.78205,-3.49937
1718466335819,16.57462,-3.499096
1718466336023,17.3789,-3.498712
1718466336216,18.15997,-3.495508
1718466336423,18.95997,-3.499401
