time,enemyPos.X,enemyPos.Y
1718462821607,7.25383,9.500297
1718462821803,9.253828,9.500551
1718462822006,11.25383,9.500554
1718462822200,13.25382,9.500554
1718462822406,15.25382,9.500554
1718462822600,17.25383,9.500554
1718462822809,19.25383,9.501444
1718462823005,21.25384,9.50076
1718462823205,23.25385,9.500557
1718462823401,25.25386,9.500554
1718462823607,27.25386,9.500554
1718462823803,29.25387,9.500554
1718462824001,30.50536,8.714146
1718462824202,30.49948,6.714148
1718462824406,28.75913,6.506036
1718462824604,26.74789,6.500272
1718462824805,24.74788,6.500555
1718462825006,22.74788,6.500558
1718462825203,20.74787,6.500558
1718462825409,18.74786,6.500558
1718462825602,16.74785,6.500558
1718462825806,14.74785,6.500558
1718462826006,12.74785,6.500558
1718462826202,10.74786,6.500558
1718462826401,8.747857,6.500558
1718462826604,6.747859,6.500558
1718462826804,4.747861,6.502474
1718462827000,2.747861,6.500581
1718462827199,0.7478609,6.500559
1718462827406,-1.252139,6.500559
1718462827604,-3.25214,6.500559
1718462827803,-5.252139,6.500559
1718462828000,-7.252137,6.500559
1718462828205,-9.252135,6.499446
1718462828403,-11.25213,6.500301
1718462828601,-13.25213,6.500556
1718462828805,-15.25213,6.500558
1718462829000,-17.25213,6.500558
1718462829202,-19.25214,6.500558
1718462829404,-21.25215,6.500558
1718462829601,-23.25216,6.500558
1718462829805,-25.25216,6.500558
1718462830005,-27.25217,6.500558
1718462830200,-29.25218,6.500558
1718462830404,-30.50481,7.286929
1718462830602,-30.4987,9.286927
1718462830807,-30.49977,11.22586
1718462831005,-29.71534,12.5014
1718462831206,-27.71533,12.50056
1718462831403,-25.71532,12.50055
1718462831607,-23.71532,12.50055
1718462831806,-21.71531,12.50055
1718462832006,-19.7153,12.50055
1718462832201,-17.71529,12.50055
1718462832408,-15.71529,12.50055
1718462832602,-14.61761,12.50057
1718462832804,-13.61865,12.49727
1718462833005,-12.69332,12.49994
1718462833200,-11.79072,12.50033
1718462833408,-10.86878,12.49917
1718462833609,-9.910879,12.50064
1718462833805,-8.957911,12.50069
1718462834004,-7.942175,12.50074
1718462834201,-6.923924,12.50058
1718462834406,-5.920318,12.50067
1718462834607,-4.924354,12.50067
1718462834808,-3.930466,12.50071
1718462835007,-2.939761,12.50074
1718462835208,-1.951741,12.50076
1718462835407,-0.9652081,12.50077
1718462835602,0.01439047,12.50075
1718462835806,0.9775574,12.50059
1718462836001,1.978538,12.50064
1718462836207,2.990815,12.50066
1718462836402,3.989954,12.50063
1718462836607,4.988929,12.50055
1718462836801,5.98769,12.50055
1718462837005,6.986168,12.50055
1718462837201,7.984257,12.50055
1718462837403,8.981803,12.50055
1718462837604,9.978548,12.50055
1718462837810,10.97407,12.50055
1718462838003,11.9672,12.50063
1718462838205,12.95983,12.50065
1718462838402,13.95132,12.50063
1718462838601,14.93831,12.50048
1718462838801,15.91031,12.50054
1718462839001,16.83006,12.50047
1718462839204,17.81498,12.50081
1718462839407,18.76066,12.50039
1718462839601,19.76669,12.48666
1718462839802,20.75843,12.50032
1718462840003,21.74205,12.50057
1718462840200,22.71971,12.50047
1718462840401,23.67011,12.50096
1718462840619,25.51138,12.50076
1718462840808,27.41623,12.49974
1718462841005,29.41624,12.50055
1718462841204,30.49941,11.51785
1718462841402,30.49853,9.517853
1718462841604,30.50039,7.517855
1718462841801,30.49902,5.517857
1718462842002,30.49852,3.517858
1718462842202,28.56115,3.502589
1718462842405,26.54924,3.500292
1718462842608,24.54923,3.500556
1718462842802,22.54922,3.500559
1718462843002,20.54922,3.500559
1718462843204,18.54921,3.500559
1718462843404,16.5492,3.500559
1718462843606,14.5492,3.500559
1718462843804,12.5492,3.500559
1718462844002,10.54921,3.500559
1718462844201,8.549208,3.500559
1718462844411,6.54921,3.500559
1718462844602,4.549212,3.498556
1718462844801,2.549212,3.500394
1718462845006,0.5492113,3.498552
1718462845201,-1.450789,3.498524
1718462845401,-3.450789,3.500535
1718462845602,-5.450788,3.499025
1718462845806,-7.450786,3.500541
1718462846006,-9.450785,3.502162
1718462846200,-11.45078,3.50069
1718462846407,-13.45078,3.50056
1718462846607,-15.45078,3.500559
1718462846806,-17.45078,3.500559
1718462847005,-19.45079,3.500559
1718462847206,-21.4508,3.500559
1718462847404,-23.45081,3.500559
1718462847608,-25.45082,3.500559
1718462847803,-27.45082,3.500559
1718462848000,-29.45083,3.500559
1718462848208,-30.50308,4.486726
1718462848403,-30.49952,5.684965
1718462848604,-30.49592,6.684203
1718462848801,-30.49945,7.614949
1718462849008,-30.49943,8.547483
1718462849200,-30.4982,9.56818
1718462849409,-30.49911,10.55553
1718462849603,-30.4991,11.54397
1718462849803,-30.49861,10.96211
1718462850004,-30.49944,10.55283
1718462850201,-30.49992,11.54173
1718462850406,-30.49864,10.95825
1718462850603,-30.49944,10.54843
1718462850800,-30.49994,11.53397
1718462851005,-30.49945,11.13397
1718462851203,-30.49942,10.33548
1718462851407,-30.49734,11.30274
1718462851601,-30.49942,11.30274
1718462851804,-30.49943,11.20273
1718462852006,-30.49943,11.20273
1718462852202,-30.49943,11.20273
1718462852401,-30.49943,11.20273
1718462852602,-30.49943,11.20273
1718462852801,-30.49943,11.20273
1718462853004,-30.49943,11.20273
1718462853200,-30.49943,11.20273
1718462853405,-30.49943,11.20273
1718462853606,-30.49943,11.20273
