time,enemyPos.X,enemyPos.Y
1718462821607,-11.21015,9.508073
1718462821802,-12.52291,9.50246
1718462822006,-13.90827,9.504778
1718462822200,-15.27705,9.500543
1718462822406,-16.66951,9.500595
1718462822600,-18.00639,9.49703
1718462822808,-19.40683,9.500564
1718462823004,-20.79174,9.500589
1718462823205,-22.15704,9.499249
1718462823400,-23.5569,9.500554
1718462823607,-24.94925,9.500574
1718462823801,-26.28797,9.49915
1718462824001,-27.68595,9.500562
1718462824202,-29.01558,9.500823
1718462824406,-30.42929,9.499505
1718462824604,-30.50069,10.7776
1718462824805,-30.49632,12.08913
1718462825004,-29.39304,12.5014
1718462825203,-27.99305,12.50056
1718462825409,-26.59539,12.50059
1718462825602,-25.21241,12.50059
1718462825806,-23.8629,12.50054
1718462826006,-22.47041,12.50061
1718462826202,-21.09628,12.50097
1718462826401,-19.73287,12.50056
1718462826604,-18.34772,12.5006
1718462826804,-16.98952,12.50041
1718462826999,-15.58081,12.50054
1718462827199,-14.18706,12.50058
1718462827406,-12.81847,12.50405
1718462827604,-11.41145,12.49994
1718462827802,-10.01087,12.50047
1718462828000,-8.627069,12.50067
1718462828204,-7.268002,12.50015
1718462828403,-5.858226,12.5003
1718462828601,-4.463082,12.5006
1718462828804,-3.087397,12.50087
1718462829000,-1.805614,12.50079
1718462829202,-0.3955121,12.49973
1718462829404,1.005494,12.50071
1718462829600,2.403011,12.50061
1718462829805,3.784562,12.50059
1718462830004,5.12398,12.50063
1718462830200,6.506403,12.50063
1718462830403,7.853227,12.50046
1718462830602,9.242003,12.50072
1718462830807,10.61157,12.50158
1718462831004,12.02426,12.50036
1718462831205,13.42539,12.50032
1718462831403,14.82222,12.50057
1718462831607,16.1405,12.50061
1718462831806,17.53497,12.50061
1718462832006,18.90955,12.50088
1718462832200,20.28058,12.49832
1718462832408,21.67509,12.50058
1718462832600,22.43725,12.50113
1718462832804,23.10005,12.49896
1718462833005,23.80005,12.50054
1718462833200,24.49263,12.50025
1718462833408,25.12599,12.49781
1718462833609,25.82599,12.50052
1718462833805,26.54066,12.50035
1718462834004,27.23539,12.49999
1718462834201,27.93539,12.50055
1718462834405,28.61201,12.50067
1718462834606,29.31443,12.50008
1718462834808,29.59443,12.50055
1718462835006,28.89713,12.49836
1718462835208,28.19713,12.50053
1718462835407,27.51241,12.50084
1718462835602,26.90804,12.49962
1718462835806,26.19279,12.50061
1718462836001,25.48466,12.50037
1718462836206,24.79841,12.49845
1718462836402,24.09842,12.50053
1718462836606,23.43665,12.50075
1718462836801,22.80652,12.50224
1718462837004,22.10652,12.50058
1718462837201,21.39496,12.50045
1718462837403,20.70377,12.50151
1718462837603,20.01513,12.49946
1718462837809,19.31497,12.49209
1718462838003,18.66452,12.50109
1718462838204,17.97233,12.50064
1718462838402,17.25266,12.50051
1718462838601,16.55996,12.50044
1718462838800,15.89211,12.49803
1718462839000,15.19211,12.50053
1718462839204,14.49238,12.50096
1718462839405,13.82561,12.49939
1718462839601,13.12562,12.50054
1718462839801,12.4285,12.50079
1718462840003,11.76386,12.50325
1718462840200,11.06387,12.50059
1718462840400,10.37253,12.50045
1718462840617,9.049805,12.50057
1718462840808,7.709535,12.49982
1718462841005,6.310814,12.50056
1718462841204,4.971505,12.50085
1718462841402,3.548993,12.49977
1718462841604,2.148635,12.50068
1718462841800,0.7619572,12.50073
1718462842001,-0.6032863,12.50128
1718462842201,-2.016714,12.50037
1718462842405,-3.417078,12.50058
1718462842606,-4.809555,12.50058
1718462842801,-6.148781,12.49827
1718462843001,-7.547021,12.50056
1718462843204,-8.932092,12.50058
1718462843403,-10.2985,12.49966
1718462843606,-11.69846,12.50055
1718462843803,-13.08096,12.49701
1718462844002,-14.45916,12.50185
1718462844201,-15.86629,12.50023
1718462844411,-17.26435,12.5006
1718462844602,-18.64711,12.50061
1718462844801,-19.99563,12.50048
1718462845006,-21.3867,12.50065
1718462845199,-22.75966,12.50112
1718462845401,-24.11407,12.50075
1718462845601,-25.48874,12.50177
1718462845805,-26.79881,12.50121
1718462846006,-28.16808,12.49788
1718462846200,-29.56837,12.50031
1718462846407,-28.72937,12.50122
1718462846606,-27.3414,12.5006
1718462846805,-25.97547,12.50075
1718462847005,-24.56145,12.50106
1718462847205,-23.1615,12.50056
1718462847404,-21.79357,12.50721
1718462847608,-20.48988,12.50203
1718462847803,-19.11971,12.50027
1718462848000,-17.70526,12.50165
1718462848208,-16.30567,12.50057
1718462848403,-15.46971,12.50069
1718462848604,-14.78299,12.50249
1718462848801,-14.08299,12.50058
1718462849008,-13.3981,12.49436
1718462849200,-12.78018,12.50208
1718462849408,-12.08019,12.50057
1718462849602,-11.40602,12.50076
1718462849803,-10.70487,12.49926
1718462850004,-10.03429,12.50055
1718462850201,-9.329738,12.5007
1718462850405,-8.625272,12.50164
1718462850603,-7.958324,12.50063
1718462850800,-7.244111,12.5005
1718462851005,-6.538499,12.50028
1718462851202,-5.849109,12.50375
1718462851406,-5.149107,12.50059
1718462851601,-4.491938,12.50096
1718462851804,-4.421937,12.50081
1718462852006,-4.421937,12.50081
1718462852202,-4.421937,12.50081
1718462852399,-4.421937,12.50081
1718462852602,-4.421937,12.50081
1718462852800,-4.421937,12.50081
1718462853004,-4.421937,12.50081
1718462853200,-4.421937,12.50081
1718462853404,-4.421937,12.50081
1718462853606,-4.421937,12.50081
