time,enemyPos.X,enemyPos.Y
1718462821606,13.72573,-12.50291
1718462821802,12.99966,-12.49942
1718462822006,12.18528,-12.49935
1718462822200,11.36792,-12.49966
1718462822406,10.57834,-12.49963
1718462822600,9.815675,-12.50056
1718462822807,9.062468,-12.49953
1718462823004,8.325173,-12.49955
1718462823204,7.56057,-12.49867
1718462823400,6.807049,-12.50033
1718462823606,6.048576,-12.49948
1718462823801,5.258821,-12.49929
1718462824001,4.486155,-12.49965
1718462824201,3.750683,-12.49756
1718462824405,2.957822,-12.49934
1718462824603,2.133926,-12.49949
1718462824804,1.347969,-12.49924
1718462825004,0.5462418,-12.49908
1718462825202,-0.22822,-12.49749
1718462825407,-1.009701,-12.49934
1718462825602,-1.825352,-12.49934
1718462825806,-2.527023,-12.49969
1718462826004,-3.314426,-12.50052
1718462826202,-4.112789,-12.50107
1718462826401,-4.912788,-12.49946
1718462826604,-5.647263,-12.49914
1718462826803,-6.46435,-12.50004
1718462826999,-7.249144,-12.4976
1718462827199,-8.046654,-12.49837
1718462827406,-8.855064,-12.49099
1718462827603,-9.644001,-12.49941
1718462827802,-10.43411,-12.49906
1718462828000,-11.17054,-12.49473
1718462828204,-11.97054,-12.49941
1718462828403,-12.78735,-12.49952
1718462828601,-13.57401,-12.49912
1718462828804,-14.37614,-12.49883
1718462829000,-15.15325,-12.496
1718462829201,-15.95325,-12.4994
1718462829404,-16.74722,-12.49948
1718462829600,-17.45605,-12.4991
1718462829804,-18.25412,-12.50266
1718462830004,-19.04896,-12.49939
1718462830199,-19.86587,-12.49949
1718462830403,-20.65208,-12.49924
1718462830601,-21.45385,-12.49908
1718462830806,-22.24351,-12.50272
1718462831004,-22.9772,-12.50213
1718462831205,-23.77118,-12.49938
1718462831403,-24.5648,-12.49985
1718462831607,-25.37186,-12.50016
1718462831805,-26.14353,-12.49673
1718462832006,-26.94353,-12.49941
1718462832200,-27.73782,-12.49929
1718462832407,-28.49712,-12.49956
1718462832600,-28.92578,-12.49955
1718462832803,-29.26523,-12.49911
1718462833005,-29.66524,-12.49944
1718462833199,-30.07534,-12.5012
1718462833406,-30.39535,-12.5812
1718462833608,-30.49916,-12.91055
1718462833805,-30.5002,-13.13952
1718462834003,-30.50055,-13.53952
1718462834201,-30.5004,-13.92859
1718462834405,-30.49903,-14.29156
1718462834606,-30.49944,-14.69156
1718462834807,-30.49944,-14.45156
1718462835006,-30.50127,-14.07364
1718462835208,-30.50055,-13.76881
1718462835407,-30.50056,-13.36881
1718462835601,-30.50056,-13.52881
1718462835805,-30.50056,-13.92881
1718462836001,-30.49888,-14.31123
1718462836206,-30.49944,-14.71123
1718462836402,-30.49944,-14.39123
1718462836605,-30.49946,-14.02288
1718462836799,-30.49956,-13.611
1718462837004,-30.49944,-13.211
1718462837199,-30.49966,-12.81339
1718462837403,-30.49549,-12.41339
1718462837603,-30.49689,-12.04091
1718462837809,-30.49936,-11.66382
1718462838003,-30.49944,-11.26382
1718462838204,-30.4967,-10.86994
1718462838402,-30.49941,-10.46994
1718462838600,-30.49944,-10.06994
1718462838800,-30.4918,-9.656738
1718462839000,-30.4918,-9.256739
1718462839204,-30.50159,-8.893555
1718462839405,-30.49947,-8.493555
1718462839601,-30.49944,-8.093555
1718462839801,-30.49756,-7.824358
1718462840002,-30.49942,-7.424359
1718462840199,-30.49883,-7.029397
1718462840400,-30.49649,-6.597096
1718462840617,-30.49892,-5.855489
1718462840807,-30.49944,-5.05549
1718462841005,-30.49945,-4.275549
1718462841204,-30.4174,-3.550292
1718462841402,-29.65145,-3.498981
1718462841604,-28.95102,-3.499393
1718462841800,-28.13589,-3.499399
1718462842001,-27.32849,-3.499159
1718462842201,-26.59043,-3.498307
1718462842405,-25.77073,-3.501135
1718462842606,-24.98899,-3.499324
1718462842801,-24.18385,-3.499359
1718462843001,-23.38152,-3.499271
1718462843204,-22.60266,-3.498456
1718462843403,-21.80522,-3.500848
1718462843606,-21.04559,-3.499475
1718462843803,-20.26542,-3.499304
1718462844000,-19.4482,-3.499775
1718462844201,-18.65894,-3.499729
1718462844410,-17.89698,-3.501015
1718462844602,-17.09698,-3.499464
1718462844801,-16.41403,-3.49954
1718462845005,-15.68903,-3.500832
1718462845199,-14.87548,-3.505228
1718462845400,-14.07549,-3.505234
1718462845601,-13.29174,-3.499331
1718462845805,-12.50348,-3.498922
1718462846006,-11.7477,-3.499783
1718462846200,-10.95358,-3.499365
1718462846407,-10.14807,-3.499408
1718462846606,-9.377733,-3.49926
1718462846805,-8.585075,-3.49859
1718462847005,-7.780836,-3.497854
1718462847205,-7.005142,-3.499362
1718462847403,-6.19956,-3.499333
1718462847607,-5.400023,-3.499643
1718462847802,-4.605488,-3.487204
1718462847999,-3.833019,-3.498648
1718462848208,-3.03302,-3.499437
1718462848402,-2.554056,-3.499475
1718462848603,-2.154057,-3.499446
1718462848801,-1.781317,-3.498371
1718462849007,-1.381317,-3.499432
1718462849200,-1.034307,-3.499518
1718462849408,-0.6362648,-3.499268
1718462849602,-0.2362633,-3.499443
1718462849802,0.1410561,-3.497336
1718462850003,0.5410557,-3.49942
1718462850201,0.9303951,-3.499642
1718462850405,1.298767,-3.499003
1718462850602,1.698766,-3.499439
1718462850799,2.02387,-3.499437
1718462851005,2.440655,-3.499376
1718462851202,2.840654,-3.499445
1718462851406,3.203874,-3.498289
1718462851600,3.603873,-3.499431
1718462851804,3.643873,-3.499435
1718462852006,3.643873,-3.499435
1718462852202,3.643873,-3.499435
1718462852399,3.643873,-3.499435
1718462852601,3.643873,-3.499435
1718462852800,3.643873,-3.499435
1718462853004,3.643873,-3.499435
1718462853200,3.643873,-3.499435
1718462853404,3.643873,-3.499435
1718462853605,3.643873,-3.499435
