time,enemyPos.X,enemyPos.Y
1718449813037,8.746137,9.500559
1718449813227,6.746139,9.500559
1718449813426,4.74614,9.498163
1718449813628,2.74614,9.50053
1718449813831,0.7461395,9.500558
1718449814028,-1.25386,9.500559
1718449814226,-3.25386,9.500559
1718449814429,-5.253859,9.500559
1718449814634,-7.253857,9.500559
1718449814832,-9.253857,9.500559
1718449815029,-11.25385,9.500559
1718449815231,-13.25385,9.50145
1718449815431,-15.25385,9.500765
1718449815627,-17.25385,9.500561
1718449815832,-19.25386,9.500559
1718449816029,-21.25387,9.500559
1718449816234,-23.25388,9.500559
1718449816431,-25.25388,9.500559
1718449816629,-27.25389,9.500559
1718449816827,-29.2539,9.500559
1718449817031,-30.50536,8.714149
1718449817231,-30.4987,6.71415
1718449817431,-30.49973,4.776917
1718449817628,-30.49754,2.776917
1718449817825,-30.49943,0.7769165
1718449818030,-30.49945,-1.223083
1718449818231,-30.49856,-3.223083
1718449818432,-30.49924,-5.223083
1718449818630,-29.71574,-6.500597
1718449818832,-27.71574,-6.499523
1718449819035,-25.71573,-6.499447
1718449819225,-23.71572,-6.499447
1718449819429,-21.71571,-6.499447
1718449819629,-19.71571,-6.499447
1718449819829,-17.7157,-6.499447
1718449820030,-15.71569,-6.499447
1718449820227,-13.71569,-6.49753
1718449820431,-11.7157,-6.499424
1718449820628,-9.715698,-6.499446
1718449820827,-7.7157,-6.499446
1718449821030,-5.715702,-6.499446
1718449821228,-3.715704,-6.499446
1718449821430,-1.715702,-6.499446
1718449821628,0.2842979,-6.499446
1718449821828,2.284298,-6.499446
1718449822031,4.284298,-6.499446
1718449822232,6.284296,-6.499446
1718449822430,8.284294,-6.499446
1718449822627,10.28429,-6.498556
1718449822829,12.28429,-6.499241
1718449823029,14.28429,-6.499444
1718449823231,16.28429,-6.499446
1718449823433,18.2843,-6.499446
1718449823627,20.2843,-6.499446
1718449823830,22.28431,-6.500559
1718449824028,24.28432,-6.499703
1718449824225,26.28433,-6.499449
1718449824427,28.28433,-6.499447
1718449824631,30.28434,-6.499447
1718449824833,30.49476,-4.762281
1718449825031,29.71375,-3.49669
1718449825230,27.71374,-3.499409
1718449825426,25.71373,-3.49944
1718449825632,23.71372,-3.499441
1718449825830,21.71371,-3.499441
1718449826027,19.71371,-3.499441
1718449826226,17.7137,-3.499441
1718449826429,15.71369,-3.499441
1718449826631,13.7137,-3.499441
1718449826828,11.7137,-3.499441
1718449827030,9.713699,-3.501836
1718449827231,7.713701,-3.499468
1718449827432,5.713703,-3.499441
1718449827628,4.48876,-2.705971
1718449827831,4.502703,-0.7463017
1718449828025,4.500584,1.253698
1718449828233,4.500561,3.253699
1718449828428,2.714179,3.500886
1718449828626,0.7141781,3.499452
1718449828831,-1.22253,3.502251
1718449829028,-3.238903,3.500263
1718449829229,-5.238903,3.498154
1718449829429,-7.238901,3.500531
1718449829633,-9.238899,3.50145
1718449829826,-11.2389,3.500765
1718449830030,-13.2389,3.500561
1718449830225,-15.23889,3.500559
1718449830426,-17.2389,3.500559
1718449830627,-19.23891,3.500559
1718449830825,-21.23891,3.500559
1718449831027,-23.23892,3.500559
1718449831228,-25.23893,3.500559
1718449831425,-27.23894,3.500559
1718449831630,-29.23895,3.500559
