time,enemyPos.X,enemyPos.Y
1718449813035,-7.984385,-9.480752
1718449813226,-6.584469,-9.499401
1718449813425,-5.192987,-9.499421
1718449813627,-3.858935,-9.500945
1718449813831,-2.464156,-9.499397
1718449814027,-1.089561,-9.499135
1718449814226,0.1852179,-9.49542
1718449814428,1.597559,-9.500249
1718449814633,2.998138,-9.499368
1718449814831,4.391176,-9.499358
1718449815028,5.765678,-9.498749
1718449815230,7.008327,-9.499179
1718449815430,8.425407,-9.499599
1718449815627,9.822243,-9.499431
1718449815831,11.1407,-9.4994
1718449816029,12.53529,-9.499394
1718449816233,13.90984,-9.499114
1718449816430,15.18259,-9.49584
1718449816628,16.59498,-9.500134
1718449816827,17.99546,-9.49932
1718449817031,19.38638,-9.499349
1718449817231,20.75916,-9.498889
1718449817430,22.11674,-9.498238
1718449817628,23.48619,-9.498367
1718449817824,24.78687,-9.498869
1718449818029,26.14644,-9.499892
1718449818229,27.54388,-9.499425
1718449818432,28.92622,-9.499427
1718449818629,30.27258,-9.499485
1718449818831,30.50099,-8.286905
1718449819032,30.49776,-6.891321
1718449819225,29.43512,-6.498631
1718449819428,28.03852,-6.499429
1718449819628,26.72525,-6.499376
1718449819828,25.3343,-6.499402
1718449820029,24.00262,-6.50282
1718449820226,22.60651,-6.503126
1718449820429,21.23433,-6.49967
1718449820628,19.99336,-6.499183
1718449820826,18.58176,-6.499446
1718449821030,17.18858,-6.499419
1718449821227,15.93716,-6.499211
1718449821429,14.55052,-6.500047
1718449821628,13.14215,-6.499581
1718449821827,11.74931,-6.499306
1718449822030,10.35991,-6.474104
1718449822232,8.965731,-6.49963
1718449822429,7.56572,-6.499511
1718449822627,6.166191,-6.499437
1718449822828,4.804562,-6.494949
1718449823028,3.450344,-6.499569
1718449823229,2.063126,-6.499423
1718449823432,0.686408,-6.50093
1718449823626,-0.7139988,-6.49918
1718449823830,-2.103561,-6.499197
1718449824026,-3.474459,-6.497664
1718449824225,-4.886126,-6.499775
1718449824426,-6.287455,-6.499964
1718449824631,-7.685264,-6.499432
1718449824831,-9.012823,-6.499185
1718449825031,-10.4223,-6.499522
1718449825229,-11.81771,-6.499422
1718449825426,-13.10129,-6.499269
1718449825631,-14.50136,-6.495539
1718449825829,-15.8797,-6.499871
1718449826026,-17.27969,-6.499444
1718449826226,-18.67371,-6.499408
1718449826428,-19.97057,-6.499252
1718449826630,-21.31454,-6.49785
1718449826828,-22.72502,-6.499806
1718449827030,-24.1221,-6.499294
1718449827231,-25.50279,-6.499363
1718449827431,-26.83953,-6.499432
1718449827628,-28.20815,-6.492403
1718449827831,-29.51682,-6.497981
1718449828025,-30.50187,-6.219283
1718449828233,-30.49983,-4.960325
1718449828427,-30.49988,-3.532518
1718449828625,-29.10638,-3.499228
1718449828831,-27.70638,-3.499545
1718449829027,-26.30697,-3.499439
1718449829227,-24.9569,-3.499129
1718449829428,-23.53475,-3.500651
1718449829633,-22.13392,-3.499181
1718449829825,-20.73606,-3.4994
1718449830029,-19.35368,-3.499395
1718449830225,-18.00709,-3.499506
1718449830425,-16.61865,-3.499341
1718449830627,-15.24972,-3.498824
1718449830824,-13.9254,-3.501198
1718449831026,-12.56062,-3.499826
1718449831227,-11.16062,-3.499449
1718449831425,-9.792075,-3.492454
1718449831629,-8.483963,-3.498034
1718449831824,-7.12865,-3.499217
1718449832029,-5.719709,-3.499492
1718449832231,-4.32151,-3.496321
1718449832428,-3.025881,-3.499259
1718449832631,-1.679184,-3.497313
1718449832827,-0.2669477,-3.499836
1718449833028,1.132874,-3.49936
1718449833230,2.522522,-3.499379
1718449833432,3.892555,-3.499012
1718449833626,5.304934,-3.498391
1718449833830,6.704948,-3.499447
1718449834031,8.08181,-3.49914
1718449834232,9.415634,-3.499403
1718449834425,10.8127,-3.504053
1718449834626,12.05313,-3.499229
1718449834828,13.39855,-3.499382
1718449835031,14.80004,-3.498785
1718449835234,16.17095,-3.501409
1718449835432,17.57132,-3.499163
1718449835628,18.97025,-3.499441
1718449835829,20.32303,-3.497698
1718449836024,21.73643,-3.499908
1718449836227,23.13673,-3.499364
1718449836429,24.52899,-3.499386
1718449836631,25.90294,-3.49904
1718449836824,27.265,-3.499429
1718449837029,28.64832,-3.499396
1718449837226,29.99957,-3.499548
1718449837424,30.50089,-4.363598
1718449837629,30.50054,-5.704162
1718449837830,30.49844,-7.084527
1718449838031,30.50041,-8.426371
1718449838227,30.11947,-9.483083
1718449838427,28.72878,-9.500021
1718449838630,27.34036,-9.499399
1718449838827,25.97322,-9.499221
1718449839030,24.55916,-9.498788
1718449839225,23.15908,-9.499449
1718449839427,21.78828,-9.496859
1718449839633,20.47475,-9.497295
1718449839826,19.11164,-9.499166
1718449840032,17.69898,-9.498401
1718449840230,16.29888,-9.499454
1718449840426,14.92941,-9.499124
1718449840633,13.6159,-9.496333
1718449840828,12.25407,-9.49879
1718449841031,10.84119,-9.498192
1718449841226,9.441208,-9.499431
1718449841428,8.047691,-9.499426
1718449841632,6.76771,-9.490586
1718449841830,5.389622,-9.500129
1718449842025,3.974216,-9.499635
1718449842232,2.573399,-9.499739
1718449842426,1.175889,-9.499434
1718449842627,-0.1540976,-9.500405
1718449842832,-1.553596,-9.499438
1718449843029,-2.943759,-9.499423
1718449843226,-3.474808,-9.497643
1718449843425,-3.474808,-9.497643
1718449843628,-3.474808,-9.497643
1718449843830,-3.474808,-9.497643
1718449844024,-3.474808,-9.497643
1718449844231,-3.474808,-9.497643
1718449844427,-3.474808,-9.497643
1718449844628,-3.474808,-9.497643
1718449844830,-3.474808,-9.497643
1718449845031,-3.474808,-9.497643
1718449845226,-3.474808,-9.497643
1718449845425,-3.474808,-9.497643
1718449845629,-3.474808,-9.497643
1718449845830,-3.474808,-9.497643
1718449846028,-3.474808,-9.497643
1718449846226,-3.474808,-9.497643
1718449846428,-3.474808,-9.497643
1718449846629,-3.474808,-9.497643
1718449846829,-3.474808,-9.497643
