time,enemyPos.X,enemyPos.Y
1718449813037,12.2938,9.501477
1718449813227,13.0586,9.500629
1718449813426,13.86688,9.500608
1718449813628,14.6631,9.500802
1718449813831,15.34995,9.500165
1718449814027,16.05693,9.500602
1718449814226,16.89627,9.500469
1718449814429,17.71908,9.500402
1718449814633,18.51508,9.50029
1718449814831,19.30736,9.511215
1718449815029,20.10033,9.503161
1718449815231,20.90033,9.500585
1718449815431,21.66113,9.500495
1718449815627,22.4229,9.500291
1718449815831,23.10505,9.499227
1718449816029,23.90505,9.500539
1718449816233,24.62244,9.500378
1718449816430,25.42842,9.501597
1718449816629,26.15298,9.497473
1718449816827,26.95298,9.500519
1718449817031,27.75432,9.500516
1718449817231,28.49393,9.501093
1718449817431,29.31125,9.49932
1718449817628,30.11436,9.496044
1718449817825,30.49741,9.048707
1718449818030,30.50054,8.265049
1718449818231,30.50081,7.463274
1718449818432,30.49665,6.672418
1718449818630,29.82701,6.501113
1718449818831,29.02701,6.499466
1718449819034,28.23301,6.500548
1718449819225,27.47257,6.500843
1718449819428,26.69691,6.499609
1718449819628,25.91746,6.500489
1718449819828,25.10094,6.500621
1718449820030,24.33942,6.500505
1718449820226,23.5783,6.500316
1718449820430,22.8159,6.499439
1718449820628,22.06282,6.500473
1718449820827,21.32662,6.50046
1718449821030,20.56864,6.50161
1718449821227,19.82471,6.50326
1718449821430,19.02471,6.50059
1718449821628,18.20353,6.500464
1718449821828,17.40965,6.500425
1718449822030,16.68531,6.501937
1718449822232,15.88163,6.498727
1718449822429,15.08163,6.500538
1718449822627,14.34026,6.500515
1718449822829,13.57239,6.500321
1718449823028,12.86286,6.502712
1718449823231,12.06286,6.500584
1718449823432,11.26422,6.500413
1718449823627,10.4522,6.500235
1718449823830,9.664964,6.501803
1718449824028,8.862642,6.502979
1718449824225,8.062643,6.500587
1718449824427,7.284222,6.500718
1718449824631,6.487803,6.500358
1718449824831,5.697052,6.510234
1718449825031,4.904673,6.502989
1718449825229,4.104673,6.500587
1718449825426,3.309388,6.50056
1718449825631,2.542598,6.500959
1718449825830,1.753701,6.503263
1718449826026,0.962214,6.500669
1718449826226,0.1487646,6.500506
1718449826428,-0.6219177,6.500737
1718449826630,-1.41471,6.501405
1718449826828,-2.219259,6.501886
1718449827030,-2.995017,6.500639
1718449827231,-3.800676,6.50067
1718449827431,-4.600314,6.500355
1718449827628,-5.346909,6.500161
1718449827831,-6.039564,6.500607
1718449828025,-6.867971,6.500515
1718449828233,-7.675945,6.500177
1718449828427,-8.420933,6.501473
1718449828626,-9.197275,6.495088
1718449828831,-9.980293,6.49943
1718449829027,-10.77807,6.500614
1718449829227,-11.56314,6.500996
1718449829429,-12.36525,6.499951
1718449829633,-13.12326,6.50266
1718449829826,-13.92326,6.500583
1718449830029,-14.68881,6.500416
1718449830225,-15.46885,6.500096
1718449830426,-16.26931,6.503031
1718449830627,-16.98545,6.500581
1718449830825,-17.79261,6.500645
1718449831027,-18.59287,6.500465
1718449831227,-19.32801,6.502367
1718449831425,-20.1454,6.49818
1718449831629,-20.9454,6.500532
1718449831825,-21.73088,6.500687
1718449832030,-22.53227,6.500833
1718449832232,-23.30478,6.5017
1718449832428,-24.08739,6.50029
1718449832631,-24.90018,6.500622
1718449832827,-25.66308,6.500496
1718449833029,-26.34651,6.500185
1718449833230,-27.03728,6.500608
1718449833433,-27.87552,6.500513
1718449833626,-28.68239,6.500465
1718449833830,-29.43527,6.50015
1718449834032,-29.27528,6.50055
1718449834232,-28.46451,6.500595
1718449834425,-27.68678,6.501954
1718449834626,-26.89263,6.499227
1718449834828,-26.09263,6.500539
1718449835032,-25.3829,6.5007
1718449835234,-24.58418,6.499899
1718449835432,-23.77214,6.498638
1718449835628,-22.99088,6.500628
1718449835830,-22.18488,6.50064
1718449836024,-21.38254,6.500723
1718449836227,-20.60404,6.501514
1718449836429,-19.80747,6.499347
1718449836632,-19.04927,6.500515
1718449836825,-18.27426,6.500742
1718449837031,-17.45784,6.500204
1718449837226,-16.67469,6.502328
1718449837424,-15.87428,6.497975
1718449837630,-15.07428,6.500524
1718449837831,-14.31508,6.500656
1718449838031,-13.54472,6.500104
1718449838228,-12.7565,6.503068
1718449838428,-11.96666,6.500694
1718449838631,-11.15069,6.500509
1718449838827,-10.38375,6.500709
1718449839030,-9.590515,6.496332
1718449839227,-8.844604,6.503198
1718449839427,-8.044605,6.500584
1718449839634,-7.241547,6.5005
1718449839827,-6.499949,6.500448
1718449840033,-5.731352,6.499952
1718449840231,-5.01648,6.500559
1718449840427,-4.216475,6.500628
1718449840633,-3.410216,6.500992
1718449840828,-2.680656,6.501985
1718449841031,-1.86928,6.497438
1718449841228,-1.069279,6.500518
1718449841429,-0.2992344,6.500666
1718449841632,0.4929867,6.50108
1718449841830,1.297728,6.499559
1718449842027,2.069004,6.500606
1718449842232,2.877747,6.500622
1718449842428,3.675918,6.500454
1718449842627,4.418299,6.501434
1718449842833,5.236465,6.498949
1718449843030,6.018657,6.503624
1718449843226,6.338656,6.501071
1718449843425,6.338656,6.501071
1718449843628,6.338656,6.501071
1718449843831,6.338656,6.501071
1718449844024,6.338656,6.501071
1718449844231,6.338656,6.501071
1718449844427,6.338656,6.501071
1718449844628,6.338656,6.501071
1718449844830,6.338656,6.501071
1718449845031,6.338656,6.501071
1718449845226,6.338656,6.501071
1718449845427,6.338656,6.501071
1718449845629,6.338656,6.501071
1718449845830,6.338656,6.501071
1718449846028,6.338656,6.501071
1718449846226,6.338656,6.501071
1718449846428,6.338656,6.501071
1718449846630,6.338656,6.501071
1718449846829,6.338656,6.501071
