time,enemyPos.X,enemyPos.Y
1718463954588,-6.746175,3.500576
1718463954792,-4.746177,3.49944
1718463954987,-2.746177,3.500297
1718463955192,-0.7461767,3.499436
1718463955389,1.253822,3.497374
1718463955593,3.253824,3.500517
1718463955790,4.446651,3.394508
1718463955995,4.50057,2.419561
1718463956189,4.500565,1.423309
1718463956391,4.500572,0.4289355
1718463956590,4.501223,-0.5634961
1718463956788,4.501087,-1.555796
1718463956995,4.500916,-2.545381
1718463957196,4.600592,-3.44538
1718463968378,5.478165,-3.500657
1718463968575,6.474052,-3.500401
1718463968776,7.467169,-3.498868
1718463968980,8.459801,-3.498504
1718463969177,9.451283,-3.498745
1718463969378,10.44359,-3.509851
1718463969573,11.43452,-3.49892
1718463969773,12.39888,-3.498298
1718463969978,13.3553,-3.500428
1718463970178,14.34265,-3.498616
1718463970375,15.3216,-3.499972
1718463970576,16.27689,-3.497622
1718463970779,17.28902,-3.496996
1718463970976,18.28853,-3.49682
1718463971179,19.28721,-3.499403
1718463971377,20.28558,-3.49942
1718463971579,21.2835,-3.499417
1718463971775,22.28082,-3.499413
1718463971973,23.27721,-3.49941
1718463972179,24.27183,-3.499382
1718463972380,25.26415,-3.496857
1718463972578,26.2565,-3.497368
1718463972773,27.24649,-3.498014
1718463972980,28.23015,-3.500955
1718463973174,29.19793,-3.492229
1718463973379,30.19793,-3.499393
1718463973580,30.50212,-2.760388
1718463973777,30.50101,-1.790059
1718463973979,30.49892,-0.8721695
1718463974173,30.50063,0.08013201
1718463974378,30.50066,1.017744
1718463974575,30.50072,2.002126
1718463974776,30.2737,3.460954
1718463974978,28.37419,3.501486
1718463975184,26.34919,3.500403
1718463975381,24.34918,3.500557
1718463975583,22.34917,3.500559
1718463975778,20.34917,3.500559
1718463975973,18.34916,3.500559
1718463976177,16.34915,3.500559
1718463976381,15.04915,3.500559
1718463976584,14.06985,3.500613
1718463976778,13.10325,3.500687
1718463976979,12.14687,3.50042
1718463977175,11.1607,3.500675
1718463977378,10.18699,3.500528
1718463977578,9.256184,3.500391
1718463977777,8.265671,3.500434
1718463977980,7.293606,3.500933
1718463978180,6.393675,3.500532
1718463978377,5.493517,3.50052
1718463978579,5.893517,3.500554
1718463978777,6.908545,3.50057
1718463978974,7.81893,3.50051
1718463979178,8.784576,3.500241
1718463979381,9.798073,3.500754
1718463979576,10.75352,3.500328
1718463979776,11.73973,3.500745
1718463979974,12.71417,3.500503
1718463980176,13.64876,3.500232
1718463980373,14.64941,3.500306
1718463980575,15.63762,3.500328
1718463980779,16.60836,3.500513
1718463980977,17.51851,3.500397
