time,enemyPos.X,enemyPos.Y
1718463954587,19.70759,-9.499537
1718463954791,18.30841,-9.499434
1718463954987,16.96229,-9.499134
1718463955192,15.5385,-9.500392
1718463955389,14.13789,-9.499245
1718463955593,12.74225,-9.49933
1718463955790,11.83896,-9.500134
1718463955995,11.13897,-9.49945
1718463956189,10.46959,-9.49964
1718463956391,9.767284,-9.496881
1718463956590,9.067287,-9.499413
1718463956788,8.390743,-9.499547
1718463956995,7.690182,-9.500447
1718463957196,7.01108,-9.499398
1718463968378,6.307348,-9.499377
1718463968575,5.71859,-9.498384
1718463968775,5.05574,-9.49949
1718463968980,4.374071,-9.49956
1718463969176,3.745613,-9.49711
1718463969377,3.045614,-9.499413
1718463969573,2.325321,-9.499286
1718463969773,1.620285,-9.498326
1718463969977,0.9459724,-9.499383
1718463970177,0.2345867,-9.499399
1718463970375,-0.3754559,-9.498342
1718463970576,-1.043539,-9.499374
1718463970778,-1.775801,-9.499489
1718463970976,-2.422626,-9.499096
1718463971178,-3.038155,-9.499398
1718463971377,-3.766798,-9.4995
1718463971578,-4.401348,-9.498391
1718463971775,-5.112141,-9.501394
1718463971973,-5.812141,-9.499465
1718463972179,-6.502934,-9.49909
1718463972380,-7.164112,-9.495486
1718463972577,-7.864113,-9.499396
1718463972773,-8.557293,-9.509879
1718463972980,-9.224804,-9.49745
1718463973174,-9.924801,-9.499418
1718463973379,-10.60134,-9.499219
1718463973580,-11.30711,-9.4977
1718463973777,-11.98464,-9.499384
1718463973979,-12.69053,-9.499461
1718463974173,-13.35006,-9.498729
1718463974378,-13.9749,-9.499456
1718463974575,-14.66519,-9.499502
1718463974775,-15.86725,-9.499704
1718463974978,-17.26532,-9.499407
1718463975184,-18.64893,-9.499393
1718463975380,-20.00143,-9.499562
1718463975582,-21.39851,-9.499372
1718463975778,-22.77577,-9.499407
1718463975973,-24.05644,-9.49912
1718463976177,-25.43089,-9.499671
1718463976381,-26.31919,-9.498066
1718463976583,-27.00349,-9.499362
1718463976778,-27.72602,-9.499323
1718463976979,-28.41072,-9.500005
1718463977175,-29.0705,-9.499565
1718463977378,-29.77098,-9.499393
1718463977578,-30.40098,-9.569432
1718463977777,-30.50143,-9.975327
1718463977980,-30.50056,-10.674
1718463978179,-30.50063,-11.39811
1718463978377,-30.50041,-12.10096
1718463978579,-30.49557,-12.80096
