time,enemyPos.X,enemyPos.Y
1718463954587,-3.295351,-15.50074
1718463954791,-4.062799,-15.49938
1718463954987,-4.872353,-15.49938
1718463955190,-5.665407,-15.4995
1718463955388,-6.364298,-15.50002
1718463955593,-7.142854,-15.50223
1718463955789,-7.662853,-15.49948
1718463955995,-7.947706,-15.49957
1718463956188,-8.318406,-15.49891
1718463956390,-8.718406,-15.49944
1718463956590,-9.053736,-15.49972
1718463956787,-9.487893,-15.49949
1718463956995,-9.887893,-15.49944
1718463957194,-10.2719,-15.49989
1718463968377,-10.6719,-15.49945
1718463968573,-10.97931,-15.49948
1718463968775,-11.3911,-15.49956
1718463968980,-11.79109,-15.49944
1718463969176,-12.11202,-15.50189
1718463969377,-12.51202,-15.49947
1718463969573,-12.91201,-15.49944
1718463969773,-13.24355,-15.50035
1718463969977,-13.64355,-15.49945
1718463970177,-13.99262,-15.49945
1718463970375,-14.43354,-15.49933
1718463970575,-14.83354,-15.49944
1718463970778,-15.17307,-15.49807
1718463970974,-15.57307,-15.49943
1718463971178,-15.95888,-15.49947
1718463971377,-16.37629,-15.49929
1718463971578,-16.7763,-15.49944
1718463971775,-17.17901,-15.49813
1718463971973,-17.57902,-15.49943
1718463972179,-17.94744,-15.49957
1718463972379,-18.32264,-15.49918
1718463972577,-18.72265,-15.49944
1718463972773,-19.07927,-15.50069
1718463972980,-19.4955,-15.49941
1718463973174,-19.89551,-15.49944
1718463973378,-20.29854,-15.49909
1718463973580,-20.69855,-15.49944
1718463973776,-21.02269,-15.49944
1718463973979,-21.44033,-15.49938
1718463974173,-21.84034,-15.49944
1718463974377,-22.25473,-15.48512
1718463974575,-22.65474,-15.48512
1718463974775,-23.3263,-15.49882
1718463974978,-24.11801,-15.49724
1718463975184,-24.918,-15.49942
1718463975380,-25.66124,-15.49921
1718463975582,-26.4326,-15.49976
1718463975777,-27.16407,-15.49528
1718463975973,-27.96407,-15.49939
1718463976176,-28.77877,-15.49953
1718463976380,-29.2929,-15.49899
1718463976583,-29.69291,-15.49944
1718463976778,-29.4529,-15.49944
1718463976978,-29.07542,-15.4978
1718463977174,-28.7721,-15.49938
1718463977377,-28.37209,-15.49944
1718463977576,-28.04938,-15.49955
1718463977775,-27.66589,-15.49975
1718463977980,-27.26588,-15.49945
1718463978179,-26.85501,-15.49691
1718463978377,-26.455,-15.49941
1718463978579,-26.07809,-15.49945
1718463978776,-25.78508,-15.49853
1718463978973,-25.38507,-15.49943
1718463979177,-25.01105,-15.49944
1718463979379,-24.56908,-15.49932
1718463979576,-24.16908,-15.49944
1718463979775,-23.85525,-15.5021
1718463979974,-23.45524,-15.49947
1718463980175,-23.06518,-15.49931
1718463980372,-22.65769,-15.49666
1718463980574,-22.25768,-15.49517
1718463980779,-21.91935,-15.49796
1718463980977,-21.51934,-15.49943
1718463981177,-21.11933,-15.49944
1718463981380,-20.75876,-15.49874
1718463981578,-20.35875,-15.49944
1718463981779,-20.01393,-15.49946
1718463981980,-19.58669,-15.49935
1718463982175,-19.18668,-15.49944
1718463982385,-18.78804,-15.49861
1718463982584,-18.38803,-15.49943
1718463982788,-18.01672,-15.49945
1718463982976,-17.59794,-15.49932
1718463983177,-17.19793,-15.49944
1718463983381,-16.8287,-15.4982
1718463983580,-16.42869,-15.49943
1718463983774,-16.04345,-15.49948
1718463983976,-15.63699,-15.49936
1718463984180,-15.23699,-15.49944
1718463984378,-14.55658,-15.49981
1718463984575,-13.80287,-15.50124
1718463984773,-13.04173,-15.49946
1718463984972,-12.2406,-15.49932
1718463985180,-11.48813,-15.49959
1718463985380,-10.74443,-15.49748
1718463985585,-9.949059,-15.49935
1718463985780,-9.123891,-15.4995
1718463985973,-8.330302,-15.49952
1718463986178,-7.608907,-15.49863
1718463986374,-6.811145,-15.50017
1718463986575,-6.055218,-15.4995
1718463986774,-5.293078,-15.49932
1718463986978,-4.481559,-15.49895
1718463987174,-3.736109,-15.49987
1718463987378,-3.030148,-15.49948
1718463987579,-2.235886,-15.49951
1718463987780,-1.457456,-15.49974
1718463987977,-0.6608621,-15.49802
1718463988179,0.1015858,-15.50066
1718463988375,0.9015857,-15.49946
1718463988572,1.663885,-15.49952
1718463988776,2.351943,-15.49998
1718463988982,3.068102,-15.49941
1718463989174,3.903596,-15.49947
1718463989379,4.60377,-15.4996
1718463989578,5.380952,-15.50012
1718463989773,6.17627,-15.49431
1718463989981,6.976269,-15.49941
1718463990176,7.782698,-15.49945
1718463990377,8.566746,-15.49897
1718463990574,9.367296,-15.50017
1718463990779,10.13015,-15.49661
1718463990979,10.93015,-15.49941
1718463991176,11.71002,-15.49957
1718463991380,12.50151,-15.50014
1718463991575,13.26431,-15.50014
1718463991776,13.97104,-15.49948
1718463991977,14.75477,-15.49951
1718463992181,15.51905,-15.49895
1718463992376,16.27075,-15.49996
1718463992573,17.04556,-15.49799
1718463992776,17.87445,-15.49588
1718463992979,18.65521,-15.49936
1718463993179,19.45628,-15.49904
1718463993376,20.23248,-15.49726
1718463993576,21.01581,-15.4993
1718463993779,21.82543,-15.49947
1718463993975,22.52438,-15.49968
1718463994174,23.30325,-15.5006
1718463994379,24.08311,-15.49953
1718463994575,24.90077,-15.49938
1718463994778,25.66576,-15.49951
1718463994979,26.36465,-15.4989
1718463995181,27.14435,-15.50238
1718463995375,27.94435,-15.49948
1718463995573,28.74324,-15.49928
1718463995778,29.01873,-15.4994
1718463995980,29.01873,-15.4994
1718463996178,29.01873,-15.4994
1718463996378,29.01873,-15.4994
1718463996573,29.01873,-15.4994
1718463996778,29.01873,-15.4994
1718463996976,29.01873,-15.4994
1718463997178,29.01873,-15.4994
1718463997376,29.01873,-15.4994
1718463997579,29.01873,-15.4994
1718463997777,29.01873,-15.4994
1718463997980,29.01873,-15.4994
