time,enemyPos.X,enemyPos.Y
1718463205576,-0.2538557,-15.49944
1718463205774,-2.253856,-15.49944
1718463205975,-4.253857,-15.49944
1718463206177,-6.253855,-15.49944
1718463206376,-8.253853,-15.49944
1718463206575,-10.25385,-15.49944
1718463206773,-12.25385,-15.49944
1718463206981,-14.25385,-15.49944
1718463207179,-16.25385,-15.49944
1718463207375,-18.25385,-15.49944
1718463207574,-20.25386,-15.49944
1718463207779,-22.25387,-15.49855
1718463207975,-24.25388,-15.49924
1718463208177,-26.25388,-15.49944
1718463208378,-28.25389,-15.49944
1718463208577,-30.2539,-15.49855
1718463208780,-30.50063,-13.7109
1718463208979,-29.70592,-12.48769
1718463209179,-27.75726,-12.49995
1718463209381,-25.75726,-12.49945
1718463209580,-23.75725,-12.49945
1718463209774,-21.75724,-12.50184
1718463209975,-19.75723,-12.49947
1718463210178,-17.75722,-12.49945
1718463210377,-15.75722,-12.49945
1718463210579,-13.75722,-12.49945
1718463210778,-11.75722,-12.49945
1718463210973,-9.757223,-12.49945
1718463211174,-7.757225,-12.49753
1718463211378,-5.757227,-12.49942
1718463211575,-3.757229,-12.49945
1718463211778,-1.757228,-12.49945
1718463211976,0.2427721,-12.49945
1718463212178,2.242772,-12.49945
1718463212376,4.242773,-12.49945
1718463212577,6.242771,-12.49945
1718463212777,8.242769,-12.49945
1718463212983,10.24277,-12.49945
1718463213179,12.24277,-12.49945
1718463213380,14.24276,-12.49945
1718463213580,16.24276,-12.49945
1718463213775,18.24277,-12.50184
1718463213979,20.24278,-12.49947
1718463214177,22.24279,-12.49945
1718463214376,24.24279,-12.49945
1718463214577,26.2428,-12.49945
1718463214777,28.24281,-12.49945
1718463214978,30.24282,-12.49945
1718463215173,30.50079,-14.28414
1718463215378,29.70732,-15.51143
1718463215577,27.74879,-15.50451
1718463215776,25.74878,-15.4995
1718463215974,23.74877,-15.49944
1718463216178,21.74877,-15.49944
1718463216378,19.74876,-15.49944
1718463216579,17.74875,-15.49855
1718463216779,15.74874,-15.49924
1718463216976,13.74875,-15.49944
1718463217180,11.74875,-15.49944
1718463217373,9.748751,-15.49944
1718463217574,7.748753,-15.49944
1718463217778,5.748755,-15.49944
1718463217978,3.748756,-15.49944
1718463218178,1.748755,-15.49944
1718463218379,-0.2512445,-15.49944
1718463218577,-2.251245,-15.49944
1718463218777,-4.251245,-15.49944
1718463218975,-6.251244,-15.49944
1718463219176,-8.251242,-15.49944
1718463219379,-10.25124,-15.49944
1718463219577,-12.25124,-15.49944
1718463219776,-14.25124,-15.49944
1718463219974,-16.25124,-15.49944
1718463220175,-18.25124,-15.49944
1718463220375,-20.25125,-15.49944
1718463220578,-22.25126,-15.49855
1718463220780,-24.25127,-15.49924
1718463220980,-26.25127,-15.49944
1718463221174,-27.85128,-15.49944
1718463221375,-28.83084,-15.49935
1718463221574,-29.7979,-15.49924
1718463221774,-30.49343,-15.13458
1718463221976,-30.50053,-14.14927
1718463222175,-30.49937,-13.17006
1718463222376,-30.50067,-14.16106
1718463222579,-30.50056,-14.36106
1718463222777,-30.49944,-13.39159
1718463222981,-30.49945,-13.99159
1718463223177,-30.50056,-14.59087
1718463223374,-30.49923,-13.68442
1718463223575,-30.49944,-13.68442
1718463223779,-30.5006,-14.69498
1718463223974,-30.50015,-14.00199
1718463224174,-30.49945,-13.40387
1718463224374,-30.50084,-14.28602
1718463224575,-30.50056,-14.28602
1718463224774,-30.49918,-13.34977
1718463224979,-30.50083,-14.14512
1718463225176,-30.50056,-14.34512
1718463225376,-30.49916,-13.36172
1718463225577,-30.49944,-13.96172
1718463225779,-30.50056,-14.54757
1718463225978,-30.49889,-13.5674
1718463226177,-30.49944,-13.7674
1718463226374,-30.50056,-14.75687
1718463226577,-30.49891,-13.7834
1718463226776,-30.49944,-13.5834
1718463226978,-30.50063,-14.58067
1718463227179,-30.50026,-14.02748
1718463227378,-30.49937,-13.44586
1718463227574,-30.5006,-14.43352
1718463227774,-30.50056,-14.23352
1718463227978,-30.4997,-13.24449
1718463228173,-30.50057,-14.21911
1718463228374,-30.50056,-14.41911
1718463228579,-30.4995,-13.42296
1718463228778,-30.50177,-13.97859
1718463228975,-30.50057,-14.56407
1718463229179,-30.49952,-13.19667
1718463229374,-29.16925,-12.49935
1718463229579,-27.16925,-12.49944
1718463229777,-25.16924,-12.49945
1718463229976,-23.16923,-12.49945
1718463230180,-21.16922,-12.50007
1718463230377,-19.16922,-12.49945
1718463230576,-17.16921,-12.49945
1718463230776,-15.1692,-12.49945
1718463230977,-13.16921,-12.49945
1718463231176,-11.16921,-12.49945
1718463231376,-9.169212,-12.49945
1718463231576,-7.169212,-12.49894
1718463231773,-5.169215,-12.49944
1718463231976,-3.169216,-12.49945
1718463232173,-1.169215,-12.49945
1718463232377,0.8307848,-12.49945
1718463232574,2.830785,-12.49945
1718463232776,4.830784,-12.49945
1718463232973,6.830782,-12.49945
1718463233179,8.830781,-12.49945
1718463233375,10.83078,-12.49945
1718463233580,12.83078,-12.49945
1718463233776,14.83078,-12.49945
1718463233975,16.83078,-12.49945
1718463234179,18.83079,-12.50007
1718463234376,20.83079,-12.49945
