time,enemyPos.X,enemyPos.Y
1718463205576,-19.21025,-15.49201
1718463205774,-20.52315,-15.49752
1718463205975,-21.88434,-15.49902
1718463206177,-23.29673,-15.49839
1718463206376,-24.69656,-15.49943
1718463206575,-26.05571,-15.49912
1718463206773,-27.42647,-15.50028
1718463206981,-28.82393,-15.49944
1718463207179,-30.19921,-15.48374
1718463207375,-30.50107,-14.36756
1718463207573,-30.49948,-13.06725
1718463207779,-29.66535,-12.50173
1718463207975,-28.26536,-12.49947
1718463208177,-26.86577,-12.49941
1718463208378,-25.47518,-12.49938
1718463208576,-24.10336,-12.49912
1718463208780,-22.75086,-12.50279
1718463208978,-21.38336,-12.4998
1718463209179,-19.97434,-12.49969
1718463209381,-18.57278,-12.49977
1718463209580,-17.17506,-12.49944
1718463209774,-15.84073,-12.50087
1718463209975,-14.44074,-12.49945
1718463210178,-13.04695,-12.49943
1718463210376,-11.76466,-12.48998
1718463210579,-10.41009,-12.49893
1718463210778,-9.002008,-12.49953
1718463210972,-7.610838,-12.49814
1718463211174,-6.23736,-12.49881
1718463211378,-4.875865,-12.49941
1718463211574,-3.493299,-12.49937
1718463211778,-2.145741,-12.49955
1718463211976,-0.7559195,-12.49929
1718463212178,0.6153746,-12.49869
1718463212375,1.96951,-12.49948
1718463212576,3.31997,-12.49794
1718463212776,4.732834,-12.49981
1718463212981,6.132568,-12.49936
1718463213179,7.521994,-12.49938
1718463213379,8.891552,-12.49903
1718463213580,10.30499,-12.49797
1718463213775,11.70537,-12.49954
1718463213978,13.08298,-12.49914
1718463214176,14.42028,-12.49942
1718463214376,15.81463,-12.49942
1718463214576,17.16001,-12.50609
1718463214777,18.56001,-12.50036
1718463214977,19.95421,-12.49943
1718463215173,21.23922,-12.48917
1718463215378,22.59753,-12.4987
1718463215577,24.00906,-12.49964
1718463215776,25.40781,-12.49942
1718463215974,26.79354,-12.49942
1718463216177,28.16367,-12.50153
1718463216378,29.56391,-12.49958
1718463216579,30.51703,-13.00788
1718463216778,30.5006,-14.40601
1718463216975,30.21627,-15.50166
1718463217179,28.88258,-15.49997
1718463217373,27.50639,-15.49837
1718463217573,26.18915,-15.49844
1718463217776,24.85881,-15.50098
1718463217978,23.46397,-15.49939
1718463218178,22.08919,-15.49901
1718463218379,20.81287,-15.49679
1718463218577,19.40072,-15.50034
1718463218776,18.00008,-15.49934
1718463218975,16.60748,-15.49818
1718463219176,15.23332,-15.49871
1718463219379,13.98242,-15.49915
1718463219576,12.54027,-15.50076
1718463219776,11.13984,-15.49928
1718463219974,9.745514,-15.49932
1718463220175,8.370869,-15.49865
1718463220374,7.059954,-15.499
1718463220578,5.689032,-15.5007
1718463220780,4.288654,-15.49926
1718463220980,2.901998,-15.49918
1718463221173,1.797669,-15.49802
1718463221374,1.097669,-15.49943
1718463221574,0.4344997,-15.49946
1718463221774,-0.204504,-15.49793
1718463221975,-0.9045038,-15.49942
1718463222175,-1.517758,-15.49899
1718463222376,-2.222198,-15.50143
1718463222578,-2.922197,-15.49946
1718463222776,-3.590075,-15.49914
1718463222979,-4.284745,-15.50067
1718463223176,-4.949428,-15.49949
1718463223374,-5.626196,-15.49952
1718463223575,-6.254565,-15.49711
1718463223778,-6.954566,-15.49941
1718463223974,-7.674991,-15.49929
1718463224173,-8.379972,-15.49833
1718463224373,-9.054631,-15.49938
1718463224575,-9.766018,-15.4994
1718463224773,-10.37966,-15.4987
1718463224978,-11.05388,-15.49938
1718463225176,-11.78529,-15.4995
1718463225376,-12.44756,-15.49978
1718463225577,-13.13916,-15.502
1718463225779,-13.83916,-15.49947
1718463225978,-14.45496,-15.49963
1718463226177,-15.16126,-15.50368
1718463226374,-15.86126,-15.49949
1718463226577,-16.54004,-15.49959
1718463226776,-17.2418,-15.50057
1718463226978,-17.9418,-15.49945
1718463227178,-18.62658,-15.49933
1718463227378,-19.24214,-15.49757
1718463227574,-19.94214,-15.49942
1718463227774,-20.64911,-15.49961
1718463227978,-21.3226,-15.5001
1718463228171,-22.01762,-15.49838
1718463228373,-22.73863,-15.48418
1718463228578,-23.40605,-15.4992
1718463228777,-24.10811,-15.5019
1718463228975,-24.80811,-15.49947
1718463229179,-25.77607,-15.49911
1718463229373,-27.05938,-15.49912
1718463229578,-28.44308,-15.50001
1718463229776,-29.84608,-15.49949
1718463229976,-28.44662,-15.49925
1718463230178,-27.05662,-15.49943
1718463230377,-25.67406,-15.50142
1718463230576,-24.27317,-15.49901
1718463230776,-22.87354,-15.49847
1718463230977,-21.4929,-15.49846
1718463231176,-20.14476,-15.49956
1718463231375,-18.75403,-15.49929
1718463231576,-17.38149,-15.4986
1718463231773,-16.0227,-15.49954
1718463231976,-14.65584,-15.49692
1718463232173,-13.29023,-15.49963
1718463232376,-11.90555,-15.49917
1718463232574,-10.54482,-15.50066
1718463232776,-9.133567,-15.49972
1718463232973,-7.735712,-15.4994
1718463233179,-6.353012,-15.4994
1718463233375,-5.004762,-15.49952
1718463233580,-3.614026,-15.49935
1718463233776,-2.241467,-15.4989
1718463233974,-0.8899927,-15.49923
1718463234178,0.4842634,-15.49782
1718463234376,1.84998,-15.49957
