time,enemyPos.X,enemyPos.Y
1718463205576,-27.61792,6.499651
1718463205774,-26.83469,6.504881
1718463205976,-26.03469,6.500604
1718463206178,-25.23421,6.500482
1718463206376,-24.47486,6.500804
1718463206576,-23.70395,6.499421
1718463206773,-22.93534,6.500612
1718463206982,-22.11464,6.500628
1718463207179,-21.30837,6.500431
1718463207376,-20.53705,6.501007
1718463207574,-19.74336,6.502695
1718463207781,-18.99,6.500305
1718463207976,-18.1864,6.500539
1718463208178,-17.38645,6.500708
1718463208378,-16.61371,6.501329
1718463208577,-15.81778,6.506107
1718463208780,-15.03886,6.49965
1718463208980,-14.25247,6.5005
1718463209179,-13.54378,6.50091
1718463209381,-12.74597,6.497327
1718463209580,-11.95116,6.500611
1718463209774,-11.13419,6.500504
1718463209975,-10.34802,6.50076
1718463210178,-9.55011,6.496438
1718463210377,-8.791204,6.501976
1718463210580,-8.022385,6.500606
1718463210778,-7.214561,6.500482
1718463210973,-6.416462,6.500949
1718463211175,-5.725424,6.499778
1718463211378,-4.998732,6.500596
1718463211575,-4.161919,6.500636
1718463211778,-3.41469,6.500489
1718463211977,-2.703186,6.499514
1718463212179,-1.933348,6.500609
1718463212376,-1.103668,6.500459
1718463212577,-0.291523,6.500421
1718463212777,0.495676,6.50107
1718463212983,1.298035,6.501571
1718463213180,2.069782,6.500614
1718463213380,2.876797,6.500621
1718463213581,3.673939,6.500464
1718463213776,4.41161,6.50136
1718463213979,5.232548,6.49945
1718463214177,6.011929,6.503668
1718463214377,6.811928,6.500592
1718463214577,7.61245,6.5007
1718463214778,8.384438,6.501289
1718463214978,9.179382,6.505959
1718463215173,9.957294,6.499705
1718463215378,10.74106,6.50052
1718463215578,11.50276,6.500388
1718463215776,12.18406,6.499746
1718463215976,12.9371,6.500473
1718463216178,13.69226,6.500432
1718463216379,14.49028,6.499846
1718463216579,15.30015,6.499578
1718463216780,16.075,6.500595
1718463216976,16.88228,6.500628
1718463217180,17.68233,6.500412
1718463217373,18.43381,6.500161
1718463217574,19.18436,6.506361
1718463217778,19.93758,6.500508
1718463217978,20.68955,6.500426
1718463218178,21.48336,6.499986
1718463218380,22.29009,6.49954
1718463218578,23.04817,6.500628
1718463218777,23.85851,6.500597
1718463218976,24.64892,6.500751
1718463219176,25.45399,6.500006
1718463219380,26.22923,6.502549
1718463219578,27.01132,6.500659
1718463219776,27.81926,6.500481
1718463219975,28.57907,6.500473
1718463220176,29.3382,6.50025
1718463220375,30.1382,6.500547
1718463220578,30.50142,6.936364
1718463220781,30.50056,7.680169
1718463220980,30.50029,8.431393
1718463221174,30.49874,9.053599
1718463221375,30.40395,9.392343
1718463221574,30.06372,9.502752
1718463221774,29.70694,9.500648
1718463221976,29.30693,9.500558
1718463222175,28.93003,9.499658
1718463222377,28.51666,9.500605
1718463222579,28.11665,9.500559
1718463222777,27.7431,9.501082
1718463222981,27.34309,9.500563
1718463223177,27.01707,9.500527
1718463223374,26.60568,9.500422
1718463223575,26.20567,9.500555
1718463223779,25.86355,9.502721
1718463223974,25.46354,9.500581
1718463224174,25.06353,9.500559
1718463224374,24.65192,9.500813
1718463224576,24.25191,9.500561
1718463224774,23.98661,9.500563
1718463224979,23.55704,9.500607
1718463225177,23.15703,9.500558
1718463225377,22.76598,9.501702
1718463225578,22.36597,9.500569
1718463225779,22.03382,9.500491
1718463225978,21.61946,9.50072
1718463226178,21.21946,9.50056
1718463226375,20.85967,9.497071
1718463226577,20.45966,9.500516
1718463226776,20.05965,9.500559
1718463226979,19.64423,9.516648
1718463227179,19.24422,9.516648
1718463227378,18.88215,9.501413
1718463227575,18.48214,9.500566
1718463227774,18.08213,9.500559
1718463227979,17.73501,9.501198
1718463228173,17.335,9.500565
1718463228374,17.04551,9.500455
1718463228579,16.66297,9.500805
1718463228778,16.26296,9.500561
1718463228975,15.93314,9.499874
1718463229180,15.3498,9.500508
1718463229374,14.54683,9.499991
1718463229579,13.7728,9.502448
1718463229777,12.99196,9.500658
1718463229976,12.17593,9.500659
1718463230180,11.48217,9.500305
1718463230377,10.73407,9.500173
1718463230576,10.02436,9.500541
1718463230776,9.218189,9.500471
1718463230977,8.413326,9.500969
1718463231176,7.697147,9.49915
1718463231376,6.91787,9.500514
1718463231577,6.091003,9.50063
1718463231773,5.311668,9.492483
1718463231976,4.526379,9.50061
1718463232173,3.736115,9.500017
1718463232377,3.030167,9.500524
1718463232575,2.246124,9.500499
1718463232776,1.486149,9.501262
1718463232974,0.731329,9.503078
1718463233179,0.01641655,9.500577
1718463233376,-0.8004875,9.50046
1718463233580,-1.614124,9.500401
1718463233776,-2.389326,9.501376
1718463233975,-3.179489,9.497171
1718463234179,-3.957447,9.499643
1718463234378,-4.739628,9.500522
