Date,time_from_start,character_Input,character_position.x,character_position.y,character_get,status_power,status_lighter,status_faster,Live,score
1718876596475,41.93132,Right,-9.706023E-06,-0.5048713,,False,False,False,3,0
1718876596679,42.13686,Up,1.591013,-0.4966652,,False,False,False,3,0
1718876596884,42.34058,,1.49861,1.187806,,False,False,False,3,0
1718876596992,42.44,,1.50035,1.987806,Pallet,False,False,False,3,0
1718876596993,42.44,,1.50035,1.987806,Light,False,True,False,3,10
1718876596994,42.44,,1.50035,1.987806,Pallet,False,True,False,3,10
1718876597086,42.54329,,1.496112,2.562582,,False,True,False,3,60
1718876597286,42.74309,,1.495021,2.496896,,False,True,False,3,60
1718876597435,42.89246,Left,1.494996,2.495392,,False,True,False,3,60
1718876597485,42.94268,,1.014996,2.495198,,False,True,False,3,60
1718876597604,43.06,,0.05878106,2.500451,Pallet,False,True,False,3,60
1718876597685,43.14082,,-0.5392538,2.50229,,False,True,False,3,70
1718876597746,43.2,,-1.019254,2.501014,Pallet,False,True,False,3,70
1718876597863,43.32,,-1.992698,2.5003,Pallet,False,True,False,3,80
1718876597888,43.34467,,-2.151836,2.50051,,False,True,False,3,90
1718876597983,43.44,,-2.951836,2.500554,Pallet,False,True,False,3,90
1718876598086,43.54338,,-3.718052,2.500622,,False,True,False,3,100
1718876598106,43.56,,-3.878052,2.5006,Pallet,False,True,False,3,100
1718876598247,43.7,,-5.006512,2.50212,Pallet,False,True,False,3,110
1718876598287,43.74393,,-5.326515,2.501368,,False,True,False,3,120
1718876598329,43.78,,-5.646514,2.50089,Power,True,True,False,3,120
1718876598329,43.78,,-5.646514,2.50089,Pallet,True,True,False,3,120
1718876598486,43.94,,-6.90901,2.500596,Pallet,True,True,False,3,170
1718876598486,43.94343,,-6.90901,2.500596,,True,True,False,3,180
1718876598624,44.08,,-7.912832,2.500582,Pallet,True,True,False,3,180
1718876598687,44.14433,,-8.293946,2.500663,,True,True,False,3,190
1718876605889,44.22,,-8.933946,2.500577,Pallet,True,True,False,3,190
1718876605996,44.34,,-9.874322,2.499706,Pallet,True,True,False,3,200
1718876605998,44.34484,,-9.874322,2.499706,,True,True,False,3,210
1718876606132,44.48,,-11.00535,2.489041,Pallet,True,True,False,3,210
1718876606194,44.5414,,-11.48535,2.499032,,True,True,False,3,220
1718876606252,44.6,,-11.96535,2.50016,Pallet,True,True,False,3,220
1718876611733,44.72,,-12.9067,2.500593,Pallet,True,True,False,3,230
1718876611755,44.74171,,-13.0667,2.500582,,True,True,False,3,240
1718876611856,44.84,,-13.8667,2.500582,Pallet,True,True,False,3,240
1718876611954,44.94007,,-14.6667,2.500562,,True,True,False,3,250
