Date,time_from_start,character_Input,character_position.x,character_position.y,character_get,status_power,status_lighter,status_faster,Live,score
1718465035168,22.7605,,-0.0001743892,3.494991,,False,False,False,3,0
1718465035367,22.96061,,-0.002586691,3.49499,,False,False,False,3,0
1718465043785,23.17738,,-0.03889672,3.49499,,False,False,False,3,0
1718465043971,23.36305,,-0.07744913,3.49499,,False,False,False,3,0
1718465044079,23.46987,Left,-0.0774539,3.49499,,False,False,False,3,0
1718465044173,23.56499,,-0.8774538,3.49499,,False,False,False,3,0
1718465044369,23.76091,,-2.288051,3.500664,,False,False,False,3,0
1718465044572,23.96456,,-3.854944,3.500164,,False,False,False,3,0
1718465044713,24.1,,-4.98748,3.495332,Pallet,False,False,False,3,0
1718465044773,24.16541,,-5.464811,3.499556,,False,False,False,3,10
1718465044836,24.22,,-5.944811,3.500297,Pallet,False,False,False,3,10
1718465044975,24.36,,-7.023565,3.50091,Pallet,False,False,False,3,20
1718465044976,24.36745,Up,-7.023565,3.50091,,False,False,False,3,30
1718465044977,24.36745,,-7.023565,3.50091,,False,False,False,3,30
1718465045090,24.48,,-7.997146,3.500206,Pallet,False,False,False,3,30
1718465045174,24.56499,,-8.637008,3.500526,,False,False,False,3,40
1718465045215,24.6,,-8.957007,3.500546,Pallet,False,False,False,3,40
1718465045332,24.72,,-9.502909,3.953268,Pallet,False,False,False,3,50
1718465045371,24.76165,,-9.50314,4.224939,,False,False,False,3,60
1718465045469,24.86,,-9.500831,5.024939,Pallet,False,False,False,3,60
1718465045575,24.96677,,-9.499129,5.839669,,False,False,False,3,70
1718465045592,24.98,,-9.499241,5.999669,Pallet,False,False,False,3,70
1718465045666,25.05835,Right,-9.499312,6.479669,,False,False,False,3,80
1718465045713,25.1,,-9.019313,6.479669,Pallet,False,False,False,3,80
1718465045775,25.16762,,-8.540061,6.499618,,False,False,False,3,90
1718465045830,25.22,,-8.060061,6.500308,Pallet,False,False,False,3,90
1718465045973,25.36,,-6.989133,6.500872,Pallet,False,False,False,3,100
1718465045974,25.36454,,-6.989133,6.500872,,False,False,False,3,110
1718465046094,25.48,,-6.019758,6.500383,Pallet,False,False,False,3,110
1718465046173,25.56,,-5.386198,6.500611,Speed,False,False,True,3,120
1718465046173,25.56,,-5.386198,6.500611,Pallet,False,False,True,3,120
1718465046177,25.56452,,-5.386198,6.500611,,False,False,True,3,170
1718465046295,25.68,,-3.946199,6.500556,Pallet,False,False,True,3,170
1718465046374,25.76,,-2.986199,6.500553,Pallet,False,False,True,3,180
1718465046375,25.76603,,-2.986199,6.500553,,False,False,True,3,190
1718465046450,25.84,,-2.026199,6.500552,Pallet,False,False,True,3,190
1718465046533,25.92,,-1.082602,6.500668,Pallet,False,False,True,3,200
1718465046574,25.96662,,-0.7022322,6.508329,,False,False,True,3,210
1718465046603,25.9952,Left,-0.4622322,6.502647,,False,False,True,3,210
1718465046773,26.16421,,-2.5595,6.506047,,False,False,True,3,210
1718465046968,26.3601,,-4.959491,6.500587,,False,False,True,3,210
1718465047174,26.56641,,-7.322431,6.50057,,False,False,True,3,210
1718465047372,26.7636,,-9.722437,6.49807,,False,False,True,3,210
1718465047389,26.78,,-9.962437,6.497455,Pallet,False,False,True,3,210
1718465047454,26.84469,Right,-10.65018,6.499918,,False,False,True,3,220
1718465047569,26.96066,,-9.21018,6.497751,,False,False,True,3,220
1718465047774,27.16636,,-6.872079,6.50119,,False,False,True,3,220
1718465047974,27.36525,,-4.472082,6.500721,,False,False,True,3,220
1718465048169,27.56105,,-2.094042,6.500676,,False,False,True,3,220
1718465048354,27.74,,-0.08601184,6.500669,Pallet,False,False,True,3,220
1718465048373,27.76484,,0.02844492,6.501012,,False,False,True,3,230
1718465048449,27.84,,1.006093,6.501375,Pallet,False,False,True,3,230
1718465048491,27.88,,1.496739,6.499896,Power,True,False,True,3,240
1718465048492,27.88,,1.496739,6.499896,Pallet,True,False,True,3,240
1718465048572,27.964,,2.443676,6.500799,,True,False,True,3,290
1718465048609,28,,2.923676,6.500653,Pallet,True,False,True,3,290
1718465048673,28.06,,3.553075,6.504288,Light,True,True,True,3,300
1718465048675,28.06,,3.553075,6.504288,Pallet,True,True,True,3,300
1718465048690,28.08114,Left,3.793075,6.502943,,True,True,True,3,350
1718465048775,28.16756,,2.9331,6.503391,,True,True,True,3,350
1718465048976,28.36759,,0.5037758,6.501757,,True,True,True,3,350
1718465049173,28.56474,,-1.791031,6.502688,,True,True,True,3,350
1718465049369,28.76078,,-4.13311,6.501189,,True,True,True,3,350
1718465049575,28.96659,,-6.533107,6.500566,,True,True,True,3,350
1718465049769,29.16152,,-8.917421,6.500682,,True,True,True,3,350
1718465049949,29.34,,-11.02819,6.499644,Pallet,True,True,True,3,350
1718465049975,29.36694,,-11.26819,6.499973,,True,True,True,3,360
1718465050031,29.42,,-11.98819,6.500407,Pallet,True,True,True,3,360
1718465050101,29.49381,Right,-12.70467,6.500643,,True,True,True,3,370
1718465050171,29.5622,,-11.74374,6.500568,,True,True,True,3,370
1718465050371,29.76319,,-9.401195,6.492706,,True,True,True,3,370
1718465050574,29.96642,,-7.001197,6.500401,,True,True,True,3,370
1718465050773,30.1651,,-4.639512,6.500616,,True,True,True,3,370
