Date,time_from_start,character_Input,character_position.x,character_position.y,character_get,status_power,status_lighter,status_faster,Live,score
1718465078651,20.04348,Up,0,3.04,,False,False,False,3,0
1718465078897,20.29144,Right,-8.730909E-06,3.495177,,False,False,False,3,0
1718465079135,20.52874,Left,1.895747,3.500323,,False,False,False,3,0
1718465079271,20.6651,,0.816397,3.489864,,False,False,False,3,0
1718465079472,20.86593,,-0.783603,3.489864,,False,False,False,3,0
1718465079673,21.06721,,-2.342236,3.499321,,False,False,False,3,0
1718465079866,21.26024,,-3.936988,3.50058,,False,False,False,3,0
1718465079992,21.38,,-4.876707,3.495329,Pallet,False,False,False,3,0
1718465080070,21.46385,,-5.516706,3.499169,,False,False,False,3,10
1718465080128,21.52,,-5.996706,3.500196,Pallet,False,False,False,3,10
1718465080254,21.64,,-6.956521,3.500546,Pallet,False,False,False,3,20
1718465080275,21.66823,,-7.088326,3.50093,,False,False,False,3,30
1718465080371,21.76,,-7.888325,3.500599,Pallet,False,False,False,3,30
1718465080473,21.86683,,-8.694459,3.501485,,False,False,False,3,40
1718465080505,21.9,,-9.014459,3.500939,Pallet,False,False,False,3,40
1718465080629,22.02,,-9.976716,3.502855,Pallet,False,False,False,3,50
1718465080674,22.06729,,-10.28558,3.502637,,False,False,False,3,60
1718465080748,22.14,,-10.92558,3.500908,Pallet,False,False,False,3,60
1718465080826,22.22,,-11.50521,3.499284,Speed,False,False,True,3,70
1718465080828,22.22,,-11.50521,3.499284,Pallet,False,False,True,3,70
1718465080868,22.26201,,-11.98521,3.500038,,False,False,True,3,120
1718465080949,22.34,,-12.93977,3.500621,Pallet,False,False,True,3,120
1718465081046,22.44,,-14.06593,3.500667,Pallet,False,False,True,3,130
1718465081073,22.46772,,-14.31722,3.514883,,False,False,True,3,140
1718465081092,22.48546,Right,-14.55722,3.505177,,False,False,True,3,140
1718465081266,22.66045,,-12.48477,3.498736,,False,False,True,3,140
1718465081405,22.79976,Up,-11.04532,3.500488,,False,False,True,3,140
1718465081471,22.86447,,-10.13067,3.500712,,False,False,True,3,140
1718465081566,22.96,,-9.527064,3.909162,Pallet,False,False,True,3,140
1718465081669,23.06,,-9.498109,5.098468,Pallet,False,False,True,3,150
1718465081671,23.06422,,-9.498109,5.098468,,False,False,True,3,160
1718465081749,23.14,,-9.499217,6.058467,Pallet,False,False,True,3,160
