Date,time_from_start,character_Input,character_position.x,character_position.y,character_get,status_power,status_lighter,status_faster,Live,score
1718466119973,12.82465,Up,0,2.88,,False,False,False,3,0
1718466120120,12.97417,Right,-2.994037E-06,3.497678,,False,False,False,3,0
1718466120364,13.21818,Left,1.895758,3.500329,,False,False,False,3,0
1718466120608,13.46179,,-0.1435844,3.489866,,False,False,False,3,0
1718466120808,13.66196,,-1.741,3.501423,,False,False,False,3,0
1718466121008,13.86215,,-3.29692,3.50068,,False,False,False,3,0
1718466121168,14.02,,-4.556599,3.495517,Speed,False,False,True,3,0
1718466121171,14.02,,-4.556599,3.495517,Pallet,False,False,True,3,0
1718466121211,14.0648,,-5.036599,3.495329,,False,False,True,3,50
1718466121287,14.14,,-5.996598,3.499683,Pallet,False,False,True,3,50
1718466121369,14.22,,-6.956312,3.500477,Pallet,False,False,True,3,60
1718466121411,14.26482,,-7.393834,3.500939,,False,False,True,3,70
1718466121448,14.3,,-7.873833,3.500716,Pallet,False,False,True,3,70
1718466121551,14.4,,-9.073833,3.500578,Pallet,False,False,True,3,80
1718466121612,14.46515,,-9.793832,3.502743,,False,False,True,3,90
1718466121628,14.48,,-10.03383,3.503197,Pallet,False,False,True,3,90
1718466121713,14.56,,-10.99383,3.501003,Pallet,False,False,True,3,100
1718466121731,14.585,Up,-11.23291,3.500814,,False,False,True,3,110
1718466121789,14.64,,-11.95291,3.500627,Pallet,False,False,True,3,110
1718466121806,14.66016,,-12.14438,3.501179,,False,False,True,3,120
1718466121891,14.74,,-13.10438,3.500665,Pallet,False,False,True,3,120
1718466121966,14.82,,-14.06438,3.500578,Pallet,False,False,True,3,130
1718466122008,14.86131,,-14.54438,3.500567,,False,False,True,3,140
1718466122051,14.9,,-15.02438,3.500564,Pallet,False,False,True,3,140
1718466122132,14.98,,-15.98438,3.500561,Pallet,False,False,True,3,150
1718466122207,15.06,,-16.93832,3.500633,Pallet,False,False,True,3,160
1718466122207,15.06065,,-16.93832,3.500633,,False,False,True,3,170
1718466122313,15.16,,-18.06158,3.500666,Pallet,False,False,True,3,170
1718466122387,15.24,,-19.03527,3.502249,Pallet,False,False,True,3,180
1718466122412,15.26519,,-19.27527,3.50164,,False,False,True,3,190
1718466122466,15.32,,-19.99527,3.500844,Pallet,False,False,True,3,190
1718466122547,15.4,,-20.95473,3.500605,Pallet,False,False,True,3,200
1718466122613,15.46765,,-21.62945,3.500809,,False,False,True,3,210
1718466122633,15.48,,-21.86945,3.50072,Pallet,False,False,True,3,210
1718466122727,15.58,,-23.06945,3.500578,Pallet,False,False,True,3,220
1718466122811,15.66,,-24.02945,3.500564,Pallet,False,False,True,3,230
1718466122812,15.66434,,-24.02945,3.500564,,False,False,True,3,240
1718466122888,15.74,,-24.98945,3.500561,Pallet,False,False,True,3,240
1718466122972,15.82,,-25.94662,3.500611,Pallet,False,False,True,3,250
1718466123010,15.86402,,-26.36628,3.500965,,False,False,True,3,260
1718466123068,15.92,,-27.08628,3.500667,Pallet,False,False,True,3,260
1718466123151,16,,-28.04628,3.501387,Pallet,False,False,True,3,270
1718466123211,16.06442,,-28.76628,3.500777,,False,False,True,3,280
1718466123228,16.08,,-29.00628,3.500699,Pallet,False,False,True,3,280
1718466123308,16.16,,-29.96715,3.500219,Pallet,False,False,True,3,290
1718466123393,16.24,,-30.44715,3.980343,Pallet,False,False,True,3,300
1718466123411,16.26423,,-30.48568,4.218649,,False,False,True,3,310
1718466123467,16.32,,-30.49832,4.938649,Pallet,False,False,True,3,310
1718466123569,16.42,,-30.49943,6.06256,Pallet,False,False,True,3,320
1718466123607,16.46033,,-30.46805,6.55579,,False,False,True,3,330
1718466123643,16.49739,Up,-30.46805,6.79579,,False,False,True,3,330
1718466123651,16.5,,-30.46805,7.03579,Pallet,False,False,True,3,330
1718466123732,16.58,,-30.49775,7.995789,Pallet,False,False,True,3,340
1718466123806,16.66,,-30.49924,8.955355,Pallet,False,False,True,3,350
1718466123808,16.6613,,-30.49924,8.955355,,False,False,True,3,360
1718466123891,16.74,,-30.49417,9.89957,Pallet,False,False,True,3,360
1718466123992,16.84,,-30.5015,11.03362,Pallet,False,False,True,3,370
1718466124010,16.86447,,-30.50076,11.27362,,False,False,True,3,380
1718466124072,16.92,,-30.49978,11.99362,Pallet,False,False,True,3,380
1718466124212,17.06602,,-30.49515,12.50999,,False,False,True,3,390
1718466124411,17.26493,,-30.495,12.49602,,False,False,True,3,390
1718466124611,17.46519,,-30.495,12.4951,,False,False,True,3,390
1718466124812,17.66589,,-30.495,12.495,,False,False,True,3,390
1718466125011,17.86465,,-30.495,12.495,,False,False,True,3,390
1718466125212,18.06522,,-30.495,12.495,,False,False,True,3,390
1718466125408,18.26254,,-30.495,12.495,,False,False,True,3,390
1718466125609,18.46293,,-30.495,12.495,,False,False,True,3,390
1718466125808,18.66261,,-30.495,12.495,,False,False,True,3,390
1718466126010,18.86402,,-30.495,12.495,,False,False,True,3,390
1718466126207,19.06051,,-30.495,12.495,,False,False,True,3,390
1718466126411,19.26496,,-30.495,12.495,,False,False,True,3,390
1718466126609,19.46395,,-30.495,12.495,,False,False,True,3,390
1718466126807,19.66173,,-30.495,12.495,,False,False,True,3,390
1718466127011,19.86425,,-30.495,12.495,,False,False,True,3,390
1718466127162,20.0167,Right,-30.495,12.495,,False,False,True,3,390
1718466127187,20.04,,-30.015,12.49499,Pallet,False,False,True,3,390
1718466127207,20.06017,,-29.78208,12.5004,,False,False,True,3,400
1718466127252,20.1,,-29.30208,12.50049,Speed,False,False,True,3,400
1718466127252,20.1,,-29.30208,12.50049,Pallet,False,False,True,3,400
1718466127371,20.22,,-27.93963,12.50066,Pallet,False,False,True,3,450
1718466127409,20.26278,,-27.44535,12.50454,,False,False,True,3,460
1718466127446,20.3,,-26.96535,12.50218,Pallet,False,False,True,3,460
1718466127527,20.38,,-26.00535,12.50083,Pallet,False,False,True,3,470
1718466127611,20.46,,-25.04604,12.5006,Pallet,False,False,True,3,480
1718466127612,20.46526,,-25.04604,12.5006,,False,False,True,3,490
1718466127687,20.54,,-24.13268,12.50072,Pallet,False,False,True,3,490
1718466127793,20.64,,-22.93268,12.50057,Pallet,False,False,True,3,500
1718466127812,20.66536,,-22.69268,12.50057,,False,False,True,3,510
1718466127866,20.72,,-21.97268,12.50056,Pallet,False,False,True,3,510
1718466127951,20.8,,-21.01269,12.50055,Pallet,False,False,True,3,520
1718466128010,20.86424,,-20.29673,12.50065,,False,False,True,3,530
1718466128026,20.88,,-20.05673,12.50061,Pallet,False,False,True,3,530
1718466128128,20.98,,-18.9236,12.50066,Pallet,False,False,True,3,540
1718466128208,21.06,,-17.95975,12.50205,Pallet,False,False,True,3,550
1718466128208,21.06195,,-17.95975,12.50205,,False,False,True,3,560
1718466128290,21.14,,-16.99975,12.5008,Pallet,False,False,True,3,560
1718466128369,21.22,,-16.03975,12.50058,Pallet,False,False,True,3,570
1718466128408,21.26105,,-15.59555,12.50093,,False,False,True,3,580
1718466128447,21.3,,-15.11555,12.50071,Pallet,False,False,True,3,580
1718466128549,21.4,,-13.91555,12.50057,Pallet,False,False,True,3,590
1718466128550,21.4,,-13.91555,12.50057,Power,True,False,True,3,600
1718466128550,21.4,,-13.91555,12.50057,Pallet,True,False,True,3,600
1718466128607,21.46091,,-13.19555,12.49785,,True,False,True,3,650
1718466128633,21.48,,-12.95555,12.49727,Pallet,True,False,True,3,650
1718466128712,21.56,,-11.99555,12.5,Pallet,True,False,True,3,660
1718466128793,21.64,,-11.03554,12.50047,Pallet,True,False,True,3,670
1718466128810,21.66326,,-10.82469,12.50109,,True,False,True,3,680
1718466128867,21.72,,-10.10469,12.50069,Pallet,True,False,True,3,680
1718466128969,21.82,,-8.904691,12.50057,Pallet,True,False,True,3,690
1718466129007,21.86067,,-8.424691,12.50056,,True,False,True,3,700
1718466129050,21.9,,-7.944692,12.50056,Pallet,True,False,True,3,700
1718466129128,21.98,,-6.984693,12.50055,Pallet,True,False,True,3,710
1718466129207,22.06,,-6.024693,12.50055,Pallet,True,False,True,3,720
1718466129208,22.061,,-6.024693,12.50055,,True,False,True,3,730
1718466129290,22.14,,-5.079343,12.50066,Pallet,True,False,True,3,730
1718466129391,22.24,,-3.973266,12.50161,Pallet,True,False,True,3,740
1718466129407,22.26095,,-3.733266,12.50123,,True,False,True,3,750
1718466129471,22.32,,-3.013266,12.50073,Pallet,True,False,True,3,750
1718466129548,22.4,,-2.057673,12.50062,Pallet,True,False,True,3,760
1718466129607,22.4603,,-1.40641,12.50082,,True,False,True,3,770
1718466129653,22.5,,-0.9264102,12.50066,Pallet,True,False,True,3,770
1718466129730,22.58,,0.03964361,12.50198,Pallet,True,False,True,3,780
1718466129808,22.66,,0.9996436,12.50079,Pallet,True,False,True,3,790
1718466129808,22.66215,,0.9996436,12.50079,,True,False,True,3,800
1718466129887,22.74,,1.959639,12.50058,Pallet,True,False,True,3,800
1718466129967,22.82,,2.882827,12.50071,Pallet,True,False,True,3,810
1718466130008,22.86224,,3.362827,12.50062,,True,False,True,3,820
