Date,time_from_start,character_Input,character_position.x,character_position.y,character_get,status_power,status_lighter,status_faster,Live,score
1718464034145,17.8516,Up,0,0.32,,False,False,False,3,0
1718464034777,18.48506,Right,-1.15927E-05,3.495041,,False,False,False,3,0
1718464035100,18.8066,,2.539076,3.50227,,False,False,False,3,0
1718464035283,18.99139,Down,3.980453,3.500771,,False,False,False,3,0
1718464035293,19.00106,,4.138266,3.498006,,False,False,False,3,0
1718464035498,19.20601,,4.499897,2.242071,,False,False,False,3,0
1718464035696,19.40466,,4.514832,0.731344,,False,False,False,3,0
1718464035894,19.60216,,4.500591,-0.7508018,,False,False,False,3,0
1718464036101,19.8078,,4.498852,-2.188864,,False,False,False,3,0
1718464036159,19.8664,Right,4.500108,-2.668865,,False,False,False,3,0
1718464036299,20.00673,,4.820435,-3.468865,,False,False,False,3,0
1718464036323,20.02,,4.959761,-3.52285,Pallet,False,False,False,3,0
1718464036433,20.14,,5.917625,-3.500175,Pallet,False,False,False,3,10
1718464036496,20.20314,,6.317589,-3.499811,,False,False,False,3,20
1718464036574,20.28,,6.957588,-3.499508,Pallet,False,False,False,3,20
1718464036697,20.4,,7.907996,-3.498284,Pallet,False,False,False,3,30
1718464036698,20.4052,,7.907996,-3.498284,,False,False,False,3,40
1718464036821,20.52781,Down,8.835683,-3.500163,,False,False,False,3,40
1718464036840,20.54,,8.995683,-3.499906,Pallet,False,False,False,3,40
1718464036895,20.60266,,9.475372,-3.499508,,False,False,False,3,50
1718464036959,20.66,,9.955372,-3.499463,Pallet,False,False,False,3,50
1718464037076,20.78,,10.50171,-3.952022,Pallet,False,False,False,3,60
1718464037098,20.80594,,10.50433,-4.061729,,False,False,False,3,70
1718464037159,20.86,,10.50154,-4.541729,Speed,False,False,True,3,70
1718464037159,20.86,,10.50154,-4.541729,Pallet,False,False,True,3,70
1718464037234,20.94,,10.4985,-5.512625,Light,False,True,True,3,120
1718464037234,20.94,,10.4985,-5.512625,Pallet,False,True,True,3,120
1718464037250,20.95816,Left,10.4985,-5.512625,,False,True,True,3,170
1718464037278,20.98,,10.49971,-5.992624,Speed,False,True,True,3,170
1718464037279,20.98,,10.49971,-5.992624,Pallet,False,True,True,3,170
1718464037304,21.01128,,10.50001,-6.232624,,False,True,True,3,220
1718464037499,21.20637,,8.416685,-6.499456,,False,True,True,3,220
1718464037540,21.24,,7.936686,-6.499446,Pallet,False,True,True,3,220
1718464037563,21.27125,Right,7.683894,-6.485755,,False,True,True,3,230
1718464037696,21.40355,,9.321831,-6.500225,,False,True,True,3,230
1718464037835,21.54,,11.00183,-6.496902,Pallet,False,True,True,3,230
1718464037900,21.60729,,11.72183,-6.49862,,False,True,True,3,240
1718464037922,21.62,,11.96183,-6.498918,Pallet,False,True,True,3,240
1718464037995,21.7,,12.88858,-6.499291,Pallet,False,True,True,3,250
1718464038050,21.75801,Left,13.36858,-6.499383,,False,True,True,3,260
1718464038097,21.80532,,12.64858,-6.499425,,False,True,True,3,260
1718464038293,22.00095,,10.24858,-6.497266,,False,True,True,3,260
1718464038496,22.20338,,7.906751,-6.499328,,False,True,True,3,260
1718464038574,22.28,,6.946752,-6.499421,Pallet,False,True,True,3,260
1718464038654,22.36,,5.986753,-6.499436,Pallet,False,True,True,3,270
1718464038698,22.4053,,5.506072,-6.498179,,False,True,True,3,280
1718464038734,22.44,,5.026072,-6.498923,Pallet,False,True,True,3,280
1718464038813,22.52,,4.082327,-6.499318,Pallet,False,True,True,3,290
1718464038893,22.60035,,3.221397,-6.498058,,False,True,True,3,300
1718464038916,22.62,,2.981397,-6.498555,Pallet,False,True,True,3,300
1718464038997,22.7,,1.995765,-6.50012,Pallet,False,True,True,3,310
1718464039081,22.78,,1.034982,-6.499754,Pallet,False,True,True,3,320
1718464039103,22.81061,,0.8232762,-6.498925,,False,True,True,3,330
1718464039140,22.84,,0.3432762,-6.499229,Light,False,True,True,3,330
1718464039140,22.84,,0.3432762,-6.499229,Pallet,False,True,True,3,330
1718464039257,22.96,,-1.031804,-6.501459,Pallet,False,True,True,3,380
1718464039296,23.00281,,-1.511804,-6.500268,,False,True,True,3,390
1718464039337,23.04,,-1.991804,-6.499778,Pallet,False,True,True,3,390
1718464039416,23.12,,-2.950072,-6.499406,Pallet,False,True,True,3,400
1718464039475,23.18,,-3.616292,-6.499184,Light,False,True,True,3,410
1718464039476,23.18,,-3.616292,-6.499184,Pallet,False,True,True,3,410
1718464039497,23.20382,,-3.856292,-6.499276,,False,True,True,3,460
1718464039600,23.3,,-5.056291,-6.499422,Pallet,False,True,True,3,460
1718464039674,23.38,,-6.01629,-6.499437,Pallet,False,True,True,3,470
1718464039694,23.40123,,-6.256298,-6.497208,,False,True,True,3,480
1718464039759,23.46,,-6.976297,-6.498854,Pallet,False,True,True,3,480
1718464039839,23.54,,-7.92275,-6.499325,Pallet,False,True,True,3,490
1718464039896,23.60346,,-8.551331,-6.496058,,False,True,True,3,500
1718464039935,23.64,,-9.03133,-6.498054,Pallet,False,True,True,3,500
1718464040014,23.72,,-9.991329,-6.499207,Pallet,False,True,True,3,510
1718464040095,23.8,,-10.9494,-6.499394,Pallet,False,True,True,3,520
1718464040095,23.80308,,-10.9494,-6.499394,,False,True,True,3,530
1718464040198,23.9,,-12.09434,-6.499333,Pallet,False,True,True,3,530
1718464040275,23.98,,-13.05434,-6.499422,Pallet,False,True,True,3,540
1718464040296,24.00346,,-13.29434,-6.499429,,False,True,True,3,550
1718464040359,24.06,,-14.01434,-6.499437,Pallet,False,True,True,3,550
1718464040433,24.14,,-14.97481,-6.493605,Pallet,False,True,True,3,560
1718464040494,24.20119,,-15.67553,-6.498083,,False,True,True,3,570
1718464040514,24.22,,-15.91553,-6.498571,Pallet,False,True,True,3,570
1718464040568,24.27613,Up,-16.29072,-6.493227,,False,True,True,3,580
1718464040613,24.32,,-17.01072,-6.498397,Pallet,False,True,True,3,580
1718464040698,24.4,,-17.98803,-6.500099,Pallet,False,True,True,3,590
