Date,time_from_start,character_Input,character_position.x,character_position.y,character_get,status_power,status_lighter,status_faster,Live,score
1718465848489,16.02549,Left,-6.822001E-06,3.495443,,False,False,False,3,0
1718465848908,16.44562,,-3.340472,3.501857,,False,False,False,3,0
1718465849105,16.64,,-4.938285,3.495983,Pallet,False,False,False,3,0
1718465849106,16.64191,,-4.938285,3.495983,,False,False,False,3,10
1718465849236,16.77425,Up,-5.847575,3.501239,,False,False,False,3,10
1718465849244,16.78,,-6.007575,3.500995,Pallet,False,False,False,3,10
1718465849305,16.84442,,-6.494684,3.500165,,False,False,False,3,20
1718465849361,16.9,,-6.974683,3.500457,Pallet,False,False,False,3,20
1718465849483,17.02,,-7.924342,3.500588,Pallet,False,False,False,3,30
1718465849509,17.0473,,-8.014316,3.500851,,False,False,False,3,40
1718465849626,17.16,,-8.982307,3.5003,Pallet,False,False,False,3,40
1718465849703,17.2411,,-9.460647,3.662874,,False,False,False,3,50
1718465849746,17.28,,-9.518104,3.960781,Pallet,False,False,False,3,50
1718465849866,17.4,,-9.500146,4.918876,Pallet,False,False,False,3,60
1718465849907,17.44496,,-9.499783,5.162125,,False,False,False,3,70
1718465850000,17.53819,Right,-9.499498,5.802125,,False,False,False,3,70
1718465850008,17.54,,-9.499477,5.962124,Pallet,False,False,False,3,70
1718465850102,17.64002,,-9.179463,6.442124,,False,False,False,3,80
1718465850124,17.66,,-9.047209,6.510477,Pallet,False,False,False,3,80
1718465850243,17.78,,-8.089302,6.499907,Pallet,False,False,False,3,90
1718465850307,17.84517,,-7.717743,6.500674,,False,False,False,3,100
1718465850384,17.92,,-7.077744,6.500574,Pallet,False,False,False,3,100
1718465850504,18.04224,,-6.174296,6.500322,,False,False,False,3,110
1718465850523,18.06,,-6.014296,6.500405,Pallet,False,False,False,3,110
1718465850645,18.18,,-5.057754,6.500571,Pallet,False,False,False,3,120
1718465850707,18.24597,,-4.619389,6.502382,,False,False,False,3,130
1718465850786,18.32,,-3.979389,6.50086,Pallet,False,False,False,3,130
1718465850843,18.38,,-3.485755,6.499432,Speed,False,False,True,3,140
1718465850844,18.38,,-3.485755,6.499432,Pallet,False,False,True,3,140
1718465850905,18.44323,,-2.766554,6.500434,,False,False,True,3,190
1718465850964,18.5,,-2.046554,6.500521,Pallet,False,False,True,3,190
1718465851046,18.58,,-1.134123,6.500714,Pallet,False,False,True,3,200
1718465851105,18.64373,,-0.4141226,6.500596,,False,False,True,3,210
1718465851145,18.68,,0.06587741,6.500569,Pallet,False,False,True,3,210
1718465851225,18.76,,1.025877,6.500555,Pallet,False,False,True,3,220
1718465851302,18.84,,1.985877,6.500553,Pallet,False,False,True,3,230
1718465851303,18.84096,,1.985877,6.500553,,False,False,True,3,240
1718465851382,18.92,,2.940902,6.50062,Pallet,False,False,True,3,240
1718465851483,19.02,,4.069333,6.500659,Pallet,False,False,True,3,250
1718465851506,19.04543,,4.318436,6.515603,,False,False,True,3,260
1718465851565,19.1,,5.038435,6.501861,Pallet,False,False,True,3,260
1718465851607,19.14,,5.518435,6.502994,Light,False,True,True,3,270
1718465851608,19.14,,5.518435,6.502994,Pallet,False,True,True,3,270
1718465851705,19.2435,,6.718345,6.501539,,False,True,True,3,320
1718465851722,19.26,,6.958345,6.501184,Pallet,False,True,True,3,320
1718465851802,19.34,,7.879358,6.500718,Pallet,False,True,True,3,330
1718465851903,19.44,,9.079357,6.50057,Pallet,False,True,True,3,340
1718465851904,19.44211,,9.079357,6.50057,,False,True,True,3,350
1718465851986,19.52,,10.03936,6.500555,Pallet,False,True,True,3,350
1718465852066,19.6,,10.99936,6.500553,Pallet,False,True,True,3,360
1718465852105,19.64279,,11.47934,6.500558,,False,True,True,3,370
1718465852143,19.68,,11.95934,6.500555,Pallet,False,True,True,3,370
1718465852227,19.76,,12.88203,6.500706,Pallet,False,True,True,3,380
1718465852302,19.84078,,13.84203,6.500578,,False,True,True,3,390
1718465852326,19.86,,14.08203,6.500568,Pallet,False,True,True,3,390
1718465852406,19.94,,15.04203,6.500555,Pallet,False,True,True,3,400
1718465852482,20.02,,16.00203,6.500553,Pallet,False,True,True,3,410
1718465852506,20.04519,,16.24203,6.500515,,False,True,True,3,420
1718465852564,20.1,,16.96203,6.500543,Pallet,False,True,True,3,420
1718465852642,20.18,,17.88912,6.500701,Pallet,False,True,True,3,430
