Date,time_from_start,character_Input,character_position.x,character_position.y,character_get,status_power,status_lighter,status_faster,Live,score
1718466529536,18.60802,Right,-4.910808E-06,3.496092,,False,False,False,3,0
1718466529989,19.06145,,3.660458,3.501086,,False,False,False,3,0
1718466530155,19.22,,4.938272,3.495977,Pallet,False,False,False,3,0
1718466530194,19.26626,,5.207553,3.504609,,False,False,False,3,10
1718466530288,19.36,,6.007553,3.500988,Pallet,False,False,False,3,10
1718466530390,19.4628,,6.814644,3.500394,,False,False,False,3,20
1718466530408,19.48,,6.974644,3.500451,Pallet,False,False,False,3,20
1718466530492,19.56,,7.604271,3.500625,Light,False,True,False,3,30
1718466530493,19.56,,7.604271,3.500625,Pallet,False,True,False,3,30
1718466530591,19.66407,,8.342108,3.499035,,False,True,False,3,80
1718466530668,19.74,,8.982107,3.500298,Pallet,False,True,False,3,80
1718466530793,19.86,,9.936784,3.500574,Pallet,False,True,False,3,90
1718466530795,19.86623,,9.936784,3.500574,,False,True,False,3,100
1718466530930,20,,11.01208,3.500896,Pallet,False,True,False,3,100
1718466530989,20.06144,,11.50266,3.499781,,False,True,False,3,110
1718466531051,20.12,,11.98266,3.50035,Pallet,False,True,False,3,110
1718466531172,20.24,,12.93765,3.500573,Pallet,False,True,False,3,120
1718466531189,20.26152,,13.04553,3.500921,,False,True,False,3,130
1718466531310,20.38,,14.01364,3.500919,Pallet,False,True,False,3,130
1718466531393,20.46487,,14.6651,3.499956,,False,True,False,3,140
1718466531432,20.5,,14.9851,3.500308,Pallet,False,True,False,3,140
1718466531550,20.62,,15.94136,3.500571,Pallet,False,True,False,3,150
1718466531589,20.66162,,16.21944,3.507218,,False,True,False,3,160
1718466531693,20.76,,17.01944,3.501011,Pallet,False,True,False,3,160
1718466531792,20.86435,,17.83291,3.500143,,False,True,False,3,170
1718466531809,20.88,,17.99291,3.50029,Pallet,False,True,False,3,170
1718466531931,21,,18.9521,3.500547,Pallet,False,True,False,3,180
1718466531994,21.06632,,19.39863,3.500712,,False,True,False,3,190
1718466532051,21.12,,19.87863,3.500595,Pallet,False,True,False,3,190
1718466532188,21.26,,21.00693,3.500232,Pallet,False,True,False,3,200
1718466532189,21.26137,,21.00693,3.500232,,False,True,False,3,210
1718466532308,21.38,,21.9689,3.500431,Pallet,False,True,False,3,210
1718466532390,21.46219,,22.59365,3.500636,,False,True,False,3,220
1718466532431,21.5,,22.91365,3.500587,Pallet,False,True,False,3,220
1718466532533,21.6,,23.61817,3.500596,Speed,False,True,True,3,230
1718466532534,21.6,,23.61817,3.500596,Pallet,False,True,True,3,230
1718466532592,21.66424,,24.33817,3.500564,,False,True,True,3,280
1718466532649,21.72,,25.05817,3.500555,Pallet,False,True,True,3,280
1718466532731,21.8,,26.02931,3.502012,Pallet,False,True,True,3,290
1718466532790,21.86349,,26.74931,3.500936,,False,True,True,3,300
1718466532814,21.88,,26.98931,3.500797,Pallet,False,True,True,3,300
1718466532895,21.96,,27.94641,3.500609,Pallet,False,True,True,3,310
1718466532991,22.06,,29.08567,3.500659,Pallet,False,True,True,3,320
1718466532991,22.06351,,29.08567,3.500659,,False,True,True,3,330
1718466533070,22.14,,30.04567,3.50171,Pallet,False,True,True,3,330
1718466533174,22.24662,Up,30.50143,3.501714,,False,True,True,3,340
1718466533191,22.26347,,30.50014,3.741714,,False,True,True,3,340
1718466533209,22.28,,30.49911,3.981714,Pallet,False,True,True,3,340
1718466533288,22.36,,30.50075,4.931298,Pallet,False,True,True,3,350
1718466533393,22.46,,30.50195,6.040309,Pallet,False,True,True,3,360
1718466533394,22.46592,,30.50195,6.040309,,False,True,True,3,370
1718466533430,22.50165,Left,30.49944,6.520308,,False,True,True,3,370
1718466533473,22.54,,30.01945,6.520308,Pallet,False,True,True,3,370
1718466533552,22.62,,29.06033,6.500006,Pallet,False,True,True,3,380
1718466533592,22.66379,,28.65437,6.500941,,False,True,True,3,390
1718466533650,22.72,,27.93437,6.500661,Pallet,False,True,True,3,390
1718466533733,22.8,,26.9629,6.501761,Pallet,False,True,True,3,400
1718466533796,22.86791,,26.2429,6.500875,,False,True,True,3,410
1718466533813,22.88,,26.0029,6.500762,Pallet,False,True,True,3,410
1718466533891,22.96,,25.04311,6.500591,Pallet,False,True,True,3,420
1718466533971,23.04,,24.12457,6.500717,Pallet,False,True,True,3,430
1718466533988,23.06011,,23.88457,6.500661,,False,True,True,3,440
1718466534073,23.14,,22.92457,6.500578,Pallet,False,True,True,3,440
1718466534149,23.22,,21.96457,6.500563,Pallet,False,True,True,3,450
1718466534188,23.26076,,21.48458,6.50056,,False,True,True,3,460
1718466534234,23.3,,21.00458,6.500561,Pallet,False,True,True,3,460
1718466534289,23.36,,20.28509,6.500582,Light,False,True,True,3,470
1718466534290,23.36,,20.28509,6.500582,Pallet,False,True,True,3,470
1718466534389,23.46,,19.13003,6.500719,Pallet,False,True,True,3,520
1718466534389,23.46145,,19.13003,6.500719,,False,True,True,3,530
1718466534491,23.56,,17.93003,6.500578,Pallet,False,True,True,3,530
1718466534528,23.6,,17.45003,6.500566,Speed,False,True,True,3,540
1718466534528,23.6,,17.45003,6.500566,Pallet,False,True,True,3,540
1718466534590,23.66351,,16.73003,6.500561,,False,True,True,3,590
1718466534653,23.72,,16.01003,6.500561,Pallet,False,True,True,3,590
1718466534693,23.76495,Right,15.53259,6.500677,,False,True,True,3,600
1718466534792,23.86416,,16.73329,6.500566,,False,True,True,3,600
1718466534993,24.06529,,19.01415,6.501706,,False,True,True,3,600
1718466535155,24.22741,Left,20.95512,6.500496,,False,True,True,3,600
1718466535194,24.26591,,20.47512,6.500534,,False,True,True,3,600
1718466535388,24.46108,,18.10322,6.5007,,False,True,True,3,600
1718466535521,24.59412,Right,16.72815,6.499265,,False,True,True,3,600
1718466535590,24.66327,,17.66437,6.501296,,False,True,True,3,600
1718466535749,24.82122,Left,19.52116,6.500148,,False,True,True,3,600
1718466535793,24.8652,,19.04116,6.500391,,False,True,True,3,600
1718466535953,25.02558,Right,17.15938,6.500661,,False,True,True,3,600
1718466535992,25.06371,,17.63938,6.500597,,False,True,True,3,600
1718466536193,25.26488,,20.03938,6.500553,,False,True,True,3,600
