Date,time_from_start,character_Input,character_position.x,character_position.y,character_get,status_power,status_lighter,status_faster,Live,score
1718466834403,22.11255,Right,-7.060238E-06,2.495472,,False,False,False,3,0
1718466834937,22.64704,,4.271903,2.496526,,False,False,False,3,0
1718466834979,22.68881,Down,4.591903,2.495973,,False,False,False,3,0
1718466835136,22.84707,,4.500669,1.220273,,False,False,False,3,0
1718466835255,22.96599,Right,4.501577,0.3029407,,False,False,False,3,0
1718466835332,23.04295,,4.498941,-0.349945,,False,False,False,3,0
1718466835501,23.21212,Left,5.619604,-0.4994631,,False,False,False,3,0
1718466835536,23.24636,,5.939603,-0.5001109,,False,False,False,3,0
1718466835731,23.44154,,4.500685,-0.5005234,,False,False,False,3,0
1718466835819,23.5295,Up,4.503237,-0.500527,,False,False,False,3,0
1718466835934,23.64452,,4.499558,0.4507223,,False,False,False,3,0
1718466836031,23.74067,Left,4.503004,1.19284,,False,False,False,3,0
1718466836133,23.84398,,4.500823,1.99284,,False,False,False,3,0
1718466836308,24.01909,Up,3.719818,2.497041,,False,False,False,3,0
1718466836334,24.04432,,3.399818,2.499117,,False,False,False,3,0
1718466836534,24.24503,,1.880372,2.503684,,False,False,False,3,0
1718466836730,24.44088,,1.500243,3.754743,,False,False,False,3,0
1718466836897,24.6,,1.500502,4.943775,Pallet,False,False,False,3,0
1718466836933,24.64298,,1.537945,5.279156,,False,False,False,3,10
1718466836943,24.65428,Right,1.537945,5.279156,,False,False,False,3,10
1718466837012,24.72,,1.996264,5.506184,Pallet,False,False,False,3,10
1718466837130,24.84,,2.955206,5.500642,Pallet,False,False,False,3,20
1718466837131,24.84102,,2.955206,5.500642,,False,False,False,3,30
1718466837250,24.96,,3.885473,5.500595,Pallet,False,False,False,3,30
1718466837277,24.98757,Up,4.045473,5.500579,,False,False,False,3,40
1718466837335,25.04495,,4.532488,5.515078,,False,False,False,3,40
1718466837395,25.1,,4.502858,5.995077,Pallet,False,False,False,3,40
1718466837518,25.22,,4.50057,6.954533,Pallet,False,False,False,3,50
1718466837529,25.24005,,4.500936,7.084003,,False,False,False,3,60
1718466837634,25.34,,4.5006,7.884003,Pallet,False,False,False,3,60
1718466837654,25.36449,Right,4.500586,8.044003,,False,False,False,3,70
1718466837736,25.44705,,4.660586,8.509845,,False,False,False,3,70
1718466837771,25.48,,4.980586,8.501074,Pallet,False,False,False,3,70
1718466837891,25.6,,5.932696,8.500586,Pallet,False,False,False,3,80
1718466837933,25.64258,,6.203281,8.503997,,False,False,False,3,90
1718466838030,25.74,,7.003281,8.500922,Pallet,False,False,False,3,90
1718466838057,25.76756,Up,7.166735,8.500064,,False,False,False,3,100
1718466838135,25.84467,,7.486735,8.820064,,False,False,False,3,100
1718466838158,25.86,,7.486735,8.980063,Pallet,False,False,False,3,100
1718466838270,25.98,,7.500712,9.939438,Pallet,False,False,False,3,110
1718466838335,26.04572,,7.502867,10.36984,,False,False,False,3,120
1718466838414,26.12,,7.500947,11.00984,Pallet,False,False,False,3,120
1718466838491,26.20217,Right,7.500208,11.65856,,False,False,False,3,130
1718466838534,26.24,,7.500416,11.97856,Pallet,False,False,False,3,130
1718466838535,26.24,,7.500416,11.97856,Power,True,False,False,3,140
1718466838536,26.24,,7.500416,11.97856,Pallet,True,False,False,3,140
1718466838537,26.24428,,7.500416,11.97856,,True,False,False,3,190
1718466838656,26.36,,7.956968,12.51858,Pallet,True,False,False,3,190
1718466838730,26.44038,,8.594794,12.49922,,True,False,False,3,200
1718466838772,26.48,,8.914794,12.50001,Pallet,True,False,False,3,200
1718466838916,26.62,,9.944014,12.50057,Pallet,True,False,False,3,210
1718466838935,26.64462,,10.06031,12.50094,,True,False,False,3,220
1718466839034,26.74,,10.89135,12.50123,Pallet,True,False,False,3,220
1718466839135,26.84469,,11.70379,12.50158,,True,False,False,3,230
1718466839175,26.88,,12.02379,12.50097,Pallet,True,False,False,3,230
1718466839175,26.88,,12.02379,12.50097,Speed,True,False,True,3,240
1718466839175,26.88,,12.02379,12.50097,Pallet,True,False,True,3,240
1718466839199,26.91042,Down,12.26379,12.49978,,True,False,True,3,290
1718466839336,27.04,,12.50153,11.06983,Pallet,True,False,True,3,290
1718466839337,27.04621,,12.50153,11.06983,,True,False,True,3,300
1718466839436,27.14,,12.50209,9.96075,Pallet,True,False,True,3,300
1718466839517,27.22,,12.50081,9.000751,Pallet,True,False,True,3,310
1718466839541,27.25159,,12.50072,8.760751,,True,False,True,3,320
1718466839640,27.35014,Right,12.50276,7.60757,,True,False,True,3,320
1718466839673,27.38,,12.50146,7.12757,Pallet,True,False,True,3,320
1718466839730,27.44063,,12.50079,6.407571,,True,False,True,3,330
1718466839772,27.48,,12.50065,5.927571,Pallet,True,False,True,3,330
1718466839854,27.56,,12.98065,5.489949,Pallet,True,False,True,3,340
1718466839934,27.64,,13.94,5.500773,Pallet,True,False,True,3,350
1718466839935,27.64465,,13.94,5.500773,,True,False,True,3,360
1718466840035,27.74,,15.06663,5.500554,Pallet,True,False,True,3,360
1718466840112,27.82,,16.02663,5.497267,Pallet,True,False,True,3,370
1718466840130,27.84018,,16.26663,5.49845,,True,False,True,3,380
1718466840195,27.9,,16.98663,5.500001,Pallet,True,False,True,3,380
1718466840274,27.98,,17.94215,5.500607,Pallet,True,False,True,3,390
1718466840333,28.04398,,18.63623,5.493577,,True,False,True,3,400
1718466840350,28.06,,18.87623,5.493575,Pallet,True,False,True,3,400
1718466840449,28.16,,19.99113,5.512463,Pallet,True,False,True,3,410
1718466840532,28.24,,20.95089,5.500307,Pallet,True,False,True,3,420
1718466840532,28.24209,,20.95089,5.500307,,True,False,True,3,430
1718466840733,28.44324,,21.49941,5.494169,,True,False,True,3,430
1718466840865,28.576,Left,21.49615,5.494169,,True,False,True,3,430
