Date,time_from_start,character_Input,character_position.x,character_position.y,character_get,status_power,status_lighter,status_faster,Live,score
1718462914972,28.92055,Down,-1.15927E-05,3.495041,,False,False,False,3,0
1718462915292,29.24251,,-1.15927E-05,0.9350404,,False,False,False,3,0
1718462915313,29.26271,Up,-1.15927E-05,0.7750404,,False,False,False,3,0
1718462915494,29.44309,,-1.15927E-05,2.21504,,False,False,False,3,0
1718462915664,29.61412,Right,-1.15927E-05,3.495041,,False,False,False,3,0
1718462915690,29.6405,,0.3199884,3.495016,,False,False,False,3,0
1718462915895,29.84496,,1.895742,3.500322,,False,False,False,3,0
1718462916098,30.04772,,3.500453,3.501385,,False,False,False,3,0
1718462944502,30.22,,4.938265,3.495977,Pallet,False,False,False,3,0
1718462944522,30.24212,,5.047004,3.498525,,False,False,False,3,10
1718462944639,30.36,,6.007542,3.500988,Pallet,False,False,False,3,10
1718462944725,30.446,,6.654625,3.500305,,False,False,False,3,20
1718462944772,30.48,,6.974625,3.500451,Pallet,False,False,False,3,20
1718462944884,30.6,,7.924238,3.500582,Pallet,False,False,False,3,30
1718462944935,30.65575,,8.18201,3.498199,,False,False,False,3,40
1718462945020,30.74,,8.982009,3.5003,Pallet,False,False,False,3,40
1718462945121,30.84198,,9.776628,3.500587,,False,False,False,3,50
1718462945152,30.86,,9.936628,3.500574,Pallet,False,False,False,3,50
1718462945282,31,,11.01179,3.500892,Pallet,False,False,False,3,60
1718462945323,31.04363,,11.3422,3.499392,,False,False,False,3,70
1718462945411,31.12,,11.9822,3.500358,Pallet,False,False,False,3,70
1718462945523,31.24,,12.93693,3.500574,Pallet,False,False,False,3,80
1718462945524,31.24414,,12.93693,3.500574,,False,False,False,3,90
1718462945549,31.26914,Right,13.04384,3.500918,,False,False,False,3,90
1718462945672,31.38,,14.01234,3.5009,Pallet,False,False,False,3,90
1718462945720,31.44034,,14.50309,3.499753,,False,False,False,3,100
1718462945794,31.5,,14.98309,3.500343,Pallet,False,False,False,3,100
1718462945901,31.62,,15.93831,3.500573,Pallet,False,False,False,3,110
1718462945933,31.65402,,16.04708,3.500923,,False,False,False,3,120
1718462946050,31.76,,17.01478,3.500936,Pallet,False,False,False,3,120
1718462946120,31.84117,,17.66679,3.499881,,False,False,False,3,130
1718462946160,31.88,,17.98679,3.500277,Pallet,False,False,False,3,130
1718462946290,32,,18.94382,3.500568,Pallet,False,False,False,3,140
1718462946321,32.04152,,19.22249,3.508025,,False,False,False,3,150
1718462946431,32.14,,20.02249,3.500887,Pallet,False,False,False,3,150
1718462946532,32.25304,,20.83617,3.500035,,False,False,False,3,160
1718462946544,32.26,,20.99617,3.500221,Pallet,False,False,False,3,160
1718462946663,32.38,,21.95592,3.500542,Pallet,False,False,False,3,170
1718462946733,32.45403,,22.40703,3.500709,,False,False,False,3,180
1718462946791,32.5,,22.88703,3.500594,Pallet,False,False,False,3,180
1718462946873,32.58,,23.53355,3.501952,Power,True,False,False,3,190
1718462946873,32.58,,23.53355,3.501952,Pallet,True,False,False,3,190
1718462946928,32.64952,,24.01355,3.500919,,True,False,False,3,240
1718462947052,32.76,,24.97614,3.500329,Pallet,True,False,False,3,240
1718462947133,32.85299,,25.6069,3.50062,,True,False,False,3,250
1718462947160,32.88,,25.9269,3.50058,Pallet,True,False,False,3,250
1718462947302,33.02,,26.9889,3.500277,Pallet,True,False,False,3,260
1718462947335,33.05544,,27.14694,3.500527,,True,False,False,3,270
1718462947419,33.14,,27.94694,3.50055,Pallet,True,False,False,3,270
1718462947530,33.24968,,28.70702,3.50139,,True,False,False,3,280
1718462947540,33.26,,28.86702,3.501089,Pallet,True,False,False,3,280
1718462947691,33.4,,30.00016,3.500275,Pallet,True,False,False,3,290
1718462947719,33.44109,,30.3202,3.500344,,True,False,False,3,300
1718462956156,33.64585,,30.49908,3.500352,,True,False,False,3,300
1718462956359,33.8484,,30.49543,3.500361,,True,False,False,3,300
1718462956552,34.04142,,30.49504,3.500371,,True,False,False,3,300
1718462956757,34.24731,,30.495,3.500381,,True,False,False,3,300
1718462956898,34.38749,Up,30.495,3.500387,,True,False,False,3,300
1718462956951,34.44,,30.495,3.980387,Pallet,True,False,False,3,300
1718462956952,34.44115,,30.495,3.980387,,True,False,False,3,310
1718462957072,34.56,,30.50051,4.932372,Pallet,True,False,False,3,310
1718462957155,34.64,,30.50191,5.522541,Light,True,True,False,3,320
1718462957155,34.64,,30.50191,5.522541,Pallet,True,True,False,3,320
1718462957165,34.64439,,30.50191,5.522541,,True,True,False,3,370
1718462957283,34.77272,Left,30.49792,6.48526,,True,True,False,3,370
1718462957334,34.82,,30.01793,6.48526,Pallet,True,True,False,3,370
1718462957354,34.84395,,29.85849,6.500627,,True,True,False,3,380
1718462957455,34.94,,29.05849,6.500566,Pallet,True,True,False,3,380
1718462957554,35.04397,,28.30549,6.501115,,True,True,False,3,390
1718462957592,35.08,,27.98549,6.500788,Pallet,True,True,False,3,390
1718462957719,35.2,,27.01416,6.500284,Pallet,True,True,False,3,400
1718462957756,35.24535,,26.69755,6.500654,,True,True,False,3,410
1718462957836,35.32,,26.05755,6.500576,Pallet,True,True,False,3,410
