Date,time_from_start,character_Input,character_position.x,character_position.y,character_get,status_power,status_lighter,status_faster,Live,score
1718462821212,19.93291,Right,-7.776629E-06,3.495281,,False,False,False,3,0
1718462821605,20.32645,,3.180456,3.502583,,False,False,False,3,0
1718462821802,20.52267,,4.77827,3.496225,,False,False,False,3,0
1718462821827,20.54,,4.93827,3.495977,Pallet,False,False,False,3,0
1718462821961,20.68,,6.007549,3.500988,Pallet,False,False,False,3,10
1718462822006,20.72775,,6.334638,3.499945,,False,False,False,3,20
1718462822081,20.8,,6.974637,3.500451,Pallet,False,False,False,3,20
1718462822198,20.92,,7.92426,3.500582,Pallet,False,False,False,3,30
1718462822199,20.92069,,7.92426,3.500582,,False,False,False,3,40
1718462822345,21.06,,8.982074,3.500299,Pallet,False,False,False,3,40
1718462822406,21.1277,,9.456732,3.500634,,False,False,False,3,50
1718462822458,21.18,,9.936731,3.500574,Pallet,False,False,False,3,50
1718462822598,21.32,,11.01198,3.500895,Pallet,False,False,False,3,60
1718462822599,21.32019,,11.01198,3.500895,,False,False,False,3,70
1718462822720,21.44,,11.98251,3.500353,Pallet,False,False,False,3,70
1718462822807,21.52803,,12.61741,3.500605,,False,False,False,3,80
1718462822845,21.56,,12.93741,3.500574,Pallet,False,False,False,3,80
1718462822979,21.7,,14.01321,3.500913,Pallet,False,False,False,3,90
1718462823004,21.72541,,14.18444,3.498381,,False,False,False,3,100
1718462823101,21.82,,14.98444,3.500319,Pallet,False,False,False,3,100
1718462823204,21.92533,,15.78037,3.500582,,False,False,False,3,110
1718462823226,21.94,,15.94037,3.500571,Pallet,False,False,False,3,110
1718462823358,22.08,,17.01804,3.500988,Pallet,False,False,False,3,120
1718462823400,22.12068,,17.35121,3.499165,,False,False,False,3,130
1718462823481,22.2,,17.99121,3.50032,Pallet,False,False,False,3,130
1718462823603,22.32,,18.94997,3.50055,Pallet,False,False,False,3,140
1718462823606,22.32628,,18.94997,3.50055,,False,False,False,3,150
1718462823728,22.44,,19.87387,3.500595,Pallet,False,False,False,3,150
1718462823801,22.52196,,20.52478,3.49903,,False,False,False,3,160
1718462823861,22.58,,21.00478,3.500153,Pallet,False,False,False,3,160
1718462823980,22.7,,21.96607,3.500461,Pallet,False,False,False,3,170
1718462824001,22.72222,,22.10814,3.500884,,False,False,False,3,180
1718462824101,22.82,,22.90813,3.500589,Pallet,False,False,False,3,180
1718462824201,22.92259,,23.58787,3.500613,,False,False,False,3,190
1718462824246,22.96,,23.90787,3.500577,Pallet,False,False,False,3,190
1718462824340,23.06101,Left,24.58639,3.500614,,False,False,False,3,200
1718462824403,23.12585,,24.10639,3.500574,,False,False,False,3,200
1718462824603,23.32471,,22.47124,3.501777,,False,False,False,3,200
1718462824650,23.37184,Right,22.15125,3.501058,,False,False,False,3,200
1718462824804,23.52586,,23.39668,3.501195,,False,False,False,3,200
1718462825003,23.72,,25.00602,3.50011,Pallet,False,False,False,3,200
1718462825004,23.72583,,25.00602,3.50011,,False,False,False,3,210
1718462825121,23.84,,25.9677,3.50044,Pallet,False,False,False,3,210
1718462825202,23.92363,,26.59134,3.500638,,False,False,False,3,220
1718462825239,23.96,,26.91134,3.500588,Pallet,False,False,False,3,220
1718462825386,24.1,,27.92573,3.500572,Pallet,False,False,False,3,230
1718462825407,24.12954,,28.01756,3.500859,,False,False,False,3,240
1718462825461,24.18,,28.52437,3.49957,Speed,False,False,True,3,240
1718462825462,24.18,,28.52437,3.49957,Pallet,False,False,True,3,240
1718462825581,24.3,,29.96909,3.500258,Pallet,False,False,True,3,290
1718462825601,24.32242,,30.20909,3.500363,,False,False,True,3,300
1718462825805,24.52756,,30.49849,3.500375,,False,False,True,3,300
1718462825912,24.63363,Up,30.49614,3.500382,,False,False,True,3,300
1718462825938,24.66,,30.49573,3.980382,Pallet,False,False,True,3,300
1718462826004,24.72573,,30.50074,4.688466,,False,False,True,3,310
1718462826025,24.74,,30.50068,4.928466,Pallet,False,False,True,3,310
1718462826125,24.84,,30.50196,6.038151,Pallet,False,False,True,3,320
1718462826201,24.92,,30.49785,6.99815,Pallet,False,False,True,3,330
1718462826201,24.9227,,30.49785,6.99815,,False,False,True,3,340
1718462826283,25,,30.49991,7.958061,Pallet,False,False,True,3,340
1718462826340,25.06228,Left,30.50079,8.6386,,False,False,True,3,350
1718462826360,25.08,,30.50071,8.8786,Pallet,False,False,True,3,350
1718462826400,25.12193,,30.49952,9.3586,,False,False,True,3,360
1718462826465,25.18,,30.09629,9.478044,Pallet,False,False,True,3,360
1718462826566,25.28,,28.90732,9.50234,Pallet,False,False,True,3,370
1718462826603,25.32553,,28.42732,9.501288,,False,False,True,3,380
1718462826640,25.36,,27.94732,9.500858,Pallet,False,False,True,3,380
1718462826652,25.37371,Down,27.94732,9.500858,,False,False,True,3,390
1718462826721,25.44,,26.98732,9.500609,Pallet,False,False,True,3,390
1718462826802,25.52,,26.02732,9.500567,Pallet,False,False,True,3,400
1718462826803,25.52432,,26.02732,9.500567,,False,False,True,3,410
1718462826882,25.6,,25.08509,9.500677,Pallet,False,False,True,3,410
1718462826979,25.7,,23.99055,9.501513,Pallet,False,False,True,3,420
1718462826999,25.72092,,23.73492,9.498489,,False,False,True,3,430
1718462827061,25.78,,23.01492,9.500017,Pallet,False,False,True,3,430
1718462827143,25.86,,22.06045,9.50062,Pallet,False,False,True,3,440
1718462827198,25.92008,,21.41473,9.500816,,False,False,True,3,450
1718462827243,25.96,,20.93473,9.500666,Pallet,False,False,True,3,450
1718462827323,26.04,,19.96305,9.50175,Pallet,False,False,True,3,460
1718462827404,26.12,,19.00305,9.503676,Pallet,False,False,True,3,470
1718462827405,26.12615,,19.00305,9.503676,,False,False,True,3,480
1718462827482,26.2,,18.04338,9.501154,Pallet,False,False,True,3,480
1718462827566,26.28,,17.12532,9.500725,Pallet,False,False,True,3,490
1718462827603,26.32441,,16.64532,9.500628,,False,False,True,3,500
1718462827661,26.38,,15.92532,9.500578,Pallet,False,False,True,3,500
1718462827745,26.46,,14.96532,9.500563,Pallet,False,False,True,3,510
1718462827801,26.5222,,14.24532,9.50056,,False,False,True,3,520
1718462827823,26.54,,14.00532,9.50056,Pallet,False,False,True,3,520
1718462827824,26.54494,Right,14.00532,9.50056,,False,False,True,3,530
1718462828000,26.7213,,16.06661,9.492965,,False,False,True,3,530
1718462828203,26.92489,,18.47095,9.500599,,False,False,True,3,530
1718462828402,27.12341,,20.78568,9.497081,,False,False,True,3,530
1718462828600,27.32058,,23.10834,9.50119,,False,False,True,3,530
1718462828804,27.52554,,25.5181,9.501079,,False,False,True,3,530
1718462828999,27.72149,,27.87844,9.50071,,False,False,True,3,530
1718462829201,27.92256,,30.27844,9.500556,,False,False,True,3,530
1718462829403,28.12444,,30.4966,9.500565,,False,False,True,3,530
1718462829599,28.32001,,30.49517,9.500574,,False,False,True,3,530
1718462829652,28.37457,Down,30.4951,9.500576,,False,False,True,3,530
1718462829804,28.52549,,30.51675,7.680189,,False,False,True,3,530
1718462829925,28.64664,Left,30.49858,6.24019,,False,False,True,3,530
1718462830004,28.72549,,30.49953,5.280192,,False,False,True,3,530
1718462830199,28.92018,,30.09855,3.519368,,False,False,True,3,530
1718462830331,29.05363,Up,28.66964,3.499033,,False,False,True,3,530
1718462830403,29.12459,,27.70964,3.500304,,False,False,True,3,530
1718462830600,29.32084,Right,25.33038,3.500754,,False,False,True,3,530
1718462830601,29.32084,,25.33038,3.500754,,False,False,True,3,530
1718462830806,29.52787,,27.7332,3.499306,,False,False,True,3,530
1718462830910,29.63265,Up,28.91607,3.500657,,False,False,True,3,530
1718462831004,29.7255,,30.01348,3.501677,,False,False,True,3,530
1718462831204,29.92595,,30.50784,5.29498,,False,False,True,3,530
1718462831228,29.94934,Left,30.50249,5.534979,,False,False,True,3,530
1718462831339,30.06,,30.01426,6.51563,Pallet,False,False,True,3,530
1718462831403,30.12443,,29.29476,6.49976,,False,False,True,3,540
1718462831423,30.14,,29.05476,6.500049,Pallet,False,False,True,3,540
1718462831521,30.24,,27.91776,6.500662,Pallet,False,False,True,3,550
1718462831605,30.32,,26.95776,6.502283,Pallet,False,False,True,3,560
1718462831606,30.32684,,26.95776,6.502283,,False,False,True,3,570
1718462831679,30.4,,25.99776,6.500849,Pallet,False,False,True,3,570
1718462831768,30.48,,25.03775,6.50058,Pallet,False,False,True,3,580
1718462831805,30.52691,,24.59034,6.500917,,False,False,True,3,590
1718462831844,30.56,,24.11034,6.500707,Pallet,False,False,True,3,590
1718462831938,30.66,,22.91034,6.500577,Pallet,False,False,True,3,600
1718462832005,30.72728,,22.19034,6.500564,,False,False,True,3,610
1718462832026,30.74,,21.95034,6.500563,Pallet,False,False,True,3,610
1718462832105,30.82,,20.99034,6.500561,Pallet,False,False,True,3,620
1718462832179,30.9,,20.03034,6.500516,Pallet,False,False,True,3,630
1718462832200,30.92158,,19.81201,6.501043,,False,False,True,3,640
1718462832263,30.98,,19.09201,6.500687,Pallet,False,False,True,3,640
